Timesteps,Eval/Return
1730,16.43
3596,18.4
5311,1.2636363636363583
7034,-6.080000000000002
8857,3.8800000000000017
10588,-8.940000000000001
12719,-115.99999999999996
14366,-56.50999999999998
16115,-76.65999999999998
17705,-59.58999999999999
19426,-22.38999999999998
21019,-40.34999999999999
22597,-63.16666666666665
24343,-34.658333333333324
25956,16.699999999999992
27615,22.05714285714285
29297,23.64444444444445
30971,21.05185185185185
32455,22.41428571428572
34032,19.914285714285715
35528,22.90370370370371
36977,23.200000000000006
38621,23.716129032258078
40153,23.533333333333346
41439,32.64827586206897
42882,30.533333333333346
44411,30.812903225806465
45733,32.53333333333334
47167,37.95
48594,36.7
49936,35.45
51143,37.95
52476,38.575
53797,37.325
55310,34.825
56649,37.90967741935485
57942,36.075
59251,37.0125
60560,37.95
61727,36.53333333333334
63121,36.075
64435,34.825
65596,35.45
66656,37.325
68004,35.45
69305,37.95
70655,36.7
71891,39.2
73041,37.325
74133,37.95
75385,38.575
76500,38.575
77597,38.575
78682,37.325
79837,39.2
81081,37.95
82157,38.575
83166,39.2
84170,37.95
85286,37.95
86282,39.2
87380,39.2
88383,39.2
89498,38.575
90502,39.2
91500,39.2
92513,38.575
93523,38.575
94602,39.2
95744,39.2
96794,39.2
97849,39.2
98787,39.2
99903,38.575
100874,38.575
101891,39.2
102921,39.2
103857,39.2
105055,39.2
105994,37.95
106910,39.2
107835,39.2
108782,38.575
109777,38.575
110782,38.575
111732,39.2
112572,39.2
113524,38.575
114448,38.575
115449,39.2
116444,37.95
117394,38.575
118357,38.575
119276,39.2
120177,39.2
121029,39.2
121967,39.2
122951,37.95
123892,39.2
124815,39.2
125725,39.2
126795,38.575
127772,38.575
128734,38.575
129698,39.2
130724,37.95
131558,38.575
132386,39.2
133304,39.2
134161,39.2
135002,39.2
135848,38.575
136738,39.2
137552,39.2
138472,37.95
139357,39.2
140220,38.575
141113,39.2
141913,38.575
142770,39.2
143613,39.2
144489,39.2
145380,39.2
146298,39.2
147171,39.2
148020,39.2
148887,39.2
149785,39.2
150653,39.2
151572,39.2
152394,38.575
153248,38.575
154101,39.2
154942,39.2
155835,39.2
156677,39.2
157685,39.2
158512,39.2
159368,39.2
160179,39.2
161070,39.2
161960,39.2
162842,39.2
163690,39.2
164630,39.2
165512,39.2
166350,39.2
167205,39.2
168096,39.2
168968,39.2
169940,39.2
170892,39.2
171766,39.2
172728,39.2
173672,39.2
174553,39.2
175454,39.2
176374,39.2
177249,39.2
178129,39.2
179121,39.2
180055,39.2
180975,38.575
181847,39.2
182839,39.2
183799,39.2
184871,39.2
185847,39.2
186855,39.2
187799,39.2
188783,39.2
189719,39.2
190767,38.575
191839,39.2
192919,39.2
193887,39.2
194943,39.2
196023,39.2
197135,39.2
198247,39.2
199224,39.2
200216,39.2
201280,39.2
202376,39.2
203472,39.2
204560,39.2
205680,39.2
206696,39.2
207816,39.2
208944,39.2
210128,39.2
211224,39.2
212400,39.2
213448,39.2
214512,38.575
215608,39.2
216840,39.2
218040,39.2
219208,39.2
220416,39.2
221576,39.2
222744,39.2
223952,39.2
225168,39.2
226352,39.2
227480,39.2
228656,39.2
229864,39.2
231048,39.2
232280,39.2
233576,39.2
234856,39.2
236080,39.2
237360,39.2
238672,39.2
239952,39.2
241264,39.2
242552,39.2
243720,39.2
244976,39.2
246192,38.575
247440,39.2
248720,39.2
250040,39.2
251336,39.2
252568,39.2
253832,39.2
255120,39.2
256408,39.2
257752,39.2
259056,39.2
260432,39.2
261768,39.2
263096,39.2
264392,39.2
265760,39.2
267080,39.2
268400,39.2
269656,39.2
270984,39.2
272272,39.2
273656,39.2
275056,39.2
276448,39.2
277808,39.2
279224,39.2
280592,39.2
281976,39.2
283360,39.2
284800,39.2
286168,39.2
287552,39.2
288896,39.2
290240,39.2
291672,39.2
293040,39.2
294416,39.2
295848,39.2
297288,39.2
298736,39.2
300144,39.2
301600,39.2
303064,39.2
304520,39.2
306016,39.2
307480,39.2
308960,39.2
310352,39.2
311816,39.2
313296,39.2
314776,39.2
316256,39.2
317728,39.2
319216,39.2
320688,39.2
322176,39.2
323664,39.2
325144,39.2
326600,39.2
328104,39.2
329576,39.2
331048,39.2
332552,39.2
334056,39.2
335560,39.2
337088,39.2
338608,39.2
340128,39.2
341648,39.2
343152,39.2
344648,39.2
346160,39.2
347656,39.2
349160,39.2
350672,39.2
352200,39.2
353728,39.2
355264,39.2
356792,39.2
358296,39.2
359824,39.2
361352,39.2
362880,39.2
364416,39.2
365952,39.2
367488,39.2
369024,39.2
370560,39.2
372088,39.2
373624,39.2
375160,39.2
376696,39.2
378232,39.2
379768,39.2
381304,39.2
382840,39.2
384376,39.2
385912,39.2
387448,39.2
388984,39.2
390520,39.2
392056,39.2
393592,39.2
395128,39.2
396664,39.2
398200,39.2
399736,39.2
401272,39.2
402808,39.2
404344,39.2
405880,39.2
407416,39.2
408952,39.2
410488,39.2
412024,39.2
413560,39.2
415096,39.2
416632,39.2
418168,39.2
419704,39.2
421240,39.2
422776,39.2
424312,39.2
425848,39.2
427384,39.2
428920,39.2
430456,39.2
431992,39.2
433520,39.2
435056,39.2
436592,39.2
438128,39.2
439664,39.2
441200,39.2
442736,39.2
444272,39.2
445808,39.2
447344,39.2
448880,39.2
450416,39.2
451952,39.2
453488,39.2
455024,39.2
456560,39.2
458088,38.575
459624,39.2
461160,39.2
462696,39.2
464232,39.2
465768,39.2
467304,39.2
468840,39.2
470376,39.2
471912,39.2
473448,39.2
474984,39.2
476520,39.2
478056,39.2
479592,39.2
481120,39.2
482656,39.2
484192,39.2
485728,39.2
487264,39.2
488800,39.2
490336,39.2
491872,39.2
493408,39.2
494944,39.2
496480,39.2
498016,39.2
499544,39.2
501080,39.2
