Timesteps,Eval/Return
1110,18.169999999999995
2341,10.069999999999997
3426,17.27272727272727
4643,18.14
5703,19.34
6939,19.58181818181818
8123,19.6
9098,19.58
10161,19.6
11131,20.711111111111112
12274,20.433333333333334
13249,20.600000000000005
14308,21.339130434782614
15472,19.6
16278,21.138461538461534
17189,25.433333333333337
18152,26.93333333333334
19195,24.24285714285715
20097,27.1
21018,29.27741935483872
21891,27.664516129032265
22715,31.93333333333334
23759,33.79354838709678
24609,33.975
25430,34.9125
26308,34.6
27082,37.1
27899,33.35
28739,35.225
29595,37.1
30318,38.30967741935483
31215,38.35
32019,34.6
32713,35.85
33495,35.225
34245,36.475
35004,37.1
35861,38.35
36705,35.85
37376,35.08387096774194
38024,35.729032258064514
38706,32.725
39445,35.225
40104,38.975
40877,38.30967741935483
41521,37.1
42240,35.85
42963,33.79354838709678
43567,37.725
44211,37.01935483870968
44873,38.95483870967741
45482,36.475
46260,37.1
46956,38.975
47668,37.725
48307,37.1
48997,33.6625
49720,37.725
50418,35.225
51114,32.4125
51738,31.7875
52388,37.725
53036,37.4125
53583,38.35
54277,38.975
54830,38.35
55474,37.4125
56049,38.35
56631,38.975
57155,38.975
57691,39.6
58230,38.35
58791,36.1625
59332,38.975
59872,37.725
60382,39.6
60912,38.0375
61405,37.725
61955,38.975
62469,38.975
63034,38.975
63524,39.6
64103,38.975
64626,38.975
65185,38.975
65727,38.975
66187,39.6
66696,38.35
67134,39.6
67671,38.975
68154,37.725
68679,37.725
69209,38.35
69711,37.725
70220,33.975
70713,38.975
71196,34.6
71676,32.1
72154,25.225
72673,22.180645161290325
73250,20.46956521739131
73928,263.2967741935483
74713,278.67407407407404
75391,299.4
76171,281.9125
77001,290.374193548387
77805,272.3225806451612
78818,299.4
79583,290.374193548387
80367,299.4
81383,299.4
82132,290.65625
82936,299.4
83782,290.65625
84687,299.4
85575,299.4
86501,299.4
87324,299.4
88127,299.4
88939,299.4
89756,299.4
90699,299.4
91489,299.4
92369,299.4
93219,299.4
94086,299.4
94912,299.3999999999999
95799,299.4
96589,299.4
97411,299.4
98297,299.4
99153,299.4
99978,299.4
100750,299.4
101619,299.4
102400,299.4
103204,299.4
104014,299.4
104771,290.65625
105628,299.4
106398,299.4
107219,299.4
108115,299.4
108934,299.4
109667,299.4
110453,299.4
111198,299.4
112105,299.4
112945,299.4
113808,299.4
114614,299.4
115465,299.4
116233,299.4
117083,299.4
117863,299.4
118566,299.4
119323,299.4
120194,299.4
121048,299.4
121830,299.4
122666,299.4
123526,299.4
124387,299.4
125273,299.4
126063,299.4
126932,299.4
127756,299.4
128574,299.4
129291,299.4
130000,299.4
130823,299.4
131618,299.4
132441,299.4
133159,299.4
133877,299.4
134622,299.4
135343,299.4
136135,299.4
136877,299.4
