Timesteps,Eval/Return
1302,19.26
2487,19.084615384615383
3536,19.45
4672,19.58
5861,19.6
7005,18.58
8102,21.02857142857143
9203,20.600000000000005
10429,19.600000000000005
11479,18.48888888888889
12664,19.6
13621,21.822222222222223
14746,21.600000000000005
15846,19.6
16828,20.600000000000005
17842,19.6
18901,20.933333333333334
19748,20.933333333333337
20722,21.600000000000005
21664,19.6
22646,20.225
23470,21.952941176470592
24452,20.509090909090915
25323,20.433333333333334
26264,23.600000000000005
27171,19.6
28196,20.509090909090915
29078,21.339130434782614
29936,22.67692307692308
30790,20.6
31683,22.75789473684211
32593,22.20869565217392
33382,21.6
34284,22.933333333333337
34989,21.907692307692308
35802,22.600000000000005
36674,21.266666666666666
37385,20.0
38107,24.600000000000005
38931,23.303703703703704
39744,21.6
40524,23.67407407407408
41286,22.67692307692308
42133,24.600000000000005
42893,21.822222222222223
43710,22.358620689655176
44434,23.933333333333337
45146,28.830769230769235
45821,29.6
46599,26.40000000000001
47337,23.446153846153848
48176,22.457142857142863
48937,25.200000000000003
49678,23.303703703703704
50428,25.054545454545465
51146,26.26666666666667
51947,27.457142857142863
52600,27.266666666666676
53446,28.91034482758621
54151,27.875862068965525
54882,30.31428571428572
55580,24.116129032258076
56207,25.31428571428572
56896,22.0
57585,24.14545454545455
58287,21.418181818181825
58957,21.339130434782614
59822,24.40000000000001
60456,22.1
61165,19.600000000000005
61924,20.509090909090915
62722,20.65263157894737
63526,20.7764705882353
64315,22.26666666666667
65018,20.85
65779,19.6
66582,19.6
67300,19.6
68039,19.6
68984,20.6
69809,19.6
70611,70.46363636363635
71307,19.6
72334,121.34545454545452
73211,243.44
74142,170.3818181818182
74930,225.23684210526315
75921,287.2347826086955
76930,287.2347826086955
77906,299.4
78892,299.3999999999999
80005,299.4
81112,299.4
82199,287.7416666666666
83407,299.3999999999999
84546,299.4
85624,299.4
86725,299.4
87927,299.3999999999999
89075,299.4
90259,299.3999999999999
91570,299.4
93011,299.3999999999999
94571,299.4
95692,299.3999999999999
96856,299.4
98256,299.4
99593,299.3999999999999
101059,299.3999999999999
102513,299.3999999999999
103818,299.4
105407,299.3999999999999
107233,299.4
108725,299.4
110292,299.4
111598,299.3999999999999
112979,299.3999999999999
114584,299.3999999999999
116153,299.3999999999999
117777,299.4
118918,299.4
120297,299.4
121765,299.3999999999999
123053,299.3999999999999
124444,299.4
125840,299.4
127141,299.3999999999999
128511,299.3999999999999
129918,299.4
131342,299.3999999999999
132532,299.3999999999999
133710,299.4
135143,299.4
136475,299.4
137525,299.4
138752,299.4
140104,299.4
141436,299.4
142686,299.3999999999999
143932,299.4
145176,299.4
146405,299.4
147665,299.3999999999999
148946,299.3999999999999
150123,299.4
151347,299.4
152473,299.4
153453,299.4
154587,299.4
155680,299.3999999999999
156891,299.4
157997,299.4
159112,299.4
160242,299.4
161365,299.4
162328,299.4
163532,299.4
164859,299.3999999999999
165860,299.4
166917,299.4
167972,299.4
169136,299.4
170176,299.4
171136,299.4
172154,299.3999999999999
173114,299.4
174125,299.3999999999999
175088,299.4
176092,299.4
176970,299.4
177937,299.4
178699,299.4
179744,299.4
180630,299.4
181554,299.3999999999999
182451,299.4
183352,299.4
184270,299.4
185115,299.4
186076,299.4
186995,299.4
187827,299.4
188713,299.3999999999999
189553,299.4
190382,299.4
191213,299.3999999999999
192006,299.4
192989,299.4
193898,299.4
194653,299.4
195382,299.4
196147,299.3999999999999
196878,299.4
197673,299.4
198420,299.4
199155,299.4
200055,299.4
200924,299.3999999999999
201739,299.4
202534,299.3999999999999
203272,299.4
204020,299.4
204740,299.4
205485,299.4
206225,299.3999999999999
206967,299.4
207713,299.4
208412,299.4
209198,299.4
209961,299.4
210678,299.4
211450,299.4
212257,299.4
213036,299.4
213743,299.4
214442,299.4
215128,299.4
215799,299.4
216493,299.4
217180,299.4
217876,299.4
