Timesteps,Eval/Return
3007,15.24
4499,13.35
5676,19.400000000000002
7145,20.93846153846154
8576,13.9
9879,20.749999999999993
11116,14.39
12398,21.707692307692305
13628,20.11428571428571
15000,20.65
16289,20.576470588235292
17710,19.4
18929,22.73333333333333
20012,17.97142857142857
21416,16.242105263157892
22689,4.694117647058823
23764,18.2
24967,28.06666666666666
26236,23.24615384615384
27514,24.214814814814808
28508,27.2125
29687,31.012903225806443
30781,25.06666666666666
31863,26.174193548387088
32895,29.4
33895,35.65
35116,32.525
36283,35.52903225806452
37244,22.39999999999999
38254,30.025
39249,33.775
40306,35.9625
41335,36.9
42406,33.4625
43300,36.275
44386,35.025
45437,38.775
46424,36.9
47278,38.15
48257,36.9
49197,38.775
50121,35.9625
51024,38.15
51896,35.9625
52855,37.525
53773,38.775
54677,36.9
55643,36.275
56559,39.4
57418,38.775
58352,38.775
59184,38.775
60020,36.275
60877,38.775
61760,38.775
62650,38.775
63466,39.4
64350,39.4
65324,37.525
66124,38.15
67029,39.4
67886,38.775
68683,38.775
69437,39.4
70204,38.775
70999,38.15
71868,39.4
72807,38.775
73577,38.15
74539,38.15
75353,38.775
76103,38.775
76898,39.4
77757,38.775
78534,38.775
79288,38.775
80086,38.775
80870,39.4
81695,39.4
82528,39.4
83351,39.4
84144,39.4
84918,39.4
85645,39.4
86403,38.775
87140,39.4
87884,38.775
88586,39.4
89255,39.4
90005,39.4
90760,39.4
91482,39.4
92216,39.4
92910,39.4
93605,39.4
94271,39.4
94957,38.775
95721,38.775
96364,39.4
97063,39.4
97781,38.775
98465,38.775
99263,39.4
99973,38.775
100603,39.4
101229,38.775
101987,39.4
102635,39.4
103337,39.4
103979,39.4
104650,39.4
105303,39.4
105962,39.4
106722,39.4
107417,38.15
108067,39.4
108781,39.4
109424,39.4
110157,39.4
110791,39.4
111392,39.4
112040,38.775
112662,39.4
113303,39.4
113964,39.4
114585,38.775
115174,39.4
115833,39.4
116520,39.4
117146,39.4
117822,39.4
118503,39.4
119178,39.4
119839,39.4
120475,39.4
121142,39.4
121801,39.4
122480,39.4
123170,38.15
123870,38.775
124556,39.4
125264,39.4
125921,39.4
126628,39.4
127309,39.4
127958,39.4
128649,39.4
129357,39.4
130029,39.4
130722,39.4
131394,39.4
132036,39.4
132675,39.4
133413,39.4
134094,39.4
134742,39.4
135454,39.4
136104,39.4
136836,39.4
137532,39.4
138324,39.4
138966,39.4
139656,39.4
140370,39.4
141070,38.775
141846,39.4
142566,39.4
143244,39.4
143958,39.4
144666,39.4
145422,39.4
146166,39.4
146982,39.4
147762,39.4
148578,39.4
149412,39.4
150186,39.4
150978,39.4
151764,39.4
152574,39.4
153402,39.4
154140,39.4
154872,39.4
155682,39.4
156450,39.4
157206,39.4
158022,39.4
158874,39.4
159624,39.4
160416,39.4
161310,39.4
162168,39.4
163026,39.4
163920,39.4
164796,39.4
165630,39.4
166476,39.4
167352,39.4
168174,39.4
169002,39.4
169854,39.4
170814,39.4
171756,39.4
172608,39.4
173544,39.4
174474,39.4
175380,39.4
176304,39.4
177222,39.4
178110,39.4
179082,39.4
180042,39.4
180972,39.4
181920,39.4
182844,39.4
183852,39.4
184782,39.4
185700,39.4
186738,39.4
187686,39.4
188622,39.4
189630,39.4
190656,39.4
191640,39.4
192582,39.4
193578,39.4
194586,39.4
195534,39.4
196542,39.4
197496,39.4
198486,39.4
199542,39.4
200532,39.4
201474,39.4
202464,39.4
203478,39.4
204516,39.4
205482,39.4
206556,39.4
207600,39.4
