Timesteps,Eval/Return
18494,-156.13437499999975
36655,-65.20624999999995
54999,-23.628125000000036
72934,-17.18750000000002
91351,-18.125000000000007
109447,-12.812499999999996
127601,-12.187499999999991
145916,-11.56249999999999
164233,-11.562499999999986
182499,-10.312499999999982
201100,-12.18749999999999
219571,-10.937499999999986
237980,-10.937499999999982
256392,-9.99999999999998
274967,-9.99999999999998
293801,-9.99999999999998
312143,-9.99999999999998
330793,-9.99999999999998
349271,-9.99999999999998
367675,-9.99999999999998
385940,-9.99999999999998
404507,-9.99999999999998
423042,-9.99999999999998
441434,-9.99999999999998
459581,-9.99999999999998
478143,-9.99999999999998
496660,-9.99999999999998
514674,-9.99999999999998
