Timesteps,Eval/Return
18587,-103.06249999999984
36912,-98.79374999999987
55422,-85.72812499999989
73622,-80.3874999999999
91848,-58.900000000000006
110037,-67.54999999999995
128601,-43.57812499999997
146742,-47.118750000000006
165229,-36.40312500000003
183805,-37.81250000000004
202589,-30.31250000000004
220882,-22.81250000000004
239274,-20.00000000000001
257750,-18.750000000000025
276260,-14.0625
294777,-15.312500000000004
313149,-14.062499999999998
331573,-12.187499999999991
349701,-11.56249999999999
367731,-11.562499999999988
386404,-10.937499999999984
404957,-12.187499999999991
423441,-11.56249999999999
441949,-11.249999999999986
460236,-12.187499999999991
478961,-10.312499999999982
497399,-11.56249999999999
515788,-10.624999999999984
