Timesteps,Eval/Return
1506,17.85
3007,16.29
4548,14.209090909090907
5918,17.136363636363637
7244,21.26
8589,16.93
10030,18.95454545454545
11602,47.2
12970,16.707692307692305
14461,17.44545454545454
16169,18.969999999999995
17638,14.345454545454546
18969,13.891666666666666
20204,19.28
21590,13.63
23001,16.281818181818178
24268,15.491666666666664
25903,16.838461538461537
27228,14.8
28661,21.09
29922,18.018181818181816
31270,13.98
32916,17.08181818181818
34361,14.899999999999997
35919,16.463636363636365
37199,16.09090909090909
38539,19.37
39754,15.154545454545456
41062,16.254545454545454
42373,13.52727272727273
43727,16.20909090909091
44971,18.23
46257,18.25
47559,43.73636363636363
48886,18.172727272727272
50316,46.11999999999999
51637,18.04
52979,14.525
54243,12.754545454545452
55631,15.869230769230768
56963,21.31
58275,35.86666666666666
59598,15.041666666666666
60947,19.36
62221,17.29
63447,19.27
64742,12.189999999999998
66050,4.949999999999998
67317,15.169999999999998
68638,19.16
69943,17.299999999999997
71181,16.169999999999998
72465,20.26363636363636
73812,16.86153846153846
75084,13.663636363636364
76351,18.3
77472,17.29
78621,18.309999999999995
79949,14.82
81125,19.160000000000004
82297,14.12
83475,17.47272727272727
84883,19.28
86144,47.18999999999999
87389,19.336363636363632
88792,11.307692307692305
90007,16.06923076923077
91138,14.554545454545456
92306,21.37
93451,19.33
94745,18.37
95967,16.025000000000002
96986,16.66153846153846
98220,19.19
99528,19.34
100634,23.37
101889,18.059999999999995
103065,17.139999999999997
104295,18.327272727272728
105419,40.99090909090909
106507,15.361538461538462
107693,19.34545454545454
108897,17.279999999999998
110095,21.380000000000003
111302,17.28
112462,35.315384615384616
113654,20.972727272727276
114795,15.289999999999996
116022,17.499999999999996
117104,15.891666666666666
118424,19.360000000000003
119596,44.727272727272734
120747,18.44545454545454
121756,17.518181818181816
122889,19.299999999999997
124179,17.29
125389,13.015384615384615
126694,17.319999999999997
127837,18.19
129070,19.380000000000003
130314,19.018181818181816
131519,18.32
132613,22.36
133808,20.37
134941,20.116666666666664
136335,16.27
137575,19.28
138810,21.13636363636363
140035,20.95833333333333
141330,16.42727272727273
142499,17.527272727272724
143605,15.160000000000002
144732,17.327272727272724
146005,17.369999999999997
147053,15.609090909090906
148305,18.491666666666664
149462,19.23
150551,17.658333333333328
151612,20.25
152847,16.992307692307687
154119,18.36363636363636
155403,18.37272727272727
156585,22.29
157861,16.472727272727273
158947,21.00833333333333
160074,19.35
161165,19.28
162398,18.32
163489,19.35454545454546
164597,20.846153846153843
165649,21.19
166919,17.39090909090909
168182,19.20833333333333
169301,19.21
170524,18.463636363636365
171672,18.34
172802,21.29
174074,19.21818181818182
175195,40.75384615384615
176445,18.21
177417,19.35
178627,15.85384615384615
179792,19.16
180949,19.98333333333333
182161,20.26
183280,19.380000000000003
184470,17.88571428571428
185562,19.329999999999995
186631,21.17272727272728
187672,19.14
188694,18.24
189917,22.936363636363637
191093,19.24
192037,18.28181818181818
193093,17.299999999999997
194322,17.616666666666664
195424,21.118181818181814
196524,19.35
197465,21.34
198490,19.350000000000005
199405,17.279999999999998
200385,19.37
201318,17.516666666666666
202317,17.481818181818177
203283,22.936363636363637
204196,18.37272727272727
205244,17.329999999999995
206155,19.36666666666667
207211,18.44545454545454
208093,19.3
209060,18.541666666666668
210043,18.309999999999995
211131,23.18
212265,21.37
213107,21.380000000000003
214166,19.25454545454545
215297,18.51666666666667
216308,18.51666666666667
217523,19.37
218584,21.03333333333333
219648,19.25
220714,19.15
221938,18.24
223104,18.072727272727278
224335,20.11
225600,17.299999999999997
226623,21.309999999999995
227795,19.059999999999995
228956,17.9
230021,19.05
231200,19.04545454545454
232430,18.74
233753,19.16
234989,18.78
236421,17.589999999999996
237836,19.23
238942,18.42727272727272
240245,19.35
241686,17.619999999999997
242819,19.841666666666665
244015,18.97
245451,19.17
246456,19.21818181818181
247531,19.14
248640,20.899999999999995
249681,18.27
250742,19.18
251835,21.28
252830,20.12
253784,21.21
254843,18.63636363636364
255873,19.19090909090909
256928,19.08
258059,19.15
259221,17.83
260348,19.227272727272727
261556,20.818181818181817
262743,19.3
264022,19.059999999999995
265504,18.83
267013,21.2
268130,19.241666666666664
269396,18.58181818181818
270407,18.58
271528,21.08181818181818
272876,19.209090909090907
274222,19.21
275453,19.05
276498,19.3
277680,18.92
278984,21.27
280289,19.23
281407,19.092307692307696
282649,18.38181818181818
283559,23.29
284689,19.14
285837,19.34
287029,20.3
288160,19.22
289142,19.23
290283,18.97
291400,18.709090909090904
292566,19.16
293751,18.227272727272727
294922,18.15
296016,19.28
297368,18.130000000000003
298521,19.25
299670,19.15
300872,18.71818181818181
301890,19.21818181818181
303079,19.16
304288,19.28
305384,18.9
306368,18.03333333333333
307428,18.83
308536,19.24
309703,19.32
310822,18.87272727272727
312002,19.02
313110,19.24
314106,19.31
315120,18.17
316238,21.329999999999995
317207,21.23
318286,19.23636363636364
319307,19.21
320391,20.22
321339,18.23
322427,18.9
323517,18.19
324582,18.33
325539,19.2
326651,19.24
327773,21.018181818181816
328957,19.10909090909091
330142,18.474999999999994
331357,19.31
332597,17.87
333833,18.54
335018,19.26
336196,18.87
337394,16.99090909090909
338667,20.910000000000004
340236,19.169999999999995
341443,20.091666666666665
342972,19.09090909090909
344230,19.12
345607,19.309999999999995
346802,19.245454545454542
347962,18.29166666666666
349060,19.33
350019,19.24
351065,19.23
352164,21.26
353082,18.3
354269,19.16
355240,19.19
356296,19.24
357267,19.25
358173,19.15833333333333
359284,19.21
360483,19.12
361644,18.89
362727,19.08
364082,19.15
365521,19.1
366924,19.12
368171,19.02
369534,18.82
370764,17.216666666666665
372303,19.09
373748,19.099999999999994
374973,18.736363636363635
376630,19.14
378074,19.11
379098,19.01
379984,19.18181818181818
380944,21.27
381960,16.249999999999996
383028,19.018181818181816
384045,21.309999999999995
385100,19.236363636363635
386244,18.27
387270,19.309999999999995
388328,19.059999999999995
389390,18.9
390373,19.02
391623,19.34
392902,19.14
393870,18.366666666666664
395516,18.98
396718,19.04
397764,18.925
399060,18.99
400384,19.027272727272727
401414,21.07
402506,20.079999999999995
404086,19.16
405595,19.10909090909091
407052,18.94
408680,20.75
410448,19.03
411813,18.829999999999995
413287,18.18
414736,18.91
415990,19.01
417751,19.06
419980,19.05454545454545
421612,18.91
423799,19.17
425715,18.81
427751,18.829999999999995
429066,18.93
431000,19.7076923076923
432878,18.86
435241,18.307692307692303
437092,17.827272727272728
438937,19.03
440611,21.09333333333333
442631,19.03
444289,19.28
445990,18.3
447533,20.672727272727272
449635,16.545454545454547
451676,18.85
453502,18.96
455757,18.18
457812,19.22
459987,19.04
462001,18.561538461538458
463830,18.97
465925,18.088235294117645
468600,18.99
470963,18.77
472877,19.23
474533,19.14545454545454
476984,19.32
478904,17.749999999999996
481107,19.11
482685,21.2
484850,21.01
486485,18.66
488513,18.06
490493,19.036363636363635
492306,18.06
494012,19.459999999999997
496145,18.94
498770,18.825
500662,18.779999999999998
