Timesteps,Eval/Return
18348,-108.49374999999986
36704,-80.61874999999992
54981,-76.78437499999994
73705,-58.2
92106,-56.875
110477,-44.81875000000001
128507,-38.75000000000003
146986,-33.12500000000005
165727,-28.125000000000043
183950,-23.43750000000004
202588,-14.687499999999996
221196,-15.937500000000004
239533,-14.687500000000009
258110,-13.437499999999996
276494,-13.437499999999996
295214,-11.874999999999991
313685,-10.312499999999982
331793,-12.187499999999996
349970,-10.624999999999986
368415,-11.562499999999991
387016,-10.937499999999984
405415,-10.624999999999986
423680,-9.99999999999998
442142,-9.99999999999998
460917,-10.937499999999986
479365,-10.937499999999986
497690,-9.99999999999998
516080,-10.312499999999982
