Timesteps,Eval/Return
80000,-40.20833333333353
160000,-6.250000000000198
240000,-19.7916666666668
320000,-25.208333333333456
400000,-22.70833333333347
480000,-20.00000000000008
560000,-23.750000000000085
640000,-25.20833333333345
720000,-25.41666666666678
800000,-29.791666666666817
880000,-26.87500000000016
960000,-29.791666666666828
1040000,-31.458333333333517
1120000,-30.62500000000016
1200000,-33.333333333333535
1280000,-34.37500000000022
1360000,-31.87500000000021
1440000,-33.54166666666686
1519845,-32.291666666666885
1599705,-31.87500000000017
1679705,-30.41666666666684
1759705,-30.41666666666684
1839705,-31.458333333333517
1919705,-29.375000000000146
1999705,-30.2083333333335
2079583,-30.625000000000167
2159583,-28.333333333333485
2239583,-30.41666666666684
2319583,-30.625000000000167
2399583,-23.95833333333343
2479583,-27.083333333333474
2559583,-26.6666666666668
2639583,-28.125000000000146
2719583,-32.29166666666686
2799491,-25.208333333333417
2879491,-28.33333333333349
2959491,-25.83333333333344
3039491,-25.000000000000124
3119491,-26.45833333333346
3199491,-28.125000000000146
3279491,-31.041666666666853
3359491,-31.25000000000019
3439491,-28.958333333333474
3519491,-30.625000000000185
3599491,-28.33333333333348
3679491,-31.666666666666853
3759491,-28.333333333333467
3839491,-30.416666666666845
3919491,-31.45833333333352
3999491,-28.5416666666668
4079491,-34.58333333333356
4159491,-26.04166666666679
4239491,-26.66666666666679
4319491,-31.45833333333351
4399491,-32.50000000000022
4479491,-31.66666666666684
4559491,-28.750000000000146
4639491,-29.58333333333351
4719491,-32.50000000000019
4799491,-28.333333333333485
4879491,-28.75000000000016
4959491,-30.208333333333517
5039491,-30.208333333333503
5119491,-30.00000000000016
5199475,-30.208333333333517
5279475,-26.04166666666677
5359475,-30.000000000000146
5439475,-27.708333333333456
5519475,-27.91666666666679
5599475,-30.000000000000167
5679475,-28.125000000000146
5759475,-33.33333333333354
5839475,-30.41666666666684
5919475,-28.125000000000124
5999475,-28.333333333333474
6079475,-32.29166666666687
6159475,-32.083333333333535
6239475,-30.416666666666817
6319475,-30.00000000000017
6399475,-29.583333333333517
6479475,-32.91666666666688
6559475,-31.666666666666853
6639475,-28.333333333333474
6719475,-32.91666666666688
6799475,-33.333333333333535
6879475,-33.750000000000206
6959475,-32.500000000000185
7039475,-30.2083333333335
7119475,-32.08333333333352
7199475,-33.750000000000206
7279475,-30.416666666666828
7359475,-34.16666666666689
7439458,-30.83333333333351
7519458,-32.29166666666686
7599458,-32.083333333333535
7679458,-34.58333333333355
7759458,-28.333333333333456
7839458,-31.666666666666845
7919458,-31.25000000000017
7999458,-30.000000000000156
8079458,-33.333333333333535
8159458,-32.50000000000019
8239458,-28.750000000000156
8319458,-28.33333333333347
8399458,-31.25000000000018
8479458,-30.416666666666828
8559458,-30.416666666666817
8639458,-32.083333333333506
8719458,-32.91666666666686
8799458,-33.75000000000021
8879458,-30.000000000000146
8959458,-30.833333333333503
9039458,-33.75000000000022
9119458,-33.33333333333354
9199458,-27.50000000000012
9279458,-32.500000000000185
9359458,-27.916666666666785
9439458,-25.41666666666677
9519458,-27.9166666666668
9599458,-27.08333333333348
9679458,-26.25000000000013
9759458,-27.500000000000146
9839458,-25.00000000000011
9919458,-18.750000000000032
9999458,-16.250000000000053
10079458,-17.91666666666671
10159458,-22.500000000000085
10239458,-18.33333333333336
10319458,-18.333333333333368
10399458,-17.916666666666714
10479458,-16.250000000000057
10559458,-20.41666666666673
10639458,-19.166666666666718
10719458,-19.58333333333336
10799458,-13.750000000000034
10879458,-14.583333333333364
10959458,-19.16666666666671
11039458,-15.833333333333384
11119458,-16.250000000000025
11199458,-16.666666666666703
11279458,-15.208333333333348
11359458,-14.5833333333334
11439458,-14.58333333333335
11519458,-15.41666666666672
11599458,-18.75000000000004
11679458,-16.250000000000043
11759458,-19.166666666666703
11839458,-16.666666666666725
11919458,-15.416666666666693
11999458,-13.333333333333352
12079458,-10.00000000000007
12159458,-11.666666666666693
12239458,-8.333333333333409
12319458,-7.916666666666774
12399458,-9.166666666666693
12479458,-8.333333333333417
12559458,-6.666666666666722
12639458,-11.250000000000076
12719458,-5.416666666666747
12799458,-5.833333333333434
12879458,-9.583333333333394
12959458,-10.416666666666726
13039458,-10.000000000000068
13119458,-7.500000000000097
13199458,-5.208333333333475
13279458,-7.083333333333402
13359458,-6.666666666666745
13439458,-8.958333333333433
13519458,-5.416666666666752
13599458,-7.91666666666676
13679458,-8.333333333333444
13759458,-7.29166666666674
13839458,-8.333333333333394
13919458,-5.000000000000155
13999458,-7.500000000000104
14079458,-8.750000000000107
14159458,-5.416666666666809
14239458,-4.583333333333453
14319458,-4.583333333333431
14399458,-6.250000000000118
14479458,-5.000000000000154
14559458,-5.0000000000001386
14639458,-4.1666666666667975
14719458,-4.166666666666759
14799458,-1.250000000000205
14879458,-2.500000000000145
14959458,-2.916666666666848
15039458,-3.750000000000146
15119458,-5.416666666666795
15199458,-4.583333333333418
15279458,-4.166666666666786
15359458,-3.750000000000108
15439458,-1.6666666666668644
15519458,-1.2500000000002096
15599458,-1.666666666666835
15679458,-1.2500000000001577
15759458,-4.166666666666781
15839458,-4.583333333333453
15919458,-2.099801813907713e-13
15999458,-1.6666666666668437
16079458,-0.8333333333335169
16159458,-0.4166666666668946
16239458,-1.6666666666668446
16319458,3.3333333333330635
16399458,1.249999999999766
16479458,1.6666666666664114
16559458,4.583333333333016
16639458,1.2499999999997689
16719458,2.499999999999756
16799458,2.916666666666428
16879458,1.666666666666402
16959458,-2.220446049250313e-13
17039458,1.6666666666664167
17119458,0.833333333333084
17199458,0.4166666666664246
17279458,0.4166666666664076
17359458,-2.3329486490789963e-13
17439458,-1.2500000000002414
17519458,1.666666666666434
17599458,1.2499999999997702
17679445,-2.519466117216022e-13
17759445,3.749999999999716
17839445,2.9166666666663943
17919445,0.4166666666664417
17999445,2.499999999999703
18079445,1.6666666666664056
18159445,2.91666666666638
18239445,4.583333333333044
18319445,0.4166666666664061
18399445,0.8333333333330802
18479445,1.2499999999997495
18559445,1.6666666666664398
18639445,1.6666666666664265
18719445,1.6666666666663943
18799445,0.4166666666664283
18879445,1.6666666666664176
18959445,-0.8333333333335299
19039445,-1.2500000000002238
19119445,2.916666666666398
19199445,1.6666666666663927
19279441,4.999999999999699
19359441,2.499999999999716
19439441,0.8333333333330907
19519441,2.9166666666663907
19599441,4.583333333333024
19679441,2.0833333333330857
19759441,1.666666666666402
19839441,-1.666666666666874
19919441,0.8333333333330765
19999441,0.4166666666664331
20079441,3.7499999999997176
20159441,1.2499999999997349
20239441,2.0833333333330613
20319441,4.1666666666663525
20399441,1.2499999999997364
20479441,4.1666666666663525
20559441,3.7499999999996967
20639441,2.083333333333075
20719441,6.041666666666373
20799441,6.249999999999648
20879441,3.333333333333036
20959441,4.16666666666634
21039441,2.916666666666373
21119441,2.4999999999997167
21199441,4.583333333333024
21279441,4.166666666666372
21359441,1.666666666666383
21439441,5.416666666666326
21519441,1.249999999999749
21599441,5.41666666666634
21679441,1.2499999999997344
21759441,4.166666666666358
21839441,2.4999999999997184
21919441,2.4999999999997
21999441,5.416666666666342
22079441,5.41666666666634
22159441,2.0833333333330444
