Timesteps,Eval/Return
40000,-18.75000000000001
80000,-23.54166666666672
120000,-20.208333333333368
160000,-21.45833333333337
200000,-19.58333333333336
240000,-17.083333333333343
280000,-20.00000000000003
320000,-18.333333333333343
360000,-20.416666666666693
400000,-19.166666666666696
440000,-18.95833333333336
480000,-20.625000000000032
520000,-19.791666666666703
560000,-19.375000000000025
600000,-18.12500000000001
640000,-18.333333333333357
680000,-18.958333333333357
720000,-19.16666666666669
760000,-25.83333333333333
800000,-22.2916666666667
840000,-22.08333333333337
880000,-21.87500000000004
920000,-19.375000000000025
960000,-18.958333333333343
1000000,-19.79166666666669
1040000,-19.79166666666669
1080000,-22.08333333333333
1120000,-19.583333333333357
1160000,-20.00000000000003
1200000,-19.583333333333357
1240000,-21.04166666666669
1280000,-19.375000000000025
1320000,-19.79166666666669
1360000,-20.000000000000025
1400000,-19.16666666666668
1440000,-20.62500000000003
1480000,-20.625000000000032
1520000,-23.125000000000018
1560000,-19.58333333333335
1600000,-20.20833333333336
1640000,-20.41666666666669
1680000,-19.37500000000001
1720000,-20.62500000000003
1760000,-19.583333333333357
1800000,-20.41666666666669
1840000,-18.75000000000001
1880000,-20.625000000000032
1920000,-18.958333333333343
1960000,-22.500000000000018
2000000,-19.58333333333335
2040000,-19.79166666666669
2080000,-20.625000000000025
2120000,-19.375000000000018
2160000,-20.62500000000003
2200000,-19.79166666666668
2240000,-20.83333333333336
2280000,-20.00000000000002
2320000,-19.375000000000018
2360000,-19.375000000000025
2400000,-21.666666666666696
2440000,-20.000000000000018
2480000,-20.000000000000025
2520000,-19.58333333333335
2560000,-20.625000000000025
2600000,-19.79166666666669
2640000,-20.000000000000025
2680000,-20.83333333333336
2720000,-19.58333333333335
2760000,-20.208333333333357
2800000,-19.58333333333335
2840000,-20.833333333333364
2880000,-20.625000000000025
2920000,-18.958333333333343
2960000,-20.416666666666693
3000000,-19.79166666666669
3040000,-19.58333333333335
3080000,-19.375000000000018
3120000,-19.375000000000018
3160000,-21.250000000000032
3200000,-19.16666666666668
3240000,-17.708333333333343
3280000,-18.12500000000001
3320000,-19.16666666666668
3360000,-19.37500000000001
3400000,-18.125000000000018
3440000,-19.16666666666668
3480000,-26.250000000000018
3520000,-21.875
3560000,-20.00000000000002
3600000,-28.125
3640000,-19.79166666666669
3680000,-19.16666666666669
3720000,-19.583333333333357
3760000,-19.16666666666669
3800000,-18.958333333333343
3840000,-18.75000000000001
3880000,-18.54166666666668
3920000,-19.375000000000018
3960000,-19.58333333333335
4000000,-19.375000000000018
4040000,-19.375000000000018
4080000,-19.79166666666669
4120000,-20.000000000000025
4160000,-17.708333333333346
4200000,-17.50000000000001
4240000,-19.375000000000018
4280000,-17.708333333333343
4320000,-17.291666666666675
4360000,-17.70833333333335
4400000,-20.000000000000025
4440000,-19.375000000000018
4480000,-24.375
4520000,-18.541666666666675
4560000,-18.333333333333343
4600000,-18.12500000000001
4640000,-18.75000000000002
4680000,-28.958333333333325
4720000,-22.916666666666718
4760000,-21.875000000000018
4800000,-23.541666666666657
4840000,-17.916666666666675
4880000,-18.333333333333343
4920000,-17.29166666666668
4960000,-17.708333333333343
5000000,-17.08333333333334
5040000,-18.54166666666669
5080000,-19.58333333333335
5120000,-17.08333333333334
5160000,-18.12500000000001
5200000,-18.54166666666668
5240000,-18.54166666666668
5280000,-18.541666666666675
5320000,-19.37500000000003
5360000,-18.95833333333335
5400000,-16.45833333333334
5440000,-18.75000000000001
5480000,-19.58333333333336
5520000,-19.79166666666668
5560000,-20.625000000000032
5600000,-17.708333333333343
5640000,-17.916666666666675
5680000,-18.333333333333343
5720000,-18.54166666666668
5760000,-17.08333333333334
5800000,-18.958333333333357
5840000,-17.916666666666675
5880000,-17.500000000000007
5920000,-19.16666666666668
5960000,-17.50000000000001
6000000,-18.958333333333357
6040000,-19.16666666666668
6080000,-19.583333333333357
6120000,-19.16666666666669
6160000,-18.95833333333335
6200000,-18.33333333333335
6240000,-18.958333333333343
6280000,-25.83333333333333
6320000,-19.58333333333335
6360000,-19.16666666666668
6400000,-19.375000000000018
6440000,-18.54166666666668
6480000,-17.916666666666675
6520000,-17.083333333333346
6560000,-18.12500000000001
6600000,-17.916666666666675
6640000,-19.16666666666668
6680000,-18.75000000000001
6720000,-18.75000000000001
6760000,-18.95833333333335
6800000,-19.16666666666669
6840000,-17.50000000000001
6880000,-19.16666666666669
6920000,-20.20833333333336
6960000,-20.625000000000025
7000000,-18.125000000000004
7040000,-17.708333333333343
7080000,-18.95833333333336
7120000,-18.54166666666668
7160000,-18.333333333333343
7200000,-17.916666666666675
7240000,-18.750000000000018
7280000,-18.333333333333343
7320000,-19.37500000000001
7360000,-19.16666666666669
7400000,-18.75000000000001
7440000,-17.08333333333334
7480000,-20.833333333333368
7520000,-17.916666666666675
7560000,-17.08333333333334
7600000,-18.95833333333336
7640000,-19.79166666666669
7680000,-17.50000000000001
7720000,-20.625000000000025
7760000,-17.08333333333334
7800000,-19.16666666666668
7840000,-19.79166666666669
7880000,-18.750000000000018
7920000,-18.125000000000007
7960000,-18.75000000000001
8000000,-18.333333333333343
8040000,-18.54166666666668
8080000,-17.916666666666682
8120000,-17.708333333333346
8160000,-18.333333333333343
8200000,-18.12500000000001
8240000,-18.75000000000001
8280000,-18.54166666666669
8320000,-19.375000000000018
8360000,-18.75000000000001
8400000,-17.70833333333334
8440000,-20.000000000000025
8480000,-20.208333333333368
8520000,-18.958333333333343
8560000,-25.62499999999999
8600000,-17.29166666666667
8640000,-19.16666666666668
8680000,-18.75000000000001
8720000,-17.91666666666668
8760000,-18.750000000000018
8800000,-19.583333333333357
8840000,-19.16666666666669
8880000,-16.458333333333332
8920000,-17.500000000000014
8960000,-23.333333333333343
9000000,-17.916666666666675
9040000,-19.375000000000018
9080000,-18.333333333333343
9120000,-25.0
9160000,-18.750000000000018
9200000,-17.50000000000001
9240000,-18.333333333333343
9280000,-21.041666666666668
9320000,-19.79166666666669
9360000,-17.50000000000001
9400000,-19.583333333333343
9440000,-19.16666666666668
9480000,-17.08333333333334
9520000,-18.54166666666668
9560000,-18.333333333333343
9600000,-18.54166666666668
9640000,-19.16666666666669
9680000,-19.79166666666669
9720000,-20.416666666666696
9760000,-18.54166666666668
9800000,-19.16666666666669
9840000,-18.54166666666669
9880000,-17.708333333333343
9920000,-16.875000000000004
9960000,-18.12500000000001
10000000,-18.75000000000001
10040000,-20.000000000000025
10080000,-18.958333333333343
10120000,-18.54166666666668
10160000,-17.916666666666675
10200000,-18.333333333333343
10240000,-17.70833333333334
10280000,-18.12500000000001
10320000,-17.91666666666668
10360000,-18.750000000000018
10400000,-18.750000000000025
10440000,-19.583333333333357
10480000,-20.20833333333336
10520000,-18.333333333333343
10560000,-18.958333333333357
10600000,-19.375000000000018
10640000,-19.583333333333357
10680000,-18.333333333333343
10720000,-18.333333333333343
10760000,-18.75000000000001
10800000,-18.95833333333335
10840000,-18.75000000000001
10880000,-18.75000000000001
10920000,-19.583333333333357
10960000,-17.916666666666682
11000000,-18.333333333333343
11040000,-23.125000000000004
11080000,-18.958333333333343
11120000,-19.375000000000018
11160000,-17.916666666666682
11200000,-19.16666666666669
11240000,-17.50000000000001
11280000,-19.16666666666668
11320000,-18.125000000000018
11360000,-18.54166666666668
11400000,-19.79166666666669
11440000,-19.16666666666668
11480000,-18.12500000000001
11520000,-17.500000000000014
11560000,-18.95833333333336
11600000,-17.916666666666675
11640000,-18.333333333333343
11680000,-18.333333333333343
11720000,-18.750000000000018
11760000,-20.833333333333368
11800000,-18.33333333333335
11840000,-19.79166666666669
11880000,-18.12500000000001
11920000,-17.708333333333346
11960000,-20.625000000000025
12000000,-19.16666666666669
12040000,-18.958333333333357
12080000,-17.91666666666668
12120000,-17.916666666666675
12160000,-17.916666666666675
12200000,-19.375000000000025
12240000,-17.708333333333346
12280000,-18.12500000000001
12320000,-18.125000000000018
12360000,-19.375000000000018
12400000,-18.33333333333335
12440000,-17.708333333333343
12480000,-18.958333333333357
12520000,-15.000000000000002
12560000,-18.33333333333335
12600000,-17.91666666666667
12640000,-18.333333333333343
12680000,-16.041666666666675
12720000,-17.291666666666675
12760000,-17.50000000000001
12800000,-15.833333333333334
12840000,-18.75000000000001
12880000,-21.66666666666668
12920000,-17.500000000000004
12960000,-19.375000000000018
13000000,-18.333333333333343
13040000,-17.291666666666675
13080000,-19.16666666666669
13120000,-18.12500000000001
13160000,-16.87500000000001
13200000,-19.375000000000018
13240000,-18.75000000000001
13280000,-19.16666666666669
13320000,-17.708333333333346
13360000,-18.333333333333343
13400000,-21.875
13440000,-19.16666666666668
13480000,-18.333333333333343
13520000,-17.291666666666675
13560000,-17.291666666666675
13600000,-16.458333333333343
13640000,-18.333333333333343
13680000,-18.958333333333343
13720000,-18.12500000000001
13760000,-20.41666666666669
13800000,-19.166666666666693
13840000,-18.54166666666668
13880000,-23.541666666666668
13920000,-19.791666666666696
13960000,-17.708333333333343
14000000,-22.916666666666668
14040000,-14.791666666666664
14080000,-16.875000000000014
14120000,-18.54166666666668
14160000,-19.16666666666668
14200000,-18.750000000000018
14240000,-19.16666666666669
14280000,-19.16666666666669
14320000,-21.250000000000032
14360000,-19.16666666666669
14400000,-18.12500000000001
14440000,-19.791666666666696
14480000,-20.416666666666693
14520000,-19.583333333333357
14560000,-19.16666666666668
14600000,-25.20833333333333
14640000,-18.333333333333343
14680000,-20.625000000000032
14720000,-18.750000000000018
14760000,-18.54166666666668
14800000,-17.91666666666668
14840000,-23.33333333333332
14880000,-19.16666666666669
14920000,-18.541666666666675
14960000,-17.708333333333343
15000000,-18.333333333333343
15040000,-19.375000000000018
15080000,-18.12500000000001
15120000,-19.375000000000018
15160000,-19.16666666666669
15200000,-18.750000000000018
15240000,-20.00000000000002
15280000,-18.750000000000018
15320000,-18.958333333333343
15360000,-18.12500000000001
15400000,-20.20833333333336
15440000,-19.16666666666669
15480000,-19.16666666666669
15520000,-18.958333333333357
15560000,-18.958333333333343
15600000,-19.375000000000018
15640000,-17.916666666666675
15680000,-19.79166666666669
15720000,-19.375000000000018
15760000,-18.54166666666668
15800000,-17.916666666666675
15840000,-19.16666666666668
15880000,-19.16666666666668
15920000,-18.333333333333343
15960000,-17.708333333333343
16000000,-19.79166666666669
16040000,-20.000000000000025
16080000,-19.375000000000018
16120000,-17.916666666666686
16160000,-19.16666666666668
16200000,-18.958333333333357
16240000,-18.33333333333335
16280000,-19.16666666666668
16320000,-19.583333333333357
16360000,-19.16666666666669
16400000,-18.54166666666668
16440000,-18.333333333333343
16480000,-18.54166666666668
16520000,-18.12500000000001
16560000,-19.16666666666669
16600000,-18.958333333333343
16640000,-19.16666666666668
16680000,-18.333333333333343
16720000,-18.33333333333335
16760000,-20.41666666666666
16800000,-19.16666666666668
16840000,-20.625000000000025
16880000,-17.08333333333334
16920000,-23.12500000000001
16960000,-18.12500000000001
17000000,-18.54166666666668
17040000,-19.16666666666669
17080000,-18.54166666666668
17120000,-19.16666666666668
17160000,-17.916666666666675
17200000,-17.70833333333334
17240000,-18.75000000000001
17280000,-18.54166666666668
17320000,-20.20833333333336
17360000,-19.37500000000001
17400000,-17.500000000000004
17440000,-19.16666666666669
17480000,-18.54166666666668
17520000,-18.95833333333335
17560000,-18.75000000000001
17600000,-19.58333333333336
17640000,-18.750000000000025
17680000,-20.41666666666669
17720000,-19.58333333333335
17760000,-20.20833333333336
17800000,-19.375000000000018
17840000,-19.16666666666669
17880000,-18.958333333333357
17920000,-18.12500000000001
17960000,-17.291666666666675
18000000,-17.916666666666682
18040000,-18.333333333333343
18080000,-16.875000000000004
18120000,-17.70833333333334
18160000,-19.375000000000018
18200000,-18.95833333333335
18240000,-18.750000000000018
18280000,-17.916666666666675
18320000,-20.41666666666669
18360000,-21.6666666666667
18400000,-20.62500000000001
18440000,-16.666666666666675
18480000,-20.83333333333336
18520000,-20.41666666666669
18560000,-18.95833333333335
18600000,-20.000000000000025
18640000,-18.750000000000025
18680000,-17.708333333333343
18720000,-19.79166666666668
18760000,-18.750000000000018
18800000,-19.37500000000001
18840000,-19.375000000000025
18880000,-18.75000000000001
18920000,-16.45833333333334
18960000,-17.708333333333346
19000000,-17.708333333333353
19040000,-24.79166666666666
19080000,-19.16666666666669
19120000,-17.91666666666668
19160000,-17.08333333333334
19200000,-17.916666666666675
19240000,-19.375000000000018
19280000,-18.958333333333343
19320000,-17.916666666666682
19360000,-18.12500000000001
19400000,-17.08333333333334
19440000,-17.708333333333346
19480000,-17.500000000000007
19520000,-17.916666666666682
19560000,-19.58333333333336
19600000,-17.91666666666667
19640000,-18.958333333333343
19680000,-18.333333333333343
19720000,-18.95833333333335
19760000,-22.291666666666647
19800000,-18.333333333333343
19840000,-18.54166666666668
19880000,-17.083333333333336
19920000,-17.708333333333343
19960000,-19.16666666666669
20000000,-19.16666666666669
20040000,-17.08333333333334
20080000,-18.333333333333357
20120000,-16.875000000000004
20160000,-20.41666666666669
20200000,-18.750000000000018
20240000,-15.624999999999998
20280000,-18.333333333333343
20320000,-18.12500000000001
20360000,-18.750000000000018
20400000,-16.458333333333332
20440000,-16.250000000000004
20480000,-18.95833333333336
20520000,-17.708333333333343
20560000,-18.12500000000001
20600000,-17.708333333333346
20640000,-16.66666666666667
20680000,-16.04166666666666
20720000,-18.54166666666669
20760000,-18.750000000000018
20800000,-19.79166666666669
20840000,-17.916666666666682
20880000,-17.708333333333343
20920000,-17.500000000000007
20960000,-17.29166666666667
21000000,-19.16666666666669
21040000,-17.916666666666682
21080000,-18.750000000000018
21120000,-18.33333333333336
21160000,-17.50000000000001
21200000,-18.750000000000018
21240000,-16.875000000000007
21280000,-18.333333333333343
21320000,-18.33333333333335
21360000,-18.12500000000002
21400000,-18.75000000000001
21440000,-17.916666666666682
21480000,-21.66666666666669
21520000,-16.45833333333334
21560000,-21.250000000000007
21600000,-19.16666666666668
21640000,-18.95833333333335
21680000,-17.500000000000004
21720000,-17.083333333333332
21760000,-18.333333333333343
21800000,-19.58333333333336
21840000,-16.666666666666675
21880000,-17.50000000000001
21920000,-19.583333333333357
21960000,-25.20833333333333
22000000,-15.000000000000002
22040000,-17.91666666666668
22080000,-18.12500000000001
22120000,-17.083333333333343
22160000,-18.333333333333343
22200000,-18.12500000000001
22240000,-17.708333333333346
22280000,-18.333333333333343
22320000,-17.500000000000004
22360000,-22.49999999999999
22400000,-19.583333333333364
22440000,-16.66666666666667
22480000,-17.291666666666675
22520000,-18.750000000000018
22560000,-16.66666666666667
22600000,-17.500000000000014
22640000,-16.04166666666667
22680000,-16.25
22720000,-20.625
22760000,-17.50000000000001
22800000,-19.16666666666669
22840000,-16.875000000000004
22880000,-15.20833333333333
22920000,-16.45833333333334
22960000,-17.500000000000007
23000000,-16.87500000000001
23040000,-15.41666666666667
23080000,-17.08333333333334
23120000,-18.125000000000025
23160000,-22.916666666666657
23200000,-18.33333333333335
23240000,-17.916666666666682
23280000,-16.666666666666682
23320000,-19.37500000000002
23360000,-18.54166666666669
23400000,-18.125000000000018
23440000,-19.16666666666668
23480000,-17.083333333333343
23520000,-17.708333333333343
23560000,-18.12500000000001
