Timesteps,Eval/Return
40000,-21.250000000000025
80000,-18.54166666666669
120000,-20.833333333333368
160000,-18.54166666666668
200000,-19.58333333333336
240000,-16.041666666666668
280000,-22.083333333333385
320000,-18.54166666666669
360000,-20.000000000000025
400000,-19.37500000000002
440000,-19.16666666666668
480000,-20.00000000000004
520000,-18.54166666666669
560000,-17.916666666666682
600000,-22.708333333333343
640000,-17.708333333333343
680000,-19.583333333333364
720000,-19.583333333333357
760000,-20.625000000000018
800000,-19.79166666666669
840000,-22.083333333333368
880000,-19.79166666666669
920000,-20.62500000000003
960000,-18.958333333333343
1000000,-19.16666666666669
1040000,-21.45833333333336
1080000,-19.16666666666669
1120000,-20.000000000000018
1160000,-20.20833333333336
1200000,-24.58333333333333
1240000,-20.00000000000002
1280000,-22.08333333333336
1320000,-19.375000000000018
1360000,-25.000000000000004
1400000,-19.16666666666668
1440000,-21.0416666666667
1480000,-19.79166666666669
1520000,-20.000000000000025
1560000,-19.16666666666668
1600000,-19.79166666666669
1640000,-20.000000000000018
1680000,-19.79166666666669
1720000,-20.000000000000025
1760000,-19.16666666666668
1800000,-19.16666666666668
1840000,-19.79166666666669
1880000,-22.08333333333337
1920000,-20.00000000000002
1960000,-18.958333333333343
2000000,-19.79166666666669
2040000,-19.58333333333335
2080000,-20.41666666666669
2120000,-19.583333333333357
2160000,-21.25000000000004
2200000,-19.583333333333357
2240000,-20.000000000000018
2280000,-19.583333333333357
2320000,-20.000000000000018
2360000,-19.58333333333335
2400000,-20.41666666666669
2440000,-20.41666666666669
2480000,-20.41666666666669
2520000,-20.000000000000018
2560000,-20.62500000000003
2600000,-20.416666666666693
2640000,-19.58333333333335
2680000,-20.000000000000018
2720000,-20.000000000000018
2760000,-19.375000000000018
2800000,-19.58333333333335
2840000,-19.58333333333335
2880000,-20.62500000000003
2920000,-20.000000000000018
2960000,-19.37500000000001
3000000,-19.16666666666668
3040000,-19.37500000000001
3080000,-20.000000000000018
3120000,-20.000000000000018
3160000,-19.58333333333335
3200000,-20.000000000000018
3240000,-20.62500000000003
3280000,-20.000000000000018
3320000,-19.16666666666668
3360000,-19.375000000000018
3400000,-20.208333333333357
3440000,-20.000000000000018
3480000,-20.62500000000003
3520000,-21.45833333333336
3560000,-20.000000000000018
3600000,-19.583333333333357
3640000,-19.58333333333335
3680000,-20.41666666666669
3720000,-21.041666666666693
3760000,-19.58333333333336
3800000,-19.791666666666693
3840000,-19.37500000000001
3880000,-20.208333333333357
3920000,-20.416666666666693
3960000,-19.16666666666669
4000000,-23.958333333333357
4040000,-18.750000000000018
4080000,-20.000000000000018
4120000,-20.000000000000025
4160000,-18.75000000000001
4200000,-19.583333333333357
4240000,-19.58333333333335
4280000,-17.916666666666675
4320000,-18.54166666666668
4360000,-19.79166666666669
4400000,-20.625000000000025
4440000,-18.12500000000001
4480000,-19.16666666666668
4520000,-18.958333333333343
4560000,-19.79166666666669
4600000,-18.75000000000001
