Timesteps,Eval/Return
80000,-28.125000000000156
160000,-12.708333333333384
240000,-38.33333333333362
320000,-39.16666666666696
400000,-40.0000000000003
480000,-40.0000000000003
560000,-40.0000000000003
640000,-39.58333333333363
720000,-40.0000000000003
800000,-40.0000000000003
880000,-40.0000000000003
960000,-40.0000000000003
1040000,-40.0000000000003
1120000,-40.0000000000003
1199901,-40.0000000000003
1279901,-40.0000000000003
1359901,-40.0000000000003
1439901,-40.0000000000003
1519901,-40.0000000000003
1599901,-40.0000000000003
1679901,-40.0000000000003
1759901,-40.0000000000003
1839901,-40.0000000000003
1919901,-40.0000000000003
1999901,-40.0000000000003
2079901,-40.0000000000003
2159901,-40.0000000000003
2239901,-40.0000000000003
2319901,-40.0000000000003
2399901,-40.0000000000003
2479901,-40.0000000000003
2559901,-40.0000000000003
2639901,-40.0000000000003
2719901,-39.58333333333363
2799901,-40.0000000000003
2879901,-40.0000000000003
2959901,-40.0000000000003
3039901,-40.0000000000003
3119901,-40.0000000000003
3199901,-39.58333333333363
3279901,-40.0000000000003
3359901,-40.0000000000003
3439901,-40.0000000000003
3519901,-40.0000000000003
3599901,-40.0000000000003
3679901,-40.0000000000003
3759901,-40.0000000000003
3839901,-39.58333333333363
3919901,-40.0000000000003
3999901,-40.0000000000003
4079901,-40.0000000000003
4159901,-40.0000000000003
4239901,-40.0000000000003
4319901,-40.0000000000003
4399901,-40.0000000000003
4479901,-40.0000000000003
4559901,-40.0000000000003
4639901,-40.0000000000003
4719901,-40.0000000000003
4799901,-40.0000000000003
4879901,-40.0000000000003
4959901,-40.0000000000003
5039901,-40.0000000000003
5119901,-40.0000000000003
5199901,-40.0000000000003
5279901,-40.0000000000003
5359901,-40.0000000000003
5439901,-40.0000000000003
5519901,-40.0000000000003
5599901,-40.0000000000003
5679901,-40.0000000000003
5759901,-39.583333333333634
5839901,-38.333333333333606
5919901,-40.0000000000003
5999901,-39.58333333333363
6079901,-39.58333333333363
6159901,-38.75000000000028
6239901,-39.58333333333363
6319901,-39.16666666666696
6399901,-40.0000000000003
6479901,-38.75000000000028
6559901,-39.16666666666696
6639901,-38.333333333333606
6719901,-37.50000000000026
6799901,-39.58333333333363
6879901,-39.58333333333363
6959901,-38.75000000000028
7039901,-38.75000000000028
7119901,-40.0000000000003
7199901,-37.91666666666694
7279901,-38.33333333333361
7359901,-40.0000000000003
7439901,-39.583333333333634
7519901,-39.58333333333363
7599901,-39.16666666666695
7679901,-38.75000000000028
7759901,-40.0000000000003
7839901,-37.91666666666693
7919901,-37.91666666666693
7999901,-39.16666666666695
8079901,-36.87500000000028
8159901,-38.333333333333606
8239901,-38.75000000000029
8319901,-37.50000000000026
8399901,-38.333333333333606
8479901,-35.00000000000023
8559901,-25.208333333333474
8639901,-25.000000000000128
8719901,-26.25000000000013
8799901,-30.833333333333503
8879901,-23.750000000000146
8959901,-28.333333333333503
9039901,-29.37500000000017
9119901,-28.541666666666817
9199901,-25.833333333333467
9279901,-23.75000000000012
9359901,-25.000000000000146
9439901,-22.500000000000128
9519901,-25.625000000000124
9599901,-25.000000000000146
9679901,-26.250000000000146
9759901,-25.833333333333496
9839901,-28.541666666666828
9919901,-23.125000000000146
9999901,-22.70833333333343
10079901,-24.58333333333348
10159901,-18.750000000000146
10239901,-21.25000000000012
10319901,-16.66666666666671
10399901,-7.916666666666661
10479901,-9.166666666666664
10559901,-4.16666666666665
10639901,-5.833333333333319
10719901,-9.791666666666684
10799901,-4.791666666666697
10879901,-1.2499999999999911
10959901,-6.250000000000017
11039901,-1.6666666666666308
11119901,-3.5416666666666803
11199901,0.4166666666666925
11279901,4.166666666666639
11359901,-9.166666666666648
11439901,-3.749999999999963
11519901,0.416666666666676
11599901,-1.6666666666666508
11679901,-3.749999999999963
11759901,-3.3333333333333397
11839901,-6.666666666666675
11919901,-3.5416666666666416
11999901,-2.499999999999976
12079901,-5.416666666666655
12159901,-3.9583333333333512
12239901,1.6666666666666574
12319901,0.4166666666666814
12399901,-1.4358884451818692e-14
12479901,0.4166666666666541
12559901,-0.8333333333333227
12639901,-2.08333333333338
12719901,1.666666666666618
12799901,-4.166666666666687
12879901,-0.416666666666718
12959901,-1.249999999999985
13039901,-0.4166666666666846
13119901,2.4999999999999543
13199901,1.6666666666666614
13279901,6.04166666666661
13359901,4.166666666666616
13439901,2.916666666666613
13519901,6.666666666666584
13599901,6.249999999999969
13679901,5.833333333333297
13759901,8.333333333333277
13839901,3.9583333333332207
13919901,6.249999999999879
13999901,4.999999999999862
14079901,3.750000000000016
14159901,1.666666666666626
14239901,2.9166666666666043
14319901,5.416666666666642
14399901,7.083333333333236
14479901,3.7499999999999374
14559901,3.3333333333332944
14639901,5.416666666666605
14719901,4.166666666666607
14799901,4.16666666666661
14879901,2.499999999999963
14959901,4.166666666666613
15039901,9.166666666666504
15119901,7.499999999999865
15199901,6.249999999999923
15279901,2.083333333333259
15359901,4.999999999999947
15439901,8.749999999999863
15519901,5.833333333333244
15599901,6.249999999999948
15679901,-2.4999999999999964
15759901,2.499999999999956
15839901,7.0833333333332265
15919901,9.999999999999838
15999901,7.083333333333215
16079901,1.8749999999999545
16159901,4.16666666666664
16239901,4.999999999999944
16319901,6.666666666666546
16399901,4.583333333333231
16479901,4.166666666666553
16559901,5.41666666666659
16639901,4.166666666666559
16719901,0.4166666666666176
16799901,-0.4166666666667146
16879901,3.333333333333259
16959901,2.91666666666659
17039901,4.999999999999925
17119901,5.833333333333226
17199901,2.9166666666665755
17279901,3.333333333333254
17359901,9.166666666666524
17439901,3.333333333333273
17519901,6.249999999999929
17599901,3.749999999999943
17679901,5.833333333333274
17759901,3.333333333333284
17839901,9.166666666666485
17919901,4.999999999999873
17999901,1.6666666666665744
18079901,7.499999999999866
18159901,8.749999999999838
18239901,2.08333333333324
18319901,6.249999999999858
18399901,2.499999999999876
18479901,2.499999999999891
18559901,3.749999999999877
18639901,6.666666666666558
18719901,0.4166666666665799
18799901,-3.3333333333333743
18879901,4.166666666666577
18959901,2.0833333333332464
19039901,4.999999999999887
19119901,4.999999999999866
19199901,2.916666666666609
19279901,4.583333333333234
19359901,3.749999999999921
19439901,4.9999999999999
19519901,3.3333333333331736
19599901,1.6666666666665868
19679901,2.499999999999928
19759901,-1.1220654035544918e-13
19839901,5.8333333333332105
19919901,3.333333333333261
19999901,4.166666666666608
20079901,5.208333333333216
20159901,1.249999999999906
20239901,3.5416666666665493
20319901,5.833333333333232
20399901,5.416666666666544
20479901,2.9166666666665755
20559901,1.4583333333332764
20639901,-2.7089441800853823e-14
20719901,4.166666666666618
20799901,-1.2500000000000842
20879901,4.583333333333202
20959901,4.166666666666576
21039901,0.8333333333332261
21119901,1.4583333333332178
21199901,9.166666666666472
21279901,4.374999999999852
21359901,2.083333333333228
21439901,-1.2500000000000888
21519901,0.4166666666666064
21599901,2.916666666666521
21679901,3.749999999999881
21759901,2.083333333333196
21839901,2.916666666666538
21919901,6.249999999999823
21999901,2.083333333333253
22079901,3.12499999999986
22159901,4.583333333333216
22239901,4.999999999999885
22319901,4.9999999999998535
22399901,2.4999999999999303
22479901,3.749999999999869
22559901,2.4999999999998823
22639901,-1.6666666666667365
22719901,3.3333333333331847
22799901,0.8333333333331653
22879901,0.8333333333332201
22959901,-0.4166666666668131
23039901,-1.2500000000000338
23119901,-7.201646686401848e-14
23199901,3.749999999999856
23279901,3.5416666666665493
23359901,-1.435888445181869e-13
23439901,4.583333333333196
23519901,4.166666666666554
23599901,1.249999999999871
23679901,7.083333333333154
23759901,4.583333333333262
23839901,2.916666666666518
23919901,1.2499999999998843
23999901,2.499999999999887
24079901,1.249999999999867
24159901,6.249999999999891
24239901,8.749999999999774
24319901,6.2499999999998535
24399901,0.8333333333332439
24479901,2.0833333333332504
24559901,5.416666666666515
24639901,1.666666666666532
24719901,0.4166666666665459
24799901,5.416666666666502
24879901,5.833333333333109
24959901,7.916666666666425
25039901,7.083333333333109
25119901,7.499999999999819
25199901,6.249999999999822
25279901,8.749999999999844
25359901,8.333333333333142
25439901,6.666666666666528
25519901,8.33333333333317
25599901,5.416666666666484
25679901,5.83333333333314
25759901,4.9999999999998
25839901,6.24999999999985
25919901,6.666666666666482
25999901,5.416666666666511
26079901,0.8333333333332537
26159901,1.2499999999999156
26239901,1.66666666666659
26319901,5.416666666666536
26399901,4.16666666666657
26479901,3.3333333333332047
26559901,4.583333333333247
26639901,2.49999999999993
26719901,2.9166666666665684
26799901,2.9166666666665013
26879901,2.083333333333225
26959901,2.4999999999999187
27039901,3.3333333333331976
27119901,-2.0833333333334645
27199901,5.416666666666448
27279901,2.0833333333331714
27359901,9.166666666666458
27439901,4.583333333333139
27519901,7.499999999999765
27599901,6.249999999999816
27679901,10.833333333333124
27759901,12.083333333333073
27839901,10.416666666666435
27919901,10.416666666666485
27999901,9.999999999999766
28079901,12.08333333333305
28159901,3.7499999999997975
28239901,7.0833333333331465
28319901,7.08333333333317
28399901,1.2499999999998308
28479901,2.916666666666483
28559901,6.249999999999836
28639901,9.166666666666416
28719901,4.16666666666652
28799901,9.583333333333076
28879901,7.916666666666508
28959901,6.249999999999858
29039901,10.83333333333312
29119901,8.749999999999767
29199901,7.91666666666642
29279901,7.916666666666454
29359901,7.083333333333065
29439901,9.583333333333082
29519901,7.083333333333129
29599901,9.166666666666416
29679901,5.4166666666664405
29759901,6.874999999999787
29839901,9.583333333333082
29919901,7.916666666666418
29999901,4.999999999999852
30079901,4.58333333333317
30159901,5.833333333333109
30239901,6.666666666666475
30319901,6.666666666666465
30399901,2.4999999999998312
30479901,4.16666666666652
30559901,7.499999999999807
30639901,4.166666666666522
30719901,9.583333333333051
30799901,3.7499999999997655
30879901,2.916666666666503
30959901,4.5833333333331066
31039901,4.999999999999793
31119901,9.999999999999714
31199901,7.49999999999978
31279901,11.24999999999972
31359901,9.374999999999732
31439901,7.083333333333125
31519901,7.499999999999763
31599901,6.249999999999797
31679901,6.249999999999791
31759901,6.666666666666415
31839901,5.833333333333138
31919901,7.499999999999825
31999901,7.08333333333313
32079901,6.249999999999801
32159901,7.499999999999788
32239901,3.3333333333330977
32319901,9.583333333333105
32399901,9.166666666666409
32479901,7.916666666666401
32559901,8.333333333333071
32639901,11.041666666666396
32719901,10.833333333333035
32799901,2.9166666666663983
32879901,12.083333333333032
32959901,10.416666666666384
33039901,0.4166666666664902
33119901,-1.2500000000001383
33199901,-1.250000000000131
33279901,5.416666666666509
33359901,3.333333333333121
33439901,7.499999999999791
33519901,-1.344110008479523e-13
33599901,-0.4166666666667558
33679901,5.416666666666528
33759901,4.999999999999822
33839901,2.499999999999873
33919901,3.7499999999998015
33999901,2.499999999999857
34079901,7.499999999999782
34159901,0.4166666666665972
34239901,0.8333333333332021
34319901,7.499999999999777
34399901,0.8333333333331812
34479901,1.6666666666665677
34559901,2.9166666666665138
34639901,-1.1106277934362178e-13
34719901,4.999999999999823
34799901,4.166666666666493
34879901,8.333333333333059
34959901,9.58333333333304
35039901,7.916666666666424
35119901,4.5833333333331465
35199901,7.083333333333087
35279901,3.7499999999998175
35359901,4.999999999999819
35439901,5.833333333333112
35519901,5.833333333333108
35599901,9.166666666666396
35679901,1.2499999999998284
35759901,4.583333333333171
35839901,7.49999999999971
35919901,4.583333333333127
35999901,5.833333333333126
36079901,-1.6666666666667636
36159901,6.666666666666473
36239901,5.8333333333331225
36319901,6.666666666666448
36399901,3.7499999999998224
36479901,2.083333333333201
36559901,8.333333333333128
36639901,9.583333333333083
36719901,6.666666666666412
36799901,5.416666666666454
36879901,5.416666666666483
36959901,5.833333333333175
37039901,4.166666666666523
37119901,6.45833333333315
37199901,5.416666666666456
37279901,5.833333333333107
37359901,5.416666666666495
37439901,-1.3433698597964394e-13
37519901,2.499999999999872
37599901,2.499999999999891
37679901,4.9999999999998535
37759901,2.9166666666665364
37839901,2.083333333333211
37919901,4.999999999999832
37999901,5.416666666666498
38079901,7.916666666666413
38159901,3.3333333333331847
38239901,8.333333333333115
38319901,9.999999999999758
38399901,7.91666666666648
38479901,9.166666666666416
38559901,7.0833333333331625
38639901,10.833333333333078
38719901,8.12499999999978
38799901,6.666666666666468
38879901,7.499999999999823
38959901,7.916666666666461
39039901,9.99999999999974
39119901,7.083333333333093
39199901,5.833333333333115
39279901,6.666666666666425
39359901,10.41666666666641
39439901,7.083333333333118
39519901,5.833333333333171
39599901,6.666666666666518
39679901,3.333333333333215
39759901,3.3333333333331843
39839901,5.4166666666664725
39919901,7.499999999999761
39999901,7.499999999999749
40079901,3.7499999999998352
40159901,4.166666666666457
40239901,0.8333333333331611
40319901,7.499999999999765
40399901,6.666666666666473
40479901,2.9166666666665004
40559901,5.416666666666483
40639901,5.833333333333129
40719901,4.166666666666528
40799901,4.583333333333163
40879901,5.416666666666456
40959901,4.99999999999979
41039901,5.416666666666495
41119901,8.333333333333124
41199901,3.749999999999813
41279901,7.083333333333148
41359901,5.833333333333127
41439901,8.749999999999794
41519901,7.916666666666465
41599901,6.249999999999788
41679901,9.999999999999805
41759901,8.749999999999789
41839901,8.333333333333185
41919901,6.249999999999815
41999901,6.666666666666477
42079901,5.833333333333101
42159901,5.416666666666441
42239901,5.833333333333118
42319901,7.916666666666444
42399901,5.833333333333125
42479901,7.49999999999973
42559901,3.749999999999801
42639901,6.666666666666456
42719901,8.33333333333308
42799901,5.833333333333105
42879901,4.166666666666487
42959901,7.083333333333104
43039901,9.999999999999725
43119901,7.083333333333104
43199901,5.833333333333134
43279901,4.16666666666649
43359901,5.416666666666508
43439901,6.66666666666648
43519901,4.999999999999784
43599901,4.583333333333159
43679901,5.416666666666498
43759901,0.4166666666665643
43839901,1.6666666666665402
43919901,3.33333333333319
43999901,2.49999999999984
44079901,7.916666666666491
44159901,4.999999999999845
44239901,5.833333333333133
44319901,3.333333333333203
44399901,4.999999999999819
44479901,4.166666666666496
44559901,6.666666666666458
44639901,6.24999999999978
44719901,6.249999999999797
44799901,5.416666666666511
44879901,7.916666666666484
44959901,7.499999999999756
45039901,4.166666666666512
45119901,5.416666666666451
45199901,6.249999999999798
45279901,6.249999999999773
45359901,7.499999999999758
45439901,3.7499999999998335
45519901,7.91666666666643
45599901,7.499999999999752
45679901,7.499999999999773
45759901,9.583333333333083
45839901,9.166666666666451
45919901,7.0833333333331225
45999901,7.499999999999784
46079901,6.249999999999794
46159901,6.249999999999747
46239901,6.2499999999998
46319901,6.666666666666488
46399901,4.583333333333141
46479901,7.083333333333127
46559901,5.833333333333083
46639901,7.499999999999737
46719901,6.666666666666423
46799901,2.499999999999845
46879901,7.916666666666401
46959901,8.333333333333067
47039901,8.749999999999742
47119901,7.083333333333111
47199901,6.666666666666415
47279901,8.33333333333306
47359901,6.666666666666448
47439901,8.333333333333073
47519901,7.499999999999751
47599901,6.249999999999755
47679901,9.166666666666371
47759901,7.499999999999751
47839901,5.416666666666444
