Timesteps,Eval/Return
40000,-19.16666666666668
80000,-18.75000000000001
120000,-17.916666666666675
160000,-18.75000000000001
200000,-20.000000000000018
240000,-19.58333333333335
280000,-19.583333333333357
320000,-20.000000000000018
360000,-20.000000000000018
400000,-20.000000000000018
440000,-20.000000000000018
480000,-20.000000000000018
520000,-20.000000000000018
559966,-20.000000000000018
599966,-20.000000000000018
639966,-20.000000000000018
679966,-20.000000000000018
719966,-19.58333333333335
759966,-20.000000000000018
799966,-20.000000000000018
839966,-19.58333333333335
879966,-17.500000000000004
919966,-17.500000000000004
959962,-18.333333333333343
999962,-18.333333333333343
1039947,-17.500000000000004
1079947,-17.916666666666675
1119947,-16.25
1159922,-10.41666666666664
1199845,-9.583333333333307
1239797,-9.583333333333306
1279758,-9.583333333333307
1319674,-8.749999999999973
1359674,-8.749999999999973
1399661,-9.999999999999972
1439595,-8.333333333333307
1479414,-7.083333333333307
1519414,-2.916666666666643
1559398,-5.416666666666642
1599321,-5.416666666666643
1639308,-1.249999999999976
1679086,-1.6666666666666397
1718965,2.7690812605859112e-14
1758871,2.8430961288942555e-14
1798836,3.398207641206833e-14
1838792,3.4463173056072576e-14
1878630,3.409772464380012e-14
1918392,0.4166666666667049
1958352,0.4166666666667025
1998229,3.301525719479059e-14
2038041,3.878379099357213e-14
2077847,1.250000000000037
2117781,2.0833333333333592
2157541,2.08333333333336
2197105,6.666666666666695
2236976,7.083333333333335
2276561,6.666666666666679
2316267,4.166666666666685
2356042,8.333333333333345
2395824,8.749999999999991
2435628,7.083333333333336
2475263,5.833333333333333
2514841,8.333333333333334
2554551,8.333333333333329
2594082,7.083333333333307
2633808,9.16666666666665
2673279,9.16666666666663
2712758,7.916666666666639
2752453,8.749999999999963
2792083,9.583333333333275
2831867,8.74999999999995
2871515,8.749999999999966
2910938,9.166666666666591
2950538,9.583333333333266
2990036,9.999999999999934
3029825,6.666666666666624
3069303,7.499999999999955
3109046,8.333333333333298
3148955,8.749999999999948
3188603,9.58333333333325
3228232,9.99999999999993
3267814,9.999999999999927
3307356,9.583333333333256
3347106,9.166666666666584
3386657,9.999999999999908
3426267,9.9999999999999
3465603,9.999999999999904
3505116,9.374999999999895
3544528,9.791666666666568
3583600,10.208333333333234
3623260,9.3749999999999
3662500,11.66666666666655
3701482,12.4999999999999
3739743,19.695833333333223
3778122,38.062499999999886
3815703,55.53999999999991
3853628,85.46499999999992
3890070,74.92999999999988
3925516,86.22999999999988
3960223,97.56499999999986
3993098,138.23999999999992
4025609,150.8399999999999
4056538,110.62499999999986
4086582,180.9549999999999
4114446,200.74499999999995
4140762,203.2649999999999
4165694,223.13499999999996
4186520,224.7349999999999
4205702,214.6649999999999
4225475,222.83
4243394,202.5649999999999
4260686,212.79499999999996
4275822,223.93
4291246,213.6649999999999
4306095,223.58
4320561,224.225
4334266,224.995
4347678,225.025
4362871,213.48
4376836,226.05999999999997
4390165,224.58499999999995
4402863,225.61499999999995
4415440,224.5190476190476
4428007,224.855
4440257,224.89
4452049,225.305
4464178,224.725
4475794,224.80999999999997
4487177,225.165
4498681,224.86
4509993,224.86
4521789,224.92499999999995
4533353,224.955
4544507,225.09
4555624,225.915
4566931,224.89
4578296,224.86999999999995
4589340,225.02
4600629,224.89999999999995
4611848,224.96190476190475
4622812,224.77499999999995
4633909,225.06
4644859,225.39999999999995
4655812,225.64
4666220,225.67
4676639,225.34500000000003
4686948,225.28
4697039,225.46666666666667
4707239,225.38
4717331,225.45999999999995
4727334,225.47142857142856
4737517,225.475
4747544,225.4714285714286
4757623,225.555
4767496,225.51000000000005
4777519,225.5636363636364
4787544,225.52380952380952
4797422,225.455
4807193,225.525
4817030,225.21
4826965,225.39545454545453
4836790,225.515
4846543,225.5913043478261
4856186,225.54285714285712
4866127,225.525
4875818,225.57142857142856
4885477,225.55714285714285
4895058,225.57142857142856
4904882,225.604347826087
4914609,225.53
4925023,225.63809523809527
4934507,225.415
4943930,225.715
4953409,225.78000000000003
4962778,225.715
4972246,225.7428571428572
4981728,225.7333333333333
4990995,225.7714285714286
5000524,225.75
5009930,225.76666666666668
5019272,225.7909090909091
5028789,226.84285714285716
5038101,226.33
5047430,225.78571428571436
5056840,225.7318181818182
5066286,225.8
5075554,225.77916666666667
5084776,225.7952380952381
5094065,225.77727272727276
5103223,225.7904761904762
5112779,225.7809523809524
5121909,225.7954545454546
5131274,225.7954545454546
5140625,225.77
5150288,213.54999999999995
5160862,225.775
5170334,225.65714285714287
5179615,225.77000000000004
5189180,225.67
5198379,225.76666666666668
5207508,225.61
5216801,225.7363636363636
5226275,225.68
5235403,225.76
5244704,225.76818181818183
5254055,225.78571428571436
5263303,225.75652173913045
5272796,225.80952380952385
5281998,225.8
5291585,225.7909090909091
5300902,225.63333333333333
5309851,225.7904761904762
5319245,225.7904761904762
5328413,225.78500000000005
5337506,225.82
5346411,225.87142857142865
5355664,225.845
5364644,225.82608695652172
5373543,225.86190476190475
5382675,225.81
5391596,225.8304347826087
5400826,225.83
5409973,225.81000000000003
5419052,225.82083333333333
5428256,225.795
5437253,225.81
5446415,225.81
5455287,225.7863636363637
5464491,225.84285714285716
5473495,226.295
5482808,225.845
5491862,225.84545454545457
5500821,225.905
5510145,225.77000000000004
5519079,225.54761904761904
5528243,225.765
5537332,225.835
5546170,225.8636363636364
5555025,225.8714285714285
5564024,225.895
5572798,225.98095238095237
5581694,225.85
5590704,225.9318181818182
5599444,225.935
5608321,225.84
5617055,225.8772727272727
5625823,225.86
5634546,225.9904761904762
5643491,225.96190476190475
5652672,225.97142857142856
5661371,226.0
5669956,225.9913043478261
5678810,225.9523809523809
5687500,225.54
5696309,225.845
5705368,225.975
5714056,225.995
5722831,225.96190476190475
5731613,225.9590909090909
5740270,225.975
5749162,225.96666666666664
5758361,225.98
5767134,225.965
5775940,225.99523809523808
5784804,225.955
5793729,225.95238095238096
5802405,225.96
5811354,225.9380952380952
5820158,225.9809523809524
5828900,225.97727272727272
5837512,225.915
5846446,225.97727272727272
5855270,225.9954545454545
5863982,225.975
5872801,225.9863636363636
5881647,225.99565217391304
5890730,225.995
5899395,225.96666666666664
