Timesteps,Eval/Return
80000,-31.666666666666725
160000,-12.916666666666712
240000,-24.16666666666679
320000,-26.250000000000146
400000,-33.125000000000206
480000,-34.58333333333356
560000,-34.166666666666906
640000,-35.833333333333584
720000,-36.45833333333359
800000,-35.41666666666692
880000,-38.95833333333362
960000,-38.75000000000029
1040000,-37.08333333333359
1120000,-40.208333333333634
1200000,-39.16666666666695
1280000,-39.58333333333363
1360000,-38.95833333333362
1440000,-39.58333333333363
1520000,-39.58333333333363
1600000,-38.75000000000028
1680000,-40.0000000000003
1760000,-39.16666666666695
1840000,-40.0000000000003
1920000,-39.16666666666695
2000000,-38.75000000000028
2080000,-38.75000000000028
2160000,-37.91666666666693
2240000,-40.0000000000003
2320000,-39.583333333333634
2400000,-39.58333333333363
2480000,-38.333333333333606
2560000,-39.16666666666696
2640000,-38.33333333333361
2720000,-38.333333333333606
2800000,-38.75000000000029
2880000,-38.333333333333606
2960000,-39.16666666666695
3040000,-37.29166666666692
3120000,-39.16666666666695
3200000,-37.50000000000026
3280000,-38.33333333333361
3360000,-37.91666666666694
3440000,-37.50000000000026
3520000,-39.16666666666696
3600000,-37.50000000000026
3680000,-35.83333333333357
3760000,-33.541666666666885
3840000,-34.16666666666688
3920000,-35.416666666666906
4000000,-35.41666666666689
4080000,-33.75000000000023
4160000,-34.58333333333355
4240000,-34.58333333333356
4320000,-33.333333333333535
4400000,-31.666666666666845
4480000,-34.166666666666906
4560000,-34.583333333333584
4640000,-36.250000000000256
4720000,-32.500000000000206
4800000,-32.91666666666688
4880000,-31.666666666666856
4960000,-33.33333333333355
5040000,-32.08333333333352
5120000,-31.875000000000195
5200000,-32.5000000000002
5280000,-30.00000000000017
5360000,-29.375000000000146
5440000,-31.25000000000018
5520000,-26.250000000000117
5600000,-25.000000000000128
5680000,-26.041666666666803
5760000,-23.750000000000096
5840000,-28.750000000000156
5920000,-29.58333333333354
6000000,-26.250000000000128
6080000,-31.041666666666845
6160000,-23.750000000000124
6240000,-26.250000000000124
6320000,-25.833333333333456
6400000,-20.41666666666677
6480000,-23.33333333333344
6560000,-17.29166666666669
6640000,-23.54166666666676
6720000,-22.500000000000075
6800000,-25.000000000000128
6880000,-26.66666666666679
6960000,-26.45833333333346
7040000,-22.083333333333456
7120000,-20.416666666666703
7200000,-21.875000000000057
7280000,-21.458333333333428
7360000,-21.04166666666672
7440000,-16.875000000000064
7520000,-24.583333333333417
7600000,-22.70833333333341
7680000,-23.125000000000103
7760000,-22.50000000000013
7840000,-26.66666666666678
7920000,-25.41666666666677
8000000,-29.583333333333524
8080000,-29.166666666666817
8160000,-23.333333333333417
8240000,-22.916666666666757
8320000,-24.58333333333345
8400000,-24.166666666666742
8480000,-23.750000000000096
8560000,-30.000000000000156
8640000,-30.000000000000167
8720000,-26.04166666666681
8800000,-27.50000000000013
8880000,-24.583333333333453
8960000,-28.75000000000016
9040000,-29.166666666666828
9120000,-27.916666666666803
9200000,-26.250000000000124
9280000,-23.750000000000096
9360000,-20.41666666666673
9440000,-25.833333333333453
9520000,-26.66666666666676
9600000,-27.08333333333345
9680000,-20.41666666666671
9760000,-22.500000000000096
9840000,-18.75000000000009
9920000,-17.916666666666675
10000000,-21.250000000000075
10080000,-15.000000000000034
10160000,-17.50000000000004
10240000,-14.166666666666677
10320000,-13.750000000000025
10400000,-18.12500000000005
10480000,-16.250000000000046
10560000,-16.666666666666714
10640000,-16.875000000000053
10720000,-13.750000000000062
10800000,-13.75000000000005
10880000,-14.166666666666703
10960000,-11.666666666666693
11040000,-13.541666666666725
11120000,-9.37500000000004
11200000,-8.958333333333366
11280000,-14.16666666666674
11360000,-12.916666666666655
11440000,-14.79166666666674
11520000,-13.333333333333348
11600000,-16.25000000000004
11680000,-16.666666666666718
11760000,-14.166666666666714
11840000,-12.500000000000034
11920000,-17.916666666666703
12000000,-13.333333333333377
12080000,-16.250000000000036
12160000,-10.000000000000062
12240000,-15.208333333333393
12320000,-16.250000000000057
12400000,-12.500000000000016
12480000,-17.91666666666674
12560000,-19.16666666666671
12640000,-15.833333333333371
12720000,-19.166666666666732
12800000,-10.625000000000078
12880000,-17.91666666666669
12960000,-11.666666666666735
13040000,-15.000000000000044
13120000,-16.25000000000004
13200000,-15.000000000000036
13280000,-17.500000000000057
13360000,-21.458333333333385
13440000,-15.83333333333338
13520000,-21.250000000000068
13600000,-18.75000000000012
13680000,-15.833333333333435
13760000,-12.083333333333394
13840000,-17.291666666666696
13920000,-11.666666666666694
14000000,-13.958333333333362
14080000,-12.91666666666668
14160000,-16.250000000000032
14240000,-17.083333333333368
14320000,-13.333333333333384
14400000,-14.166666666666725
14480000,-13.333333333333371
14560000,-11.666666666666693
14640000,-19.58333333333345
14720000,-14.583333333333364
14800000,-13.12500000000004
14880000,-16.250000000000036
14960000,-20.41666666666674
15040000,-14.166666666666725
15120000,-17.083333333333442
15200000,-12.916666666666709
15280000,-19.583333333333368
15360000,-15.833333333333371
15440000,-14.166666666666726
15520000,-17.500000000000053
15600000,-14.166666666666693
15680000,-16.66666666666674
15760000,-14.16666666666667
15840000,-15.000000000000036
15920000,-14.16666666666672
16000000,-11.666666666666726
16080000,-12.708333333333378
16160000,-18.75000000000009
16240000,-15.000000000000025
16320000,-11.666666666666686
16400000,-17.708333333333403
16480000,-11.25000000000002
16560000,-12.500000000000057
16640000,-14.58333333333339
16720000,-13.333333333333428
16800000,-11.458333333333403
16880000,-15.208333333333414
16960000,-13.33333333333339
17040000,-13.333333333333366
17120000,-12.083333333333362
17200000,-13.750000000000034
17280000,-13.75000000000003
17360000,-9.583333333333348
17440000,-13.333333333333352
17520000,-14.1666666666667
17600000,-10.416666666666712
17680000,-15.416666666666703
17760000,-13.12500000000005
17840000,-14.166666666666757
17920000,-12.500000000000036
18000000,-10.000000000000016
18080000,-16.458333333333375
18160000,-12.08333333333338
18240000,-9.5833333333334
18320000,-10.83333333333338
18400000,-18.75000000000007
18480000,-9.58333333333338
18560000,-11.666666666666767
18640000,-15.000000000000048
18720000,-15.416666666666703
18800000,-10.00000000000012
18880000,-11.250000000000078
18960000,-11.666666666666703
19040000,-14.16666666666672
19120000,-13.541666666666664
19200000,-11.666666666666693
19280000,-10.00000000000005
19360000,-16.250000000000064
19440000,-14.791666666666709
19520000,-11.04166666666674
19600000,-11.041666666666709
19680000,-13.750000000000036
19760000,-13.750000000000089
19840000,-14.166666666666671
19920000,-11.87500000000009
20000000,-10.000000000000066
20080000,-12.500000000000048
20160000,-9.166666666666726
20240000,-15.208333333333394
20320000,-13.333333333333384
20400000,-12.91666666666672
20480000,-9.16666666666673
20560000,-9.58333333333343
20640000,-15.416666666666776
20720000,-11.666666666666714
20800000,-12.500000000000076
20880000,-17.50000000000007
20960000,-10.41666666666674
21040000,-12.916666666666686
21120000,-13.750000000000044
21200000,-12.500000000000115
21280000,-8.333333333333401
21360000,-10.833333333333384
21440000,-11.45833333333335
21520000,-10.625000000000052
21600000,-11.66666666666675
21680000,-12.916666666666687
21760000,-11.250000000000034
21840000,-11.666666666666728
21920000,-14.583333333333345
22000000,-13.333333333333352
22080000,-11.250000000000028
22160000,-14.166666666666698
22240000,-17.91666666666669
22320000,-15.000000000000048
22400000,-14.166666666666693
22480000,-14.58333333333337
22560000,-14.583333333333425
22640000,-12.083333333333371
22720000,-15.000000000000036
22800000,-12.708333333333371
22880000,-13.125000000000076
22960000,-9.583333333333414
23040000,-10.000000000000032
23120000,-12.91666666666672
23200000,-11.666666666666728
23280000,-14.166666666666709
23360000,-7.500000000000077
23440000,-13.541666666666735
23520000,-12.916666666666762
23600000,-12.916666666666702
23680000,-13.750000000000025
23760000,-13.333333333333384
23840000,-11.666666666666687
23920000,-15.20833333333335
24000000,-15.416666666666728
24080000,-15.83333333333335
24160000,-14.375000000000057
24240000,-12.291666666666725
24320000,-13.33333333333342
24400000,-9.583333333333393
24480000,-12.916666666666693
24560000,-12.500000000000014
24640000,-12.916666666666712
24720000,-11.666666666666664
24800000,-12.0833333333334
24880000,-12.083333333333345
24960000,-11.666666666666728
25040000,-15.833333333333371
25120000,-10.41666666666675
25200000,-10.00000000000009
25280000,-12.500000000000036
25360000,-15.416666666666684
25440000,-12.083333333333384
25520000,-11.666666666666792
25600000,-11.25000000000005
25680000,-11.666666666666766
25760000,-14.166666666666748
25840000,-12.916666666666703
25920000,-15.41666666666679
26000000,-13.33333333333338
26080000,-12.708333333333416
26160000,-13.750000000000034
26240000,-13.541666666666725
26320000,-12.500000000000057
26400000,-12.916666666666728
26480000,-11.666666666666757
26560000,-11.041666666666728
26640000,-10.41666666666672
26720000,-13.333333333333384
26800000,-14.583333333333387
26880000,-18.750000000000057
26960000,-14.166666666666757
27040000,-10.41666666666674
27120000,-13.333333333333409
27200000,-13.33333333333338
27280000,-16.250000000000032
27360000,-15.833333333333398
27440000,-14.166666666666693
27520000,-15.416666666666714
27600000,-12.916666666666703
27680000,-15.000000000000036
27760000,-11.875000000000004
27840000,-15.000000000000083
27920000,-12.916666666666725
28000000,-15.000000000000083
28080000,-16.875000000000043
28160000,-14.375000000000034
28240000,-10.416666666666726
28320000,-8.750000000000117
28400000,-12.083333333333409
28480000,-11.875000000000108
28560000,-10.41666666666672
28640000,-8.33333333333339
28720000,-10.416666666666734
28800000,-12.083333333333384
28880000,-14.583333333333398
28960000,-13.333333333333456
29040000,-15.000000000000014
29120000,-17.08333333333341
29200000,-7.916666666666714
29280000,-14.5833333333334
29360000,-14.166666666666694
29440000,-14.375000000000073
29520000,-14.166666666666725
29600000,-17.291666666666767
29680000,-13.333333333333394
29760000,-12.291666666666716
29840000,-14.583333333333355
29920000,-18.750000000000068
30000000,-13.75000000000003
30080000,-9.583333333333387
30160000,-17.91666666666677
30240000,-7.916666666666745
30320000,-12.291666666666748
30400000,-8.750000000000085
30480000,-17.50000000000008
30560000,-13.333333333333398
30640000,-15.833333333333384
30720000,-10.833333333333426
30800000,-13.75000000000003
30880000,-13.541666666666714
30960000,-10.000000000000076
31040000,-12.916666666666744
31120000,-11.666666666666694
31200000,-14.166666666666728
31280000,-10.208333333333444
31360000,-15.833333333333398
31440000,-16.25000000000006
31520000,-17.916666666666696
31600000,-13.750000000000057
31680000,-15.833333333333412
31760000,-17.91666666666672
31840000,-15.000000000000048
31920000,-13.12500000000007
32000000,-14.166666666666703
32080000,-14.166666666666728
32160000,-16.2500000000001
32240000,-17.083333333333375
32320000,-12.500000000000062
32400000,-13.75
32480000,-14.583333333333442
32560000,-12.916666666666748
32640000,-15.833333333333414
32720000,-17.08333333333338
32800000,-19.166666666666707
32880000,-14.583333333333384
32960000,-12.916666666666714
33040000,-14.583333333333352
33120000,-11.458333333333371
33200000,-16.250000000000046
33280000,-13.750000000000044
33360000,-16.66666666666673
33440000,-16.66666666666675
33520000,-15.000000000000066
33600000,-10.000000000000073
33680000,-11.45833333333337
33760000,-13.333333333333416
33840000,-18.541666666666725
33920000,-16.250000000000075
34000000,-18.958333333333417
34080000,-14.58333333333333
34160000,-15.625000000000073
34240000,-17.500000000000025
34320000,-14.16666666666672
34400000,-16.25000000000006
34480000,-15.000000000000092
34560000,-11.041666666666693
34640000,-15.208333333333364
34720000,-14.375000000000025
34800000,-15.000000000000105
34880000,-15.000000000000057
34960000,-10.83333333333338
35040000,-14.166666666666694
35120000,-15.00000000000006
35200000,-15.416666666666725
35280000,-12.916666666666714
35360000,-11.250000000000073
35440000,-13.750000000000073
35520000,-18.333333333333425
35600000,-17.08333333333341
35680000,-19.166666666666718
35760000,-15.833333333333398
35840000,-17.08333333333341
35920000,-18.125000000000032
36000000,-17.083333333333393
36080000,-11.875000000000073
36160000,-15.208333333333458
36240000,-15.416666666666744
36320000,-14.583333333333366
36400000,-14.583333333333412
36480000,-12.916666666666742
36560000,-14.166666666666693
36640000,-11.666666666666693
36720000,-14.166666666666776
36800000,-14.166666666666735
36880000,-13.958333333333403
36960000,-12.916666666666766
37040000,-15.83333333333339
37120000,-17.083333333333428
37200000,-13.958333333333426
37280000,-15.208333333333409
37360000,-15.8333333333334
37440000,-15.83333333333339
37520000,-17.916666666666753
37600000,-17.708333333333375
37680000,-17.08333333333344
37760000,-20.000000000000103
37840000,-16.66666666666676
37920000,-17.916666666666725
38000000,-14.791666666666703
38080000,-16.25000000000007
38160000,-14.583333333333371
38240000,-15.000000000000073
38320000,-17.50000000000006
38400000,-17.500000000000096
38480000,-14.166666666666764
38560000,-14.166666666666766
38640000,-18.333333333333435
38720000,-12.083333333333435
38800000,-16.041666666666746
38880000,-14.166666666666725
38960000,-12.916666666666758
39040000,-12.70833333333342
39120000,-13.95833333333339
39200000,-16.45833333333342
39280000,-10.41666666666677
39360000,-14.791666666666694
39440000,-15.625000000000073
39520000,-15.416666666666725
39600000,-17.083333333333417
39680000,-19.375000000000043
39760000,-18.54166666666674
39840000,-14.583333333333394
39920000,-12.50000000000009
40000000,-15.416666666666725
40080000,-17.083333333333385
40160000,-14.375000000000083
40240000,-14.583333333333425
40320000,-13.333333333333456
40400000,-14.166666666666757
40480000,-15.000000000000073
40560000,-12.916666666666762
40640000,-12.916666666666766
40720000,-12.500000000000108
40800000,-16.458333333333385
40880000,-15.416666666666762
40960000,-15.000000000000044
41040000,-15.833333333333394
41120000,-12.500000000000105
41200000,-10.00000000000007
41280000,-11.250000000000089
41360000,-13.750000000000062
41440000,-15.000000000000036
41520000,-14.166666666666725
41600000,-13.750000000000073
41680000,-15.833333333333462
41760000,-13.750000000000036
41840000,-10.833333333333428
41920000,-15.416666666666709
42000000,-17.083333333333368
42080000,-10.833333333333428
42160000,-11.666666666666757
42240000,-14.166666666666725
42320000,-12.083333333333378
42400000,-12.916666666666748
42480000,-10.416666666666758
42560000,-7.500000000000097
42640000,-16.250000000000046
42720000,-10.833333333333409
42800000,-12.500000000000066
42880000,-9.375000000000048
42960000,-15.416666666666744
43040000,-17.500000000000075
43120000,-12.500000000000048
43200000,-13.541666666666751
43280000,-16.250000000000096
43360000,-9.58333333333342
43440000,-15.000000000000028
43520000,-15.416666666666742
43600000,-19.375000000000057
43680000,-16.666666666666718
43760000,-14.791666666666742
43840000,-18.333333333333403
43920000,-18.7500000000001
44000000,-15.00000000000003
44080000,-17.916666666666707
44160000,-14.583333333333377
44240000,-18.33333333333344
44320000,-12.916666666666735
44400000,-18.75000000000004
44480000,-14.375000000000137
44560000,-18.33333333333339
44640000,-18.33333333333338
44720000,-17.08333333333341
44800000,-13.333333333333416
44880000,-15.416666666666709
44960000,-15.83333333333342
45040000,-17.50000000000005
45120000,-14.58333333333342
45200000,-15.833333333333451
45280000,-15.416666666666757
45360000,-16.250000000000068
45440000,-16.250000000000053
45520000,-17.500000000000032
45600000,-12.916666666666709
45680000,-15.833333333333435
45760000,-17.083333333333396
45840000,-17.916666666666732
45920000,-17.0833333333334
46000000,-13.33333333333339
46080000,-10.833333333333425
46160000,-14.16666666666672
46240000,-17.916666666666746
46320000,-17.500000000000057
46400000,-18.95833333333339
46480000,-15.000000000000057
46560000,-15.416666666666734
46640000,-15.000000000000044
46720000,-15.833333333333412
46800000,-12.08333333333338
46880000,-15.416666666666716
46960000,-12.291666666666748
47040000,-13.75000000000008
47120000,-15.833333333333393
47200000,-17.500000000000103
47280000,-14.166666666666725
47360000,-11.45833333333343
47440000,-12.708333333333371
47520000,-15.625000000000073
47600000,-17.291666666666732
47680000,-9.791666666666751
47760000,-22.70833333333344
47840000,-16.041666666666767
47920000,-18.54166666666671
48000000,-16.66666666666673
48080000,-20.00000000000009
48160000,-19.16666666666673
48240000,-16.666666666666757
48320000,-15.833333333333409
48400000,-17.50000000000008
48480000,-17.291666666666757
48560000,-19.375000000000068
48640000,-19.16666666666674
48720000,-14.166666666666703
48800000,-16.25000000000006
48880000,-16.66666666666676
48960000,-13.750000000000092
49040000,-15.833333333333442
49120000,-20.41666666666676
49200000,-17.916666666666767
49280000,-17.08333333333342
49360000,-18.125000000000018
49440000,-16.66666666666674
49520000,-17.50000000000004
49600000,-15.000000000000052
49680000,-14.166666666666735
49760000,-14.58333333333342
49840000,-12.916666666666735
49920000,-8.333333333333448
50000000,-11.25000000000009
50080000,-15.833333333333393
50160000,-15.833333333333384
50240000,-15.833333333333393
50320000,-16.666666666666742
50400000,-17.916666666666785
50480000,-17.0833333333334
50560000,-16.041666666666732
50640000,-18.33333333333341
50720000,-16.25000000000008
50800000,-20.00000000000009
50880000,-17.0833333333334
50960000,-15.208333333333366
51040000,-16.666666666666725
51120000,-15.833333333333377
51200000,-14.166666666666714
51280000,-15.000000000000057
51360000,-15.416666666666726
51440000,-17.500000000000064
51520000,-17.9166666666667
51600000,-17.500000000000043
51680000,-13.750000000000004
51760000,-19.58333333333337
51840000,-20.83333333333341
51920000,-20.000000000000096
52000000,-24.16666666666677
52080000,-21.666666666666742
52160000,-17.083333333333403
52240000,-18.750000000000075
52320000,-18.75000000000008
52400000,-20.83333333333344
52480000,-21.66666666666676
52560000,-17.083333333333417
52640000,-18.333333333333407
52720000,-19.166666666666767
52800000,-20.000000000000117
52880000,-17.500000000000075
52960000,-22.916666666666742
53040000,-17.083333333333368
53120000,-14.791666666666751
53200000,-16.66666666666674
53280000,-15.62500000000004
53360000,-17.083333333333382
53440000,-20.8333333333334
53520000,-14.166666666666751
53600000,-19.583333333333403
53680000,-15.416666666666744
53760000,-16.250000000000075
53840000,-16.250000000000025
53920000,-12.083333333333432
54000000,-12.500000000000078
54080000,-11.250000000000062
54160000,-12.083333333333366
54240000,-13.333333333333409
54320000,-11.04166666666682
54400000,-12.500000000000048
54480000,-17.08333333333341
54560000,-11.666666666666764
54640000,-9.166666666666778
54720000,-19.58333333333341
54800000,-12.916666666666757
54880000,-14.58333333333338
54960000,-10.000000000000073
55040000,-12.0833333333334
55120000,-15.000000000000048
55200000,-17.500000000000114
55280000,-12.083333333333409
55360000,-15.416666666666735
55440000,-11.041666666666748
55520000,-21.250000000000096
55600000,-12.50000000000009
55680000,-14.16666666666674
55760000,-14.166666666666703
55840000,-18.3333333333334
55920000,-12.0833333333334
56000000,-18.333333333333417
56080000,-14.583333333333366
56160000,-12.291666666666703
56240000,-11.666666666666735
56320000,-9.58333333333342
56400000,-11.666666666666735
56480000,-13.750000000000052
56560000,-12.916666666666751
56640000,-12.50000000000008
56720000,-17.50000000000004
56800000,-15.000000000000052
56880000,-14.583333333333398
56960000,-15.000000000000062
57040000,-10.83333333333342
57120000,-14.166666666666734
57200000,-13.333333333333435
57280000,-9.583333333333435
57360000,-14.166666666666709
57440000,-13.333333333333362
57520000,-14.5833333333334
57600000,-15.000000000000062
57680000,-11.666666666666693
57760000,-16.25000000000006
57840000,-9.16666666666674
57920000,-10.41666666666667
58000000,-10.41666666666671
58080000,-10.000000000000098
58160000,-14.16666666666678
58240000,-13.333333333333403
58320000,-13.333333333333414
58400000,-12.500000000000034
58480000,-12.916666666666805
58560000,-11.25000000000008
58640000,-13.750000000000044
58720000,-12.500000000000108
58800000,-12.083333333333451
58880000,-7.500000000000088
58960000,-13.750000000000025
59040000,-16.25000000000006
59120000,-14.16666666666682
59200000,-11.66666666666672
59280000,-15.833333333333366
59360000,-12.500000000000066
59440000,-14.5833333333334
59520000,-11.666666666666735
59600000,-7.083333333333424
59680000,-16.8750000000001
59760000,-16.250000000000032
59840000,-12.0833333333334
59920000,-11.666666666666742
60000000,-14.16666666666678
60080000,-12.500000000000028
60160000,-11.66666666666672
60240000,-6.875000000000124
60320000,-8.33333333333342
60400000,-7.083333333333424
60480000,-10.833333333333412
60560000,-10.000000000000064
60640000,-15.83333333333339
60720000,-12.500000000000052
60800000,-8.750000000000123
60880000,-7.083333333333402
60960000,-11.666666666666728
61040000,-11.25000000000007
61120000,-10.833333333333377
61200000,-16.25000000000006
61280000,-9.79166666666672
61360000,-12.500000000000044
61440000,-14.375000000000044
61520000,-17.916666666666767
61600000,-15.416666666666757
61680000,-12.083333333333393
61760000,-6.250000000000117
61840000,-14.166666666666714
61920000,-5.833333333333454
62000000,-8.750000000000103
62080000,-8.750000000000115
62160000,-6.250000000000039
62240000,-11.2500000000001
62320000,-8.541666666666734
62400000,-10.416666666666742
62480000,-10.83333333333342
62560000,-15.833333333333435
62640000,-12.083333333333425
62720000,-16.666666666666714
62800000,-18.33333333333343
62880000,-13.750000000000073
62960000,-12.916666666666703
63040000,-13.750000000000073
63120000,-15.41666666666674
63200000,-7.500000000000082
63280000,-11.250000000000083
63360000,-14.583333333333366
63440000,-12.916666666666742
63520000,-12.916666666666709
63600000,-10.416666666666751
63680000,-10.833333333333458
63760000,-15.000000000000076
63840000,-15.416666666666714
63920000,-17.08333333333337
64000000,-14.583333333333442
64080000,-15.416666666666728
64160000,-12.916666666666776
64240000,-18.33333333333341
64320000,-16.66666666666671
64400000,-10.000000000000044
64480000,-13.750000000000025
64560000,-18.75000000000006
64640000,-13.750000000000128
64720000,-12.916666666666744
64800000,-17.500000000000032
64880000,-12.500000000000098
64960000,-15.000000000000057
65040000,-17.916666666666725
65120000,-15.833333333333394
65200000,-15.416666666666744
65280000,-11.666666666666735
65360000,-14.791666666666751
65440000,-13.750000000000036
65520000,-10.833333333333414
65600000,-15.416666666666783
65680000,-13.333333333333451
65760000,-7.083333333333442
65840000,-14.166666666666725
65920000,-11.666666666666767
66000000,-10.833333333333478
66080000,-11.25000000000008
66160000,-10.8333333333334
66240000,-11.250000000000115
66320000,-12.08333333333342
66400000,-15.41666666666675
66480000,-10.00000000000013
66560000,-14.583333333333414
66640000,-12.916666666666767
66720000,-17.500000000000053
66800000,-12.916666666666762
66880000,-14.58333333333342
66960000,-13.958333333333364
67040000,-12.500000000000112
67120000,-17.083333333333407
67200000,-13.333333333333414
67280000,-10.416666666666744
67360000,-16.66666666666676
67440000,-11.666666666666728
67520000,-14.58333333333338
67600000,-13.750000000000124
67680000,-12.083333333333412
67760000,-13.75000000000008
67840000,-16.666666666666746
67920000,-15.4166666666667
68000000,-12.916666666666776
68080000,-12.500000000000076
68160000,-11.250000000000089
68240000,-14.583333333333426
68320000,-19.166666666666742
68400000,-16.041666666666732
68480000,-12.916666666666694
68560000,-13.33333333333334
68640000,-15.41666666666677
68720000,-15.41666666666674
68800000,-14.37500000000005
68880000,-15.833333333333371
68960000,-16.666666666666746
69040000,-14.583333333333378
69120000,-15.000000000000105
69200000,-12.91666666666672
69280000,-10.000000000000105
69360000,-14.583333333333435
69440000,-8.958333333333401
69520000,-12.916666666666744
69600000,-11.250000000000034
69680000,-8.750000000000059
69760000,-8.125000000000115
69840000,-9.583333333333412
69920000,-14.583333333333416
70000000,-13.333333333333425
70080000,-11.041666666666709
70160000,-15.00000000000005
70240000,-12.08333333333337
70320000,-9.166666666666742
70400000,-10.000000000000028
70480000,-12.916666666666735
70560000,-17.916666666666714
70640000,-15.416666666666734
70720000,-16.250000000000046
70800000,-11.666666666666734
70880000,-10.833333333333409
70960000,-15.833333333333414
71040000,-12.500000000000114
71120000,-13.541666666666714
