Timesteps,Eval/Return
40000,-19.16666666666669
80000,-18.958333333333343
120000,-19.375000000000018
160000,-19.58333333333335
200000,-18.75000000000001
240000,-18.333333333333343
280000,-20.41666666666669
320000,-20.00000000000002
360000,-19.58333333333335
400000,-19.79166666666669
440000,-19.16666666666668
480000,-20.000000000000018
520000,-19.58333333333335
560000,-21.250000000000032
600000,-21.041666666666693
640000,-19.375000000000018
680000,-19.16666666666668
720000,-20.41666666666669
760000,-20.208333333333357
800000,-19.375000000000018
840000,-19.79166666666669
880000,-21.04166666666669
920000,-19.79166666666669
960000,-19.16666666666668
1000000,-19.16666666666668
1040000,-19.16666666666668
1080000,-19.16666666666668
1120000,-19.375000000000018
1160000,-18.333333333333343
1200000,-20.208333333333357
1240000,-20.000000000000018
1280000,-19.79166666666669
1320000,-19.58333333333336
1360000,-19.16666666666668
1400000,-18.12500000000001
1440000,-20.83333333333336
1480000,-20.41666666666669
1520000,-18.333333333333343
1560000,-18.958333333333343
1600000,-17.916666666666675
1640000,-18.958333333333357
1680000,-22.08333333333336
1720000,-19.16666666666668
1760000,-19.16666666666668
1800000,-17.70833333333334
1840000,-19.583333333333343
1880000,-19.16666666666668
1920000,-18.54166666666668
1960000,-17.708333333333336
2000000,-22.2916666666667
2040000,-18.958333333333357
2080000,-17.083333333333346
2120000,-17.708333333333346
2160000,-21.666666666666696
2200000,-21.45833333333334
2240000,-14.583333333333329
2280000,-17.500000000000007
2320000,-16.250000000000007
2360000,-20.83333333333333
2400000,-17.70833333333334
2440000,-19.16666666666668
2480000,-16.458333333333343
2520000,-17.08333333333334
2560000,-19.37500000000001
2600000,-17.916666666666675
2640000,-18.333333333333343
2680000,-22.083333333333314
2720000,-17.291666666666675
2760000,-18.12500000000001
2800000,-17.291666666666675
2840000,-17.291666666666675
2880000,-17.291666666666675
2920000,-16.45833333333334
2960000,-18.54166666666668
3000000,-18.12500000000001
3040000,-16.250000000000004
3080000,-18.541666666666675
3120000,-18.75000000000001
3160000,-16.45833333333334
3200000,-23.124999999999982
3240000,-24.166666666666668
3280000,-18.333333333333357
3320000,-16.666666666666668
3360000,-16.041666666666668
3400000,-22.708333333333325
3440000,-15.624999999999991
3480000,-16.875000000000004
3520000,-17.291666666666675
3560000,-22.083333333333314
3600000,-17.708333333333346
3640000,-15.833333333333334
3680000,-16.666666666666675
3720000,-16.875000000000004
3760000,-18.12500000000001
3800000,-18.333333333333343
3840000,-27.708333333333304
3880000,-18.125000000000004
3920000,-17.08333333333334
3960000,-14.583333333333329
4000000,-17.500000000000014
4040000,-15.625000000000002
4080000,-17.708333333333353
4120000,-18.958333333333343
4160000,-16.875000000000004
4200000,-17.916666666666686
4240000,-16.666666666666675
4280000,-16.25
4320000,-13.124999999999996
4360000,-14.791666666666664
4400000,-17.08333333333334
4440000,-18.333333333333357
4480000,-18.333333333333343
4520000,-18.541666666666675
4560000,-15.416666666666664
4600000,-14.583333333333329
4640000,-18.541666666666657
4680000,-14.791666666666664
4720000,-16.66666666666667
4760000,-18.95833333333334
4800000,-15.625000000000004
4840000,-18.12500000000001
4880000,-13.749999999999991
4920000,-15.833333333333334
4960000,-14.999999999999996
5000000,-16.04166666666666
5040000,-17.708333333333343
5080000,-14.791666666666664
5120000,-19.58333333333333
5160000,-17.91666666666667
5200000,-16.874999999999996
5240000,-14.583333333333334
5280000,-17.083333333333343
5320000,-16.666666666666675
5360000,-16.25000000000001
5400000,-18.12500000000001
5440000,-16.041666666666675
5480000,-15.625000000000004
5520000,-14.375
5560000,-15.41666666666666
5600000,-15.833333333333336
5640000,-14.999999999999996
5680000,-17.291666666666675
5720000,-17.08333333333334
5760000,-16.04166666666667
5800000,-16.45833333333334
5840000,-16.249999999999996
5880000,-14.58333333333334
5920000,-17.291666666666682
5960000,-17.708333333333346
6000000,-16.66666666666667
6040000,-14.166666666666664
6080000,-17.50000000000001
6120000,-16.666666666666668
6160000,-15.416666666666671
6200000,-12.916666666666655
6240000,-13.749999999999991
6280000,-15.208333333333329
6320000,-15.416666666666671
6360000,-16.45833333333334
6400000,-15.208333333333334
6440000,-16.041666666666668
6480000,-13.124999999999988
6520000,-16.666666666666675
6560000,-14.16666666666667
6600000,-16.250000000000004
6640000,-13.958333333333329
6680000,-15.625000000000009
6720000,-16.45833333333334
6760000,-16.666666666666668
6800000,-17.291666666666682
6840000,-14.791666666666666
6880000,-18.12500000000001
6920000,-15.0
6960000,-16.87500000000001
7000000,-13.541666666666666
7040000,-14.583333333333323
7080000,-14.374999999999991
7120000,-14.583333333333329
7160000,-15.625000000000002
7200000,-14.375
7240000,-16.250000000000014
7280000,-15.833333333333329
7320000,-16.458333333333346
7360000,-14.166666666666664
7400000,-14.374999999999991
7440000,-15.624999999999998
7480000,-15.625
7520000,-16.04166666666667
7560000,-13.54166666666666
7600000,-15.416666666666666
7640000,-21.25000000000001
7680000,-14.166666666666664
7720000,-16.666666666666668
7760000,-15.416666666666666
7800000,-15.625000000000002
7840000,-18.33333333333333
7880000,-14.166666666666664
7920000,-13.958333333333329
7960000,-13.124999999999991
8000000,-14.166666666666655
8040000,-15.833333333333329
8080000,-20.416666666666664
8120000,-16.45833333333334
8160000,-16.250000000000004
8200000,-19.16666666666667
8240000,-14.791666666666664
8280000,-15.625
8320000,-18.75
8360000,-14.999999999999991
8400000,-19.16666666666666
8440000,-14.583333333333323
8480000,-16.875000000000007
8520000,-15.625
8560000,-16.250000000000004
8600000,-14.999999999999991
8640000,-18.54166666666669
8680000,-16.25000000000001
8720000,-17.50000000000001
8760000,-17.083333333333343
8800000,-13.749999999999996
8840000,-13.333333333333323
8880000,-16.666666666666675
8920000,-18.54166666666668
8960000,-13.333333333333334
9000000,-15.833333333333336
9040000,-13.124999999999991
9080000,-23.12499999999999
9120000,-10.208333333333323
9160000,-18.12500000000001
9200000,-17.50000000000001
9240000,-16.04166666666667
9280000,-16.458333333333332
9320000,-14.583333333333334
9360000,-14.166666666666664
9400000,-14.374999999999996
9440000,-18.95833333333334
9480000,-15.208333333333345
9520000,-18.12500000000001
9560000,-19.79166666666664
9600000,-14.791666666666666
9640000,-16.45833333333334
9680000,-15.416666666666671
9720000,-17.291666666666647
9760000,-17.083333333333346
9800000,-15.000000000000002
9840000,-16.875000000000007
9880000,-13.749999999999991
9920000,-16.458333333333336
9960000,-15.416666666666666
10000000,-14.583333333333334
10040000,-15.625
10080000,-13.749999999999988
10120000,-16.041666666666682
10160000,-17.500000000000014
10200000,-16.041666666666675
10240000,-15.416666666666666
10280000,-16.250000000000004
10320000,-16.66666666666668
10360000,-17.083333333333343
10400000,-13.125000000000009
10440000,-16.041666666666668
10480000,-13.541666666666664
10520000,-14.583333333333336
10560000,-14.166666666666655
10600000,-17.083333333333346
10640000,-13.124999999999988
10680000,-16.875000000000014
10720000,-15.416666666666664
10760000,-14.791666666666664
10800000,-16.458333333333353
10840000,-17.916666666666682
10880000,-16.041666666666668
10920000,-17.916666666666664
10960000,-16.875000000000018
11000000,-15.83333333333333
11040000,-13.124999999999991
11080000,-15.208333333333323
11120000,-17.291666666666682
11160000,-13.95833333333333
11200000,-19.79166666666669
11240000,-14.791666666666666
11280000,-17.916666666666682
11320000,-15.416666666666666
11360000,-14.583333333333334
11400000,-15.416666666666666
11440000,-15.208333333333345
11480000,-13.333333333333329
11520000,-18.958333333333343
11560000,-14.791666666666666
11600000,-14.166666666666664
11640000,-15.624999999999996
11680000,-13.750000000000004
11720000,-12.708333333333316
11760000,-15.625000000000002
11800000,-16.87500000000001
11840000,-15.208333333333334
11880000,-15.416666666666671
11920000,-17.291666666666668
11960000,-15.833333333333334
12000000,-14.166666666666671
12040000,-13.333333333333329
12080000,-17.916666666666647
12120000,-14.791666666666666
12160000,-14.583333333333345
12200000,-14.375000000000002
12240000,-18.12500000000001
12280000,-12.08333333333332
12320000,-13.958333333333329
12360000,-14.791666666666664
12400000,-10.41666666666665
12440000,-15.624999999999984
12480000,-16.04166666666667
12520000,-12.916666666666666
12560000,-15.624999999999996
12600000,-16.04166666666666
12640000,-16.458333333333346
12680000,-13.749999999999991
12720000,-13.124999999999991
12760000,-14.375
12800000,-13.541666666666664
12840000,-12.708333333333336
12880000,-12.499999999999998
12920000,-15.416666666666666
12960000,-17.29166666666666
13000000,-9.583333333333318
13040000,-15.208333333333336
13080000,-13.125000000000002
13120000,-15.208333333333329
13160000,-15.625000000000004
13200000,-12.708333333333329
13240000,-15.0
13280000,-12.916666666666664
13320000,-14.791666666666664
13360000,-12.08333333333332
13400000,-15.833333333333336
13440000,-15.208333333333334
13480000,-11.666666666666655
13520000,-18.75000000000001
13560000,-17.708333333333346
13600000,-13.124999999999996
13640000,-12.708333333333334
13680000,-13.333333333333329
13720000,-12.291666666666655
13760000,-12.499999999999986
13800000,-11.249999999999996
13840000,-14.583333333333336
13880000,-13.958333333333329
13920000,-14.166666666666629
13960000,-14.166666666666664
14000000,-12.91666666666666
14040000,-15.416666666666666
14080000,-13.333333333333329
14120000,-11.458333333333323
14160000,-16.25
14200000,-11.041666666666655
14240000,-14.583333333333334
14280000,-11.874999999999998
14320000,-16.249999999999982
14360000,-14.16666666666666
14400000,-13.958333333333329
14440000,-12.70833333333333
14480000,-16.25
14520000,-13.33333333333333
14560000,-17.500000000000004
14600000,-13.958333333333334
14640000,-13.333333333333336
14680000,-18.750000000000018
14720000,-11.666666666666664
14760000,-12.499999999999988
14800000,-13.124999999999991
14840000,-11.45833333333333
14880000,-14.999999999999991
14920000,-16.04166666666666
14960000,-12.291666666666655
15000000,-9.999999999999982
15040000,-12.916666666666652
15080000,-17.083333333333346
15120000,-14.583333333333323
15160000,-13.749999999999998
15200000,-12.70833333333333
15240000,-15.625000000000002
15280000,-16.250000000000014
15320000,-14.999999999999996
15360000,-14.58333333333333
15400000,-14.583333333333336
15440000,-17.291666666666682
15480000,-13.750000000000002
15520000,-13.958333333333314
15560000,-17.083333333333346
15600000,-14.375000000000002
15640000,-11.041666666666652
15680000,-11.874999999999986
15720000,-13.124999999999986
15760000,-12.08333333333332
15800000,-17.29166666666667
15840000,-13.749999999999991
15880000,-14.166666666666666
15920000,-15.41666666666667
15960000,-11.87499999999998
16000000,-15.624999999999996
16040000,-15.416666666666666
16080000,-17.50000000000002
16120000,-11.249999999999991
16160000,-15.833333333333329
16200000,-13.750000000000004
16240000,-13.124999999999998
16280000,-15.000000000000004
16320000,-15.208333333333329
16360000,-13.124999999999996
16400000,-12.708333333333323
16440000,-19.58333333333334
16480000,-14.166666666666664
16520000,-14.791666666666677
16560000,-14.791666666666666
16600000,-12.291666666666655
16640000,-13.958333333333334
16680000,-16.45833333333334
16720000,-11.45833333333332
16760000,-15.416666666666671
16800000,-15.625
16840000,-13.95833333333333
16880000,-16.041666666666675
16920000,-17.916666666666682
16960000,-11.249999999999996
17000000,-11.24999999999998
17040000,-14.58333333333333
17080000,-13.958333333333336
17120000,-14.166666666666655
17160000,-13.333333333333329
17200000,-14.791666666666664
17240000,-14.166666666666664
17280000,-13.124999999999991
17320000,-14.79166666666667
17360000,-11.666666666666655
17400000,-13.541666666666666
17440000,-18.12500000000001
17480000,-12.916666666666655
17520000,-12.29166666666666
17560000,-14.999999999999998
17600000,-12.499999999999996
17640000,-13.333333333333345
17680000,-15.625000000000009
17720000,-13.124999999999996
17760000,-14.166666666666664
17800000,-12.916666666666655
17840000,-15.208333333333336
17880000,-15.625
17920000,-13.541666666666666
17960000,-13.958333333333323
18000000,-16.458333333333332
18040000,-15.625000000000004
18080000,-17.083333333333346
18120000,-16.458333333333336
18160000,-22.70833333333333
18200000,-13.33333333333332
18240000,-14.374999999999991
18280000,-15.208333333333334
18320000,-17.083333333333346
18360000,-13.541666666666666
18400000,-17.916666666666668
18440000,-13.541666666666645
18480000,-12.291666666666664
18520000,-11.874999999999986
18560000,-10.83333333333332
18600000,-13.541666666666666
18640000,-14.791666666666655
18680000,-14.166666666666666
18720000,-13.958333333333336
18760000,-17.083333333333343
18800000,-16.45833333333335
18840000,-15.000000000000004
18880000,-13.124999999999996
18920000,-13.749999999999991
18960000,-16.458333333333332
19000000,-17.083333333333346
19040000,-13.124999999999991
19080000,-14.583333333333334
19120000,-12.083333333333329
19160000,-13.124999999999996
19200000,-12.083333333333329
19240000,-15.833333333333336
19280000,-13.333333333333329
19320000,-14.583333333333334
19360000,-15.416666666666664
19400000,-13.333333333333316
19440000,-15.624999999999996
19480000,-13.124999999999998
19520000,-12.916666666666664
19560000,-15.41666666666668
19600000,-12.499999999999991
19640000,-13.541666666666664
19680000,-13.541666666666664
19720000,-14.583333333333336
19760000,-14.374999999999998
19800000,-16.04166666666667
19840000,-14.166666666666664
19880000,-14.375
19920000,-13.124999999999991
19960000,-11.249999999999991
20000000,-14.583333333333329
20040000,-14.58333333333333
20080000,-12.708333333333334
20120000,-12.916666666666655
20160000,-18.125000000000004
20200000,-14.375000000000002
20240000,-15.833333333333336
20280000,-14.583333333333334
20320000,-13.958333333333323
20360000,-12.708333333333329
20400000,-15.625000000000009
20440000,-16.87500000000001
20480000,-18.12500000000001
20520000,-12.083333333333329
20560000,-13.749999999999998
20600000,-13.75
20640000,-11.041666666666655
20680000,-12.708333333333329
20720000,-11.874999999999986
20760000,-10.624999999999984
20800000,-13.124999999999988
20840000,-16.666666666666682
20880000,-11.666666666666666
20920000,-15.208333333333336
20960000,-15.00000000000002
21000000,-14.999999999999996
21040000,-16.875000000000007
21080000,-18.54166666666668
21120000,-13.333333333333334
21160000,-15.62499999999998
21200000,-18.12500000000001
21240000,-12.083333333333323
21280000,-14.583333333333329
21320000,-13.75
21360000,-10.416666666666655
21400000,-12.499999999999996
21440000,-11.249999999999996
21480000,-11.249999999999996
21520000,-13.958333333333336
21560000,-15.833333333333355
21600000,-12.916666666666655
21640000,-15.41666666666668
21680000,-12.708333333333336
21720000,-10.624999999999984
21760000,-14.791666666666666
21800000,-13.124999999999991
21840000,-12.499999999999991
21880000,-15.000000000000009
21920000,-12.708333333333323
21960000,-12.916666666666664
22000000,-16.66666666666667
22040000,-13.124999999999991
22080000,-16.458333333333346
22120000,-12.29166666666666
22160000,-12.291666666666655
22200000,-14.166666666666664
22240000,-15.000000000000009
22280000,-18.958333333333343
22320000,-17.499999999999996
22360000,-12.499999999999991
22400000,-12.708333333333323
22440000,-11.874999999999984
22480000,-21.66666666666669
22520000,-11.041666666666652
22560000,-12.916666666666655
22600000,-14.58333333333333
22640000,-14.791666666666648
22680000,-13.958333333333329
22720000,-17.708333333333346
22760000,-14.583333333333323
22800000,-14.166666666666666
22840000,-13.749999999999991
22880000,-18.75000000000001
22920000,-14.374999999999996
22960000,-16.458333333333325
23000000,-19.58333333333332
23040000,-14.791666666666664
23080000,-13.333333333333323
23120000,-13.333333333333329
23160000,-12.291666666666664
23200000,-12.916666666666666
23240000,-15.208333333333336
23280000,-14.374999999999996
23320000,-11.458333333333316
23360000,-14.375
23400000,-14.791666666666686
23440000,-17.083333333333314
23480000,-13.125
23520000,-15.833333333333316
23560000,-11.874999999999988
23600000,-13.541666666666671
23640000,-15.41666666666668
23680000,-13.333333333333336
23720000,-17.708333333333357
23760000,-13.541666666666664
23800000,-13.749999999999996
23840000,-18.54166666666668
23880000,-17.708333333333332
23920000,-15.208333333333336
23960000,-15.416666666666671
24000000,-13.958333333333334
24040000,-14.374999999999998
24080000,-15.624999999999986
24120000,-20.208333333333343
24160000,-12.916666666666666
24200000,-13.124999999999998
24240000,-13.749999999999991
24280000,-11.45833333333332
24320000,-15.416666666666664
24360000,-13.95833333333333
24400000,-14.166666666666677
24440000,-11.874999999999991
24480000,-15.416666666666664
24520000,-14.58333333333333
24560000,-13.333333333333329
24600000,-12.08333333333332
24640000,-10.83333333333332
24680000,-13.958333333333329
24720000,-13.958333333333336
24760000,-13.124999999999991
24800000,-16.250000000000004
24840000,-13.958333333333348
24880000,-15.625000000000004
24920000,-12.708333333333329
24960000,-12.499999999999998
25000000,-13.750000000000004
25040000,-17.08333333333334
25080000,-12.083333333333316
25120000,-13.958333333333329
25160000,-11.666666666666652
25200000,-12.499999999999991
25240000,-13.124999999999991
25280000,-12.291666666666652
25320000,-16.041666666666668
25360000,-14.583333333333345
25400000,-15.833333333333336
25440000,-14.583333333333348
25480000,-16.041666666666664
25520000,-12.70833333333332
25560000,-12.708333333333323
25600000,-14.791666666666671
25640000,-12.916666666666655
25680000,-12.708333333333329
25720000,-12.291666666666655
25760000,-13.95833333333332
25800000,-12.916666666666664
25840000,-13.541666666666655
25880000,-14.166666666666664
25920000,-15.208333333333334
25960000,-12.291666666666655
26000000,-14.374999999999991
26040000,-14.166666666666664
26080000,-18.125000000000004
26120000,-11.45833333333332
26160000,-11.874999999999988
26200000,-12.083333333333329
26240000,-13.749999999999991
26280000,-15.208333333333336
26320000,-17.29166666666667
26360000,-14.791666666666671
26400000,-13.333333333333323
26440000,-13.125000000000004
26480000,-15.416666666666671
26520000,-11.041666666666652
26560000,-14.583333333333336
26600000,-13.541666666666655
26640000,-12.499999999999991
26680000,-12.29166666666664
26720000,-16.249999999999982
26760000,-13.958333333333314
26800000,-16.041666666666664
26840000,-14.999999999999998
26880000,-11.874999999999996
26920000,-14.999999999999996
26960000,-14.374999999999996
27000000,-15.833333333333345
27040000,-10.20833333333332
27080000,-18.125000000000018
27120000,-12.708333333333323
27160000,-15.624999999999996
27200000,-12.708333333333329
27240000,-12.083333333333329
27280000,-16.458333333333346
27320000,-11.875000000000009
27360000,-14.16666666666666
27400000,-14.16666666666666
27440000,-11.874999999999991
27480000,-13.958333333333329
27520000,-16.458333333333343
27560000,-13.750000000000014
27600000,-14.791666666666677
27640000,-13.124999999999991
27680000,-12.70833333333332
27720000,-9.79166666666664
27760000,-17.500000000000018
27800000,-14.166666666666655
27840000,-17.08333333333334
27880000,-14.375
27920000,-17.916666666666664
27960000,-11.874999999999996
28000000,-15.416666666666664
28040000,-13.125
28080000,-14.791666666666671
28120000,-17.708333333333332
28160000,-13.124999999999991
28200000,-16.04166666666667
28240000,-11.666666666666652
28280000,-15.833333333333314
28320000,-12.708333333333329
28360000,-18.95833333333336
28400000,-12.708333333333323
28440000,-16.874999999999982
28480000,-13.749999999999991
28520000,-13.749999999999996
28560000,-16.666666666666657
28600000,-14.375
28640000,-15.208333333333329
28680000,-16.250000000000004
28720000,-18.750000000000018
28760000,-17.29166666666668
28800000,-14.791666666666664
28840000,-13.333333333333329
28880000,-17.708333333333332
28920000,-16.666666666666682
28960000,-14.791666666666666
29000000,-14.583333333333314
29040000,-14.79166666666666
29080000,-14.583333333333336
29120000,-15.416666666666677
29160000,-14.58333333333333
29200000,-12.499999999999991
29240000,-14.166666666666671
29280000,-11.874999999999988
29320000,-15.208333333333323
29360000,-14.375000000000004
29400000,-18.12500000000001
29440000,-15.208333333333334
29480000,-17.08333333333331
29520000,-10.624999999999996
29560000,-12.083333333333336
29600000,-11.04166666666665
29640000,-19.375000000000004
29680000,-14.791666666666671
29720000,-14.166666666666664
29760000,-13.33333333333333
29800000,-15.625000000000009
29840000,-18.958333333333336
29880000,-14.166666666666666
29920000,-11.874999999999996
29960000,-12.499999999999988
30000000,-13.749999999999996
30040000,-11.874999999999996
30080000,-16.666666666666682
30120000,-16.66666666666668
30160000,-13.124999999999998
30200000,-15.208333333333345
30240000,-14.166666666666671
30280000,-12.083333333333329
30320000,-13.749999999999991
30360000,-11.666666666666664
30400000,-11.666666666666655
30440000,-13.33333333333334
30480000,-13.541666666666666
30520000,-12.29166666666665
30560000,-12.291666666666655
30600000,-13.125000000000004
30640000,-12.291666666666664
30680000,-17.708333333333318
30720000,-16.25000000000001
30760000,-12.916666666666664
30800000,-13.333333333333329
30840000,-14.791666666666666
30880000,-11.45833333333332
30920000,-16.249999999999996
30960000,-10.83333333333332
31000000,-15.208333333333336
31040000,-11.874999999999988
31080000,-11.874999999999991
31120000,-11.875
31160000,-13.749999999999996
31200000,-14.374999999999991
31240000,-14.583333333333336
31280000,-20.00000000000004
31320000,-12.499999999999991
31360000,-14.583333333333323
31400000,-13.125
31440000,-14.375
31480000,-11.874999999999996
31520000,-15.0
31560000,-11.666666666666655
31600000,-15.208333333333329
31640000,-12.708333333333329
31680000,-18.95833333333336
31720000,-13.125000000000004
31760000,-15.625000000000004
31800000,-10.416666666666652
31840000,-11.041666666666655
31880000,-15.208333333333334
31920000,-12.916666666666671
31960000,-12.708333333333323
32000000,-9.583333333333313
32040000,-13.124999999999986
32080000,-14.583333333333334
32120000,-13.333333333333323
32160000,-13.958333333333334
32200000,-16.458333333333332
32240000,-15.833333333333334
32280000,-12.916666666666652
32320000,-13.541666666666655
32360000,-16.66666666666665
32400000,-12.083333333333329
32440000,-14.791666666666666
32480000,-13.958333333333323
32520000,-16.874999999999996
32560000,-12.291666666666655
32600000,-12.291666666666652
32640000,-12.291666666666664
32680000,-21.041666666666654
32720000,-13.333333333333323
32760000,-15.208333333333336
32800000,-9.58333333333332
32840000,-15.0
32880000,-16.45833333333334
32920000,-15.000000000000002
32960000,-14.999999999999996
33000000,-16.041666666666668
33040000,-17.29166666666668
33080000,-14.375
33120000,-13.333333333333323
33160000,-12.708333333333323
33200000,-16.45833333333334
33240000,-14.166666666666664
33280000,-16.875000000000007
33320000,-13.54166666666665
33360000,-12.916666666666664
33400000,-15.625000000000004
33440000,-13.125
33480000,-12.708333333333323
33520000,-15.625000000000009
33560000,-14.791666666666664
33600000,-12.708333333333323
33640000,-15.00000000000002
33680000,-12.916666666666655
33720000,-14.791666666666664
33760000,-12.291666666666664
33800000,-14.583333333333314
33840000,-16.458333333333343
33880000,-13.958333333333334
33920000,-16.458333333333332
33960000,-15.625000000000009
34000000,-12.291666666666652
34040000,-16.66666666666668
34080000,-13.541666666666664
34120000,-15.000000000000004
34160000,-16.04166666666666
34200000,-13.541666666666671
34240000,-12.499999999999988
34280000,-13.541666666666666
34320000,-14.79166666666668
34360000,-12.291666666666664
34400000,-13.124999999999991
34440000,-14.583333333333329
34480000,-13.125
34520000,-12.083333333333316
34560000,-15.208333333333348
34600000,-15.625000000000002
34640000,-17.291666666666675
34680000,-13.333333333333329
34720000,-15.624999999999996
34760000,-13.125
34800000,-17.500000000000018
34840000,-12.499999999999998
34880000,-12.083333333333329
34920000,-14.166666666666664
34960000,-11.87499999999998
35000000,-16.874999999999996
35040000,-13.541666666666664
35080000,-17.291666666666682
35120000,-17.70833333333335
35160000,-12.916666666666655
35200000,-15.833333333333336
35240000,-13.125
35280000,-11.874999999999984
35320000,-11.249999999999996
35360000,-17.291666666666643
35400000,-12.708333333333323
35440000,-15.625000000000004
35480000,-15.000000000000002
35520000,-14.374999999999998
35560000,-15.625000000000004
35600000,-14.375000000000009
35640000,-15.833333333333334
35680000,-14.791666666666666
35720000,-14.791666666666655
35760000,-17.50000000000001
35800000,-15.625000000000004
35840000,-13.958333333333323
35880000,-12.708333333333329
35920000,-13.124999999999996
35960000,-13.749999999999996
36000000,-12.708333333333323
36040000,-13.125000000000004
36080000,-12.499999999999991
36120000,-15.208333333333334
36160000,-12.916666666666655
36200000,-11.041666666666664
36240000,-13.125
36280000,-13.333333333333329
36320000,-13.749999999999988
36360000,-16.458333333333332
36400000,-17.70833333333332
36440000,-13.124999999999996
36480000,-14.374999999999996
36520000,-13.541666666666666
36560000,-13.958333333333334
36600000,-16.249999999999996
36640000,-15.416666666666677
36680000,-18.958333333333343
36720000,-15.416666666666666
36760000,-15.208333333333334
36800000,-12.708333333333329
36840000,-15.83333333333333
36880000,-14.374999999999996
36920000,-10.833333333333329
36960000,-17.08333333333334
37000000,-16.66666666666667
37040000,-13.749999999999998
37080000,-14.58333333333333
37120000,-12.291666666666664
37160000,-15.624999999999998
37200000,-21.04166666666669
37240000,-15.000000000000004
37280000,-15.0
37320000,-15.625000000000004
37360000,-12.083333333333323
37400000,-10.833333333333316
37440000,-13.124999999999991
37480000,-13.333333333333329
37520000,-13.749999999999996
37560000,-15.000000000000002
37600000,-15.208333333333336
37640000,-12.708333333333336
37680000,-14.999999999999991
37720000,-16.04166666666667
37760000,-14.166666666666664
37800000,-13.750000000000004
37840000,-14.166666666666664
37880000,-12.499999999999996
37920000,-14.791666666666677
37960000,-13.333333333333336
38000000,-12.291666666666652
