Timesteps,Eval/Return
80000,-14.374999999999993
119956,-17.29166666666667
159956,-19.166666666666686
199956,-19.58333333333335
239956,-20.000000000000018
279956,-20.000000000000018
319956,-19.166666666666682
359945,-20.000000000000018
399945,-19.583333333333353
439854,-16.041666666666675
479854,-17.916666666666675
519854,-19.58333333333335
559854,-18.333333333333346
599854,-19.166666666666682
639731,-17.500000000000007
679731,-19.166666666666682
719658,-18.333333333333346
759658,-18.750000000000014
799658,-19.166666666666682
839616,-19.166666666666682
879616,-19.58333333333335
919601,-20.000000000000018
959561,-19.583333333333353
999561,-20.000000000000018
1039561,-20.000000000000018
1079471,-18.75000000000001
1119471,-19.58333333333335
1159471,-19.58333333333335
1199471,-19.58333333333335
1239457,-19.58333333333335
1279441,-19.166666666666682
1319441,-19.166666666666682
1359405,-20.000000000000018
1399405,-19.58333333333335
1439405,-19.166666666666682
1479386,-19.58333333333335
1519356,-19.166666666666682
1559304,-20.000000000000018
1599304,-20.000000000000018
1639304,-20.000000000000018
1679304,-19.58333333333335
1719304,-19.166666666666682
1759251,-19.166666666666682
1799251,-18.333333333333343
1839251,-19.58333333333335
1879251,-18.333333333333343
1919251,-16.666666666666675
1959251,-14.999999999999995
1999251,-13.749999999999993
2039209,-15.416666666666663
2079209,-16.25
2119209,-11.666666666666652
2159209,-9.999999999999972
2199209,-10.416666666666643
2239209,-9.99999999999998
2279209,-11.24999999999998
2319209,-9.99999999999998
2359209,-10.833333333333314
2399191,-10.833333333333313
2439191,-12.083333333333323
2479191,-8.333333333333309
2519191,-9.583333333333309
2559191,-9.999999999999977
2599150,-8.333333333333309
2639096,-8.74999999999998
2679096,-8.333333333333306
2719096,-8.749999999999977
2759096,-6.249999999999976
2799046,-7.916666666666646
2839046,-4.583333333333305
2879046,-7.083333333333311
2919046,-6.666666666666646
2959042,-4.583333333333304
2999042,-4.999999999999975
3039042,-1.6666666666666374
3079042,-4.583333333333306
3119042,-2.916666666666648
3159042,-3.749999999999975
3199042,-2.9166666666666345
3238991,-1.6666666666666365
3278991,-2.499999999999971
3318991,-1.2499999999999687
3358991,1.2500000000000273
3398991,-1.66666666666664
3438991,2.590520390792032e-14
3478991,-0.41666666666664437
3518991,-1.6666666666666439
3558991,0.8333333333333526
3598991,-0.8333333333333038
3638991,2.7829590483937256e-14
3678991,1.250000000000023
3718991,0.4166666666666939
3758991,4.1666666666666705
3798991,3.7500000000000218
3838991,0.8333333333333539
3878991,2.9166666666666825
3918991,4.58333333333334
3958991,5.416666666666689
3998991,5.000000000000019
4038991,4.166666666666688
4078991,1.2500000000000133
4118991,2.5000000000000195
4158991,4.583333333333335
4198991,5.833333333333357
4238991,3.333333333333362
4278991,4.166666666666665
4318991,1.666666666666692
4358991,2.9166666666666714
4398991,5.833333333333325
4438991,6.666666666666653
4478991,4.166666666666689
4518991,7.500000000000003
4558991,6.666666666666669
4598991,5.833333333333336
4638991,6.666666666666662
4678991,4.583333333333343
4718991,4.58333333333333
4758991,3.3333333333333237
4798991,4.583333333333336
4838991,6.249999999999989
4878991,6.666666666666663
4918991,6.250000000000025
4958991,5.416666666666681
4998991,7.499999999999993
5038991,8.33333333333333
5078991,5.416666666666664
5118991,7.083333333333326
5158991,7.916666666666671
5198991,7.083333333333317
5238991,5.416666666666664
5278991,7.49999999999998
5318991,9.583333333333298
5358991,7.499999999999969
5398991,9.166666666666629
5438991,8.333333333333306
5478991,6.249999999999985
5518991,7.083333333333318
5558991,6.249999999999996
5598991,8.333333333333314
5638991,8.333333333333313
5678991,7.083333333333339
5718991,7.083333333333305
5758991,9.166666666666629
5798991,8.75
5838932,7.916666666666646
5878932,5.833333333333343
5918932,5.416666666666646
5958932,7.9166666666666545
5998932,7.916666666666653
6038932,9.583333333333321
6078932,7.0833333333333215
6118932,7.4999999999999885
6158932,9.166666666666641
6198932,7.499999999999986
6238932,7.499999999999982
6278932,6.666666666666662
6318932,6.249999999999989
6358932,7.9166666666666545
6398932,8.749999999999964
6438932,8.333333333333295
6478932,5.833333333333312
6518914,7.9166666666666545
6558914,7.916666666666615
6598914,9.166666666666616
6638914,8.749999999999963
6678914,6.666666666666654
6718914,8.33333333333329
6758914,7.9166666666666545
6798914,6.666666666666653
6838914,7.91666666666663
6878914,7.0833333333332975
6918914,7.083333333333331
6958914,6.66666666666664
6998914,7.083333333333305
7038914,6.250000000000003
7078884,6.666666666666651
7118884,9.166666666666623
7158884,7.083333333333311
7198884,8.333333333333309
7238790,6.6666666666666385
7278790,8.749999999999984
7318790,7.916666666666646
7358790,7.916666666666639
7398790,8.541666666666623
7438790,8.749999999999966
7478790,9.166666666666643
7518790,6.87499999999999
7558790,9.999999999999924
7598790,7.916666666666643
7638790,8.749999999999975
7678790,7.916666666666664
7718772,7.49999999999999
7758772,7.916666666666658
7798772,9.583333333333307
7838772,9.166666666666636
7878772,7.499999999999999
7918772,9.583333333333286
7958772,9.583333333333306
7998772,8.333333333333295
8038772,6.249999999999987
8078772,7.08333333333334
8118772,7.499999999999975
8158772,8.749999999999972
8198772,9.999999999999973
8238772,7.083333333333322
8278772,8.749999999999993
8318772,7.4999999999999725
8358772,8.749999999999979
8398763,6.249999999999993
8438763,8.333333333333314
8478763,8.333333333333309
8518763,9.16666666666663
8558763,7.916666666666629
8598743,7.083333333333305
8638743,7.916666666666654
8678743,7.0833333333333135
8718743,8.333333333333284
8758743,7.499999999999986
8798589,7.49999999999996
8838515,7.083333333333321
8878515,8.333333333333313
8918515,7.916666666666664
8958515,9.583333333333298
8998515,5.833333333333308
9038515,9.166666666666641
9078515,7.499999999999971
9118515,8.333333333333288
9158474,9.16666666666662
9198474,7.916666666666646
9238474,7.083333333333314
9278474,9.166666666666645
9318369,7.083333333333319
9358369,8.749999999999972
9398369,8.749999999999975
9438369,9.58333333333328
9478322,7.916666666666633
9518311,8.749999999999984
9558303,6.66666666666664
9598235,8.95833333333328
9638119,8.124999999999963
9678003,6.666666666666636
9717944,7.70833333333331
9757762,8.749999999999952
9797717,8.958333333333258
9837632,9.37499999999997
9877465,8.124999999999966
9917267,6.249999999999978
9957087,9.166666666666611
9996809,17.104166666666625
10036432,7.9166666666666465
10076108,16.904166666666654
10115755,6.874999999999969
10155459,27.945833333333265
10194983,6.6666666666666385
10234709,8.124999999999952
10274359,6.4583333333332975
10314160,6.458333333333304
10353627,7.49999999999996
10393120,9.37499999999994
10432514,9.166666666666632
10472140,7.49999999999995
10511822,8.333333333333298
10551674,8.749999999999956
10590765,16.37916666666663
10630311,15.783333333333298
10669530,16.345833333333285
10709363,8.541666666666613
10748842,17.516666666666616
10788184,16.662499999999966
10827590,7.499999999999953
10867109,39.89583333333331
10906629,34.287499999999966
10945514,17.449999999999953
10985120,33.516666666666644
11024228,6.8749999999999645
11063754,8.749999999999961
11103144,6.666666666666619
11142199,15.45416666666663
11181868,32.3
11221388,8.333333333333291
11260804,16.908333333333314
11299993,15.854166666666652
11339748,23.120833333333323
11379189,16.8916666666666
11418674,19.529166666666608
11458203,4.5833333333332975
11497348,8.958333333333302
11536763,23.158333333333317
11575813,16.166666666666654
11615301,23.95
11654941,17.566666666666634
11694094,35.712499999999984
11733434,9.166666666666652
11772691,60.594999999999956
11812227,25.974999999999955
11851313,33.20833333333331
11890345,25.579166666666634
11929209,35.38749999999996
11968009,17.374999999999954
12006932,9.166666666666629
12045868,10.416666666666613
12084077,33.0583333333333
12123330,47.94499999999996
12162301,26.6458333333333
12200857,60.49999999999996
12239527,24.799999999999958
12278368,69.94999999999995
12316729,26.104166666666643
12355551,70.50999999999996
12394793,49.78999999999998
12433413,17.429166666666625
12471944,43.30833333333331
12510580,23.062499999999996
12549502,35.01199999999995
12588072,50.44499999999998
12626607,82.94499999999996
12664964,47.480000000000004
12703118,40.6708333333333
12740934,34.89166666666662
12779377,66.52
12817929,70.61999999999998
12855901,81.86499999999997
12893697,60.69999999999997
12932472,5.625000000000019
12970383,60.79499999999997
13008298,31.329166666666627
13046535,62.03499999999995
13084393,50.044999999999945
13122071,24.99166666666666
13160095,24.849999999999977
13197815,80.835
13235318,100.83499999999997
13272788,31.62916666666665
13310404,58.07999999999997
13348705,33.54166666666664
13386654,50.47499999999998
13424116,50.55416666666664
13462204,48.26499999999997
13499877,90.87499999999996
13537781,70.66999999999999
13575445,51.95999999999998
13613134,31.574999999999978
13650449,87.68499999999997
13687988,49.449999999999974
13725116,60.54999999999994
13761887,71.69499999999998
13799312,58.47499999999999
13835967,23.670833333333338
13873857,124.47999999999998
13910793,80.45999999999997
13947436,85.59523809523809
13984641,82.49999999999997
