Timesteps,Eval/Return
40000,-22.08333333333336
80000,-18.958333333333357
120000,-20.625000000000018
160000,-17.500000000000014
200000,-19.583333333333357
240000,-18.958333333333357
280000,-20.83333333333336
320000,-19.79166666666669
360000,-18.75000000000001
400000,-18.54166666666668
440000,-19.375000000000018
480000,-19.58333333333335
520000,-20.000000000000018
560000,-20.000000000000018
600000,-19.79166666666669
640000,-20.20833333333336
680000,-20.208333333333357
720000,-19.79166666666668
760000,-19.79166666666669
800000,-20.000000000000018
840000,-19.16666666666668
880000,-19.58333333333335
920000,-19.58333333333335
960000,-19.58333333333335
1000000,-20.000000000000018
1040000,-19.79166666666669
1080000,-19.375000000000018
1120000,-20.208333333333357
1160000,-20.41666666666669
1200000,-19.58333333333335
1240000,-18.75000000000001
1280000,-19.16666666666668
1320000,-18.75000000000001
1360000,-19.583333333333357
1400000,-19.16666666666668
1440000,-23.74999999999999
1480000,-20.000000000000018
1520000,-19.375000000000018
1560000,-20.62500000000002
1600000,-19.16666666666668
1640000,-18.958333333333343
1680000,-18.75000000000001
1720000,-20.00000000000002
1760000,-18.958333333333343
1800000,-19.583333333333357
1840000,-20.20833333333336
1880000,-19.58333333333335
1920000,-19.58333333333335
1960000,-19.58333333333335
2000000,-17.500000000000007
2040000,-20.000000000000025
2080000,-20.000000000000018
2120000,-19.583333333333357
2160000,-19.16666666666668
2200000,-19.16666666666669
2240000,-19.16666666666668
2280000,-18.75000000000001
2320000,-21.666666666666668
2360000,-18.75000000000001
2400000,-19.58333333333335
2440000,-20.208333333333357
2480000,-18.75000000000001
2520000,-19.58333333333335
2560000,-19.16666666666668
2600000,-19.58333333333335
2640000,-18.75000000000001
2680000,-18.958333333333343
2720000,-19.79166666666669
2760000,-18.958333333333343
2800000,-18.958333333333343
2840000,-19.16666666666668
2880000,-18.12500000000001
2920000,-19.58333333333335
2960000,-19.583333333333357
3000000,-17.916666666666675
3040000,-19.375000000000018
3080000,-19.58333333333335
3120000,-18.75000000000001
3160000,-18.333333333333343
3200000,-19.58333333333335
3240000,-19.375000000000018
3280000,-19.375000000000018
3320000,-18.54166666666668
3360000,-20.208333333333357
3400000,-19.16666666666668
3440000,-18.958333333333343
3480000,-19.16666666666668
3520000,-18.54166666666668
3560000,-21.45833333333336
3600000,-20.000000000000018
3640000,-19.58333333333335
3680000,-18.333333333333343
3720000,-21.250000000000025
3760000,-20.41666666666669
3800000,-18.75000000000001
3840000,-23.95833333333333
3880000,-18.12500000000001
3920000,-19.16666666666668
3960000,-18.333333333333343
4000000,-18.125000000000007
4040000,-19.16666666666668
4080000,-18.54166666666668
4120000,-18.541666666666675
4160000,-19.16666666666668
4200000,-18.75000000000001
4240000,-17.500000000000007
4280000,-23.124999999999982
4320000,-18.75000000000001
4360000,-20.625000000000025
4400000,-18.75000000000001
4440000,-19.16666666666668
4480000,-18.333333333333343
4520000,-19.375000000000025
4560000,-17.29166666666667
4600000,-18.333333333333343
4640000,-17.916666666666675
4680000,-18.12500000000001
4720000,-20.20833333333336
4760000,-19.16666666666668
4800000,-18.95833333333335
4840000,-18.958333333333343
4880000,-21.041666666666693
4920000,-19.583333333333357
4960000,-18.333333333333343
5000000,-18.541666666666675
5040000,-18.12500000000001
5080000,-19.79166666666669
5120000,-18.333333333333343
5160000,-19.58333333333335
5200000,-18.54166666666668
5240000,-19.58333333333335
5280000,-18.12500000000001
5320000,-20.41666666666668
5360000,-19.16666666666669
5400000,-18.541666666666675
5440000,-17.708333333333346
5480000,-20.000000000000018
5520000,-19.58333333333335
5560000,-19.16666666666668
5600000,-19.79166666666669
5640000,-17.70833333333334
5680000,-19.16666666666668
5720000,-18.333333333333343
5760000,-20.208333333333357
5800000,-19.37500000000001
5840000,-19.16666666666669
5880000,-19.375000000000018
5920000,-19.16666666666668
5960000,-21.041666666666693
6000000,-17.916666666666675
6040000,-17.500000000000004
6080000,-19.37500000000001
6120000,-17.083333333333336
6160000,-17.708333333333346
6200000,-17.29166666666667
6240000,-18.75000000000001
6280000,-18.333333333333343
6320000,-18.75000000000001
6360000,-19.375000000000018
6400000,-18.125000000000007
6440000,-18.75000000000001
6480000,-16.041666666666668
6520000,-18.75000000000001
6560000,-16.875000000000007
6600000,-15.416666666666664
6640000,-17.916666666666675
6680000,-21.04166666666669
6720000,-19.58333333333335
6760000,-18.54166666666668
6800000,-19.58333333333335
6840000,-19.16666666666668
6880000,-20.41666666666669
6920000,-17.916666666666686
6960000,-17.500000000000004
7000000,-17.916666666666675
7040000,-16.25
7080000,-17.291666666666675
7120000,-17.500000000000007
7160000,-20.833333333333357
7200000,-16.250000000000004
7240000,-16.66666666666667
7280000,-17.500000000000004
7320000,-17.708333333333346
7360000,-17.50000000000001
7400000,-16.875000000000007
7440000,-18.54166666666669
7480000,-18.75000000000001
7520000,-18.958333333333343
7560000,-18.12500000000001
7600000,-18.54166666666668
7640000,-17.083333333333346
7680000,-17.29166666666667
7720000,-18.333333333333343
7760000,-18.333333333333343
7800000,-17.291666666666682
7840000,-18.75000000000001
7880000,-15.833333333333334
7920000,-20.41666666666669
7960000,-18.75000000000001
8000000,-17.708333333333343
8040000,-17.70833333333334
8080000,-20.62500000000002
8120000,-21.87500000000001
8160000,-18.95833333333335
8200000,-18.541666666666675
8240000,-17.916666666666675
8280000,-17.29166666666668
8320000,-23.958333333333325
8360000,-17.083333333333336
8400000,-18.958333333333357
8440000,-16.45833333333334
8480000,-17.08333333333334
8520000,-17.083333333333336
8560000,-17.083333333333336
8600000,-19.79166666666669
8640000,-18.75000000000001
8680000,-18.12500000000001
8720000,-18.333333333333343
8760000,-17.91666666666668
8800000,-17.708333333333343
8840000,-16.66666666666667
8880000,-17.916666666666675
8920000,-18.333333333333343
8960000,-19.583333333333357
9000000,-19.79166666666669
9040000,-18.333333333333343
9080000,-17.083333333333343
9120000,-15.416666666666671
9160000,-22.70833333333333
9200000,-17.916666666666675
9240000,-17.29166666666668
9280000,-16.875000000000007
9320000,-18.958333333333343
9360000,-19.37500000000001
9400000,-19.375000000000018
9440000,-18.54166666666668
9480000,-16.45833333333334
9520000,-18.12500000000001
9560000,-17.70833333333334
9600000,-18.75000000000001
9640000,-20.000000000000007
9680000,-17.50000000000001
9720000,-17.916666666666675
9760000,-16.666666666666675
9800000,-14.791666666666664
9840000,-17.916666666666675
9880000,-18.333333333333343
9920000,-17.70833333333334
9960000,-17.708333333333346
10000000,-21.04166666666667
10040000,-17.083333333333336
10080000,-18.333333333333343
10120000,-17.50000000000001
10160000,-16.45833333333334
10200000,-16.041666666666675
10240000,-16.04166666666667
10280000,-17.50000000000001
10320000,-17.083333333333343
10360000,-17.916666666666675
10400000,-18.333333333333343
10440000,-17.291666666666675
10480000,-16.45833333333334
10520000,-16.875000000000007
10560000,-18.958333333333343
10600000,-18.75000000000001
10640000,-16.45833333333334
10680000,-15.833333333333334
10720000,-17.291666666666675
10760000,-17.291666666666682
10800000,-17.29166666666668
10840000,-16.66666666666667
10880000,-17.29166666666667
10920000,-17.08333333333334
10960000,-24.791666666666647
11000000,-17.50000000000001
11040000,-17.500000000000004
11080000,-18.125000000000004
11120000,-17.08333333333334
11160000,-16.875000000000004
11200000,-18.12500000000001
11240000,-18.333333333333343
11280000,-20.00000000000002
11320000,-18.333333333333343
11360000,-18.333333333333343
11400000,-16.875
11440000,-17.291666666666675
11480000,-20.20833333333334
11520000,-16.250000000000007
11560000,-16.875000000000004
11600000,-18.333333333333343
11640000,-17.500000000000004
11680000,-16.875000000000007
11720000,-17.083333333333343
11760000,-17.708333333333343
11800000,-17.708333333333343
11840000,-18.54166666666668
11880000,-18.75000000000001
11920000,-16.45833333333334
11960000,-18.333333333333343
12000000,-18.54166666666668
12040000,-20.208333333333357
12080000,-18.958333333333357
12120000,-17.70833333333334
12160000,-18.333333333333343
12200000,-17.708333333333343
12240000,-19.375000000000018
12280000,-18.75000000000001
12320000,-19.37500000000001
12360000,-17.50000000000001
12400000,-18.333333333333343
12440000,-18.12500000000001
12480000,-17.50000000000001
12520000,-16.66666666666667
12560000,-18.75
12600000,-18.333333333333343
12640000,-16.875000000000007
12680000,-18.54166666666669
12720000,-16.875000000000007
12760000,-18.54166666666668
12800000,-17.291666666666675
12840000,-18.75000000000001
