Timesteps,Eval/Return
79585,-43.33333333333346
159374,-42.50000000000016
238687,-27.708333333333453
318654,-28.125000000000103
398211,-27.08333333333344
477554,-34.79166666666692
556886,-35.83333333333357
636615,-36.66666666666694
716412,-36.66666666666693
795952,-38.75000000000029
875474,-37.083333333333606
955041,-36.66666666666693
1034301,-37.50000000000028
1113823,-39.583333333333634
1193001,-38.33333333333362
1272316,-38.33333333333361
1351404,-37.91666666666695
1431053,-37.91666666666693
1510394,-38.33333333333361
1589729,-39.16666666666695
1669278,-37.50000000000028
1749073,-37.50000000000028
1828509,-38.33333333333362
1907557,-37.50000000000026
1987045,-38.75000000000029
2066308,-36.66666666666692
2146019,-38.33333333333361
2225638,-38.333333333333606
2305291,-39.583333333333634
2384757,-38.75000000000029
2464268,-37.50000000000026
2543639,-38.75000000000028
2623533,-38.12500000000028
2703240,-39.583333333333634
2782164,-36.66666666666692
2861654,-38.75000000000029
2941412,-37.50000000000026
3020994,-37.50000000000028
3100644,-40.0000000000003
3180076,-38.75000000000029
3259592,-38.75000000000029
3339347,-38.33333333333362
3418868,-38.33333333333362
3498300,-39.16666666666695
3578074,-39.58333333333363
3657666,-37.91666666666695
3737435,-39.58333333333363
3817027,-39.58333333333363
3896998,-37.91666666666694
3976768,-39.16666666666695
4056190,-39.16666666666696
4136105,-38.33333333333361
4215887,-40.0000000000003
4295617,-39.16666666666696
4375332,-38.75000000000029
4455272,-37.50000000000029
4535087,-38.75000000000029
4614582,-35.41666666666693
4694311,-35.83333333333359
4773879,-35.416666666666906
4853726,-36.66666666666693
4933726,-34.58333333333357
5013426,-33.750000000000206
5093292,-35.416666666666906
5173178,-34.166666666666885
5252976,-35.00000000000023
5332686,-35.00000000000025
5412593,-35.416666666666906
5492402,-35.000000000000234
5572402,-32.500000000000206
5652158,-33.75000000000023
5732142,-34.16666666666689
5812138,-31.666666666666845
5891962,-30.00000000000016
5971962,-28.750000000000156
6051962,-27.083333333333456
6131798,-31.25000000000017
6211798,-28.333333333333456
6291798,-26.250000000000096
6371798,-27.91666666666679
6451772,-25.416666666666757
6531736,-26.66666666666677
6611736,-29.166666666666817
6691736,-26.66666666666676
6771736,-28.333333333333453
6851736,-28.333333333333456
6931736,-27.91666666666679
7011736,-26.66666666666677
7091736,-25.833333333333425
7171736,-27.91666666666679
7251734,-25.833333333333417
7331734,-25.20833333333341
7411734,-23.750000000000057
7491734,-23.750000000000068
7571734,-26.66666666666676
7651734,-25.00000000000008
7731734,-27.500000000000124
7811734,-22.916666666666725
7891734,-26.2500000000001
7971734,-22.50000000000006
8051734,-26.66666666666677
8131734,-27.916666666666785
8211734,-23.125000000000057
8291734,-22.0833333333334
8371734,-26.25000000000009
8451734,-22.500000000000085
8531734,-24.58333333333341
8611734,-21.250000000000057
8691734,-22.08333333333339
8771734,-22.91666666666673
8851670,-23.3333333333334
8931659,-23.3333333333334
9011659,-22.083333333333385
9091659,-19.58333333333336
9171538,-19.166666666666696
9251538,-19.583333333333368
9331538,-22.500000000000057
9411538,-22.083333333333385
9491538,-24.16666666666676
9571538,-22.08333333333339
9651538,-22.50000000000005
9731538,-21.66666666666672
9811538,-21.66666666666673
9891538,-22.91666666666673
9971304,-21.666666666666703
10051304,-22.08333333333337
10131304,-19.166666666666696
10211304,-20.00000000000004
10291304,-20.83333333333337
10371304,-21.250000000000032
10451304,-21.666666666666703
10531304,-20.41666666666671
10611304,-19.16666666666668
10691304,-18.95833333333337
10771304,-19.166666666666707
10851304,-20.416666666666696
10931169,-19.166666666666696
11011169,-20.625000000000043
11091169,-20.000000000000032
11171169,-16.66666666666667
11251169,-20.416666666666703
11331169,-20.83333333333336
11411169,-19.79166666666671
11491169,-17.083333333333346
11571169,-17.50000000000001
11651169,-19.166666666666693
11731169,-18.750000000000018
11811169,-19.16666666666669
11890810,-17.08333333333334
11970810,-19.16666666666669
12050810,-17.500000000000007
12130810,-20.00000000000002
12210810,-17.08333333333334
12290810,-17.916666666666696
12370810,-18.75000000000001
12450810,-20.41666666666671
12530810,-16.24999999999999
12610810,-17.08333333333334
12690810,-16.666666666666668
12770810,-17.500000000000025
12850810,-18.75000000000003
12930810,-17.499999999999996
13010810,-20.000000000000025
13090796,-18.541666666666675
13170796,-17.08333333333334
13250796,-17.500000000000004
13330796,-15.833333333333336
13410796,-14.583333333333348
13490796,-17.916666666666682
13570796,-20.83333333333336
13650796,-13.333333333333307
13730796,-17.08333333333334
13810796,-15.833333333333314
13890796,-15.83333333333332
13970796,-15.833333333333323
14050796,-15.416666666666655
14130796,-16.666666666666654
14210796,-14.583333333333323
14290626,-15.416666666666664
14370626,-16.249999999999996
14450626,-12.91666666666665
14530507,-13.333333333333314
14610507,-11.249999999999956
14690507,-10.8333333333333
14770453,-13.33333333333333
14850453,-11.249999999999972
14930449,-11.249999999999984
15010449,-11.666666666666634
15090449,-10.416666666666645
15170449,-12.916666666666652
15250435,-12.083333333333291
15330435,-12.49999999999998
15410435,-11.666666666666638
15490435,-11.666666666666638
15570435,-10.416666666666629
15650435,-10.833333333333306
15730435,-12.083333333333307
15810218,-11.66666666666665
15890218,-10.833333333333306
15970067,-10.833333333333307
16050009,-14.583333333333334
16130009,-11.249999999999956
16210009,-10.8333333333333
16289800,-11.666666666666634
16369700,-12.083333333333297
16449700,-13.749999999999991
16529700,-11.249999999999986
16609700,-11.249999999999972
16689587,-13.333333333333306
16769571,-14.583333333333314
16849516,-10.833333333333302
16929516,-10.416666666666616
17009516,-11.666666666666648
17089398,-13.333333333333329
17169398,-12.083333333333314
17249398,-11.666666666666648
17329398,-12.083333333333307
17409398,-11.249999999999956
17489398,-12.49999999999996
17569398,-12.499999999999966
17649192,-11.249999999999964
17729192,-11.666666666666622
17809192,-12.083333333333297
17889192,-11.66666666666664
17969192,-11.249999999999966
18049192,-10.833333333333297
18129192,-12.499999999999972
18209192,-10.833333333333306
18289151,-10.833333333333291
18369151,-11.666666666666616
18449151,-12.083333333333306
18529151,-11.66666666666662
18609094,-11.666666666666636
18688881,-11.666666666666648
18768881,-11.24999999999998
18848730,-10.833333333333316
18928730,-11.24999999999998
19008730,-12.083333333333307
19088554,-13.333333333333329
19168554,-12.083333333333314
19248554,-10.416666666666634
19328467,-10.416666666666616
19408467,-11.666666666666645
19488467,-10.416666666666645
19568467,-10.416666666666652
19648467,-10.833333333333298
19728467,-11.249999999999966
19808044,-12.499999999999972
19888044,-11.666666666666634
19967765,-11.666666666666655
20047641,-11.874999999999952
20127470,-11.249999999999956
20207470,-10.83333333333332
20287285,-9.999999999999964
20367285,-11.666666666666655
20447239,-9.999999999999964
20527119,-9.999999999999972
20607119,-12.083333333333336
20687052,-9.999999999999972
20767052,-11.666666666666664
20847052,-11.249999999999975
