Timesteps,Eval/Return
2000,-16.750000000000025
42000,-16.750000000000007
82000,-22.50000000000005
122000,-19.0
162000,-14.75000000000001
202000,-25.250000000000057
242000,-21.25000000000004
282000,-20.75000000000004
322000,-23.25000000000005
362000,-17.250000000000004
402000,-13.499999999999996
442000,-28.75000000000008
482000,-14.749999999999996
522000,-24.25000000000005
562000,-20.50000000000002
602000,-19.250000000000018
642000,-16.999999999999996
682000,-16.75
722000,-11.749999999999982
762000,-28.25000000000005
802000,-15.500000000000004
842000,-21.50000000000004
882000,-24.75000000000008
922000,-18.500000000000007
962000,-19.00000000000002
1002000,-28.75000000000009
1042000,-29.750000000000103
1082000,-22.00000000000004
1122000,-16.749999999999993
1162000,-24.75000000000005
1202000,-10.499999999999975
1242000,-19.000000000000007
1282000,-22.250000000000032
1322000,-22.250000000000032
1362000,-18.000000000000004
1402000,-16.999999999999996
1442000,-18.00000000000002
1482000,-18.250000000000007
1522000,-13.99999999999999
1562000,-16.5
1602000,-19.500000000000007
1642000,-20.00000000000001
1682000,-24.00000000000005
1722000,-24.50000000000005
1762000,-16.749999999999996
1802000,-19.75000000000001
1842000,-20.250000000000018
1882000,-22.00000000000004
1922000,-14.750000000000004
1962000,-20.25000000000002
2002000,-15.249999999999996
2042000,-13.999999999999991
2082000,-17.250000000000004
2122000,-19.25000000000001
2162000,-25.750000000000057
2202000,-16.499999999999993
2242000,-8.999999999999972
2282000,-16.999999999999996
2322000,-19.50000000000001
2362000,-22.25000000000004
2402000,-19.50000000000003
2442000,-14.75
2482000,-19.50000000000002
2522000,-13.499999999999982
2562000,-19.75000000000001
2602000,-19.500000000000007
2642000,-17.5
2682000,-16.250000000000007
2722000,-21.250000000000032
2762000,-14.99999999999999
2802000,-18.75000000000001
2842000,-16.25000000000001
2882000,-28.250000000000018
2922000,-17.5
2962000,-11.999999999999975
3002000,-26.750000000000064
3042000,-21.00000000000003
3082000,-17.25000000000001
3122000,-13.74999999999999
3162000,-23.000000000000018
3202000,-15.75
3242000,-18.00000000000003
3282000,-14.500000000000004
3322000,-16.499999999999993
3362000,-19.00000000000003
3402000,-21.25000000000002
3442000,-19.000000000000007
3482000,-12.499999999999986
3522000,-13.499999999999986
3562000,-16.999999999999993
3602000,-16.25
3642000,-12.499999999999996
3682000,-5.7499999999999805
3722000,-16.999999999999993
3762000,-22.00000000000003
3802000,-11.99999999999998
3842000,-6.999999999999973
3882000,-19.250000000000025
3922000,-14.999999999999991
3962000,-15.999999999999991
4002000,-12.499999999999984
4042000,-13.249999999999982
4082000,-18.25000000000004
4122000,-20.500000000000032
4162000,-9.999999999999972
4202000,-16.250000000000004
4242000,-18.500000000000007
4282000,-28.250000000000068
4322000,-5.49999999999997
4362000,-14.999999999999991
4402000,-21.00000000000004
4442000,-11.499999999999972
4482000,-16.500000000000004
4522000,-20.25000000000002
4562000,-18.250000000000007
4602000,-18.50000000000003
4642000,-18.750000000000018
4682000,-14.49999999999999
4722000,-15.5
4762000,-16.249999999999993
4802000,-18.500000000000004
4842000,-14.250000000000004
4882000,-11.24999999999999
4922000,-14.750000000000004
4962000,-14.74999999999999
5002000,-46.99999999999994
5042000,-10.249999999999982
5082000,-15.50000000000001
5122000,-17.5
5162000,-18.250000000000025
5202000,-21.25000000000003
5242000,-7.499999999999969
5282000,-20.000000000000007
5322000,-13.249999999999982
5362000,-9.249999999999988
5402000,-9.999999999999975
5442000,-20.250000000000032
5482000,-20.00000000000001
5522000,-15.75
5562000,-14.500000000000004
5602000,-12.49999999999999
5642000,-21.25000000000002
5682000,-11.49999999999998
5722000,-16.000000000000004
5762000,-15.749999999999996
5802000,-18.750000000000018
5842000,-20.000000000000018
5882000,-16.25
5922000,-13.999999999999982
5962000,-10.99999999999998
6002000,-17.250000000000007
6042000,-14.75
6082000,-19.750000000000018
6122000,-14.49999999999999
6162000,-15.49999999999999
6202000,-9.999999999999972
6242000,-19.500000000000007
6282000,-23.25000000000005
6322000,-12.749999999999984
6362000,-14.249999999999986
6402000,-18.250000000000007
6442000,-14.749999999999991
6482000,-11.499999999999972
6522000,-14.49999999999999
6562000,-14.249999999999996
6602000,-10.999999999999986
6642000,-27.25000000000009
6682000,-11.99999999999999
6722000,-9.499999999999984
6762000,-10.749999999999975
6802000,-12.49999999999998
6842000,-10.499999999999986
6882000,-7.249999999999976
6922000,-27.750000000000064
6962000,-12.24999999999997
7002000,-15.499999999999996
7042000,-11.499999999999988
7082000,-20.75000000000002
7122000,-14.999999999999991
7162000,-14.499999999999996
7202000,-15.999999999999996
7242000,-15.750000000000004
7282000,-11.49999999999999
7322000,-15.999999999999996
7362000,-18.25000000000001
7402000,-12.999999999999991
7442000,-6.749999999999969
7482000,-10.999999999999975
7522000,-3.249999999999976
7562000,-38.75000000000016
7602000,-13.24999999999998
7642000,-12.749999999999982
7682000,-14.249999999999991
7722000,-14.750000000000004
7762000,-21.00000000000003
7802000,-18.750000000000018
7842000,-16.999999999999993
7882000,-15.499999999999996
7922000,-51.99999999999987
7962000,-17.500000000000004
8002000,-13.499999999999986
8042000,-11.999999999999986
8082000,-13.249999999999975
8122000,-6.249999999999977
8162000,-7.499999999999972
8202000,-12.249999999999991
8242000,-15.249999999999991
8282000,-3.999999999999976
8322000,-8.999999999999988
8362000,-15.24999999999999
8402000,-16.249999999999996
