Timesteps,Eval/Return
40000,-20.000000000000032
80000,-19.79166666666669
120000,-23.541666666666718
160000,-21.250000000000032
200000,-21.45833333333337
240000,-18.54166666666668
280000,-17.291666666666686
320000,-20.20833333333337
360000,-18.12500000000001
400000,-19.37500000000003
440000,-18.54166666666669
480000,-16.666666666666675
520000,-18.750000000000018
560000,-18.75000000000002
600000,-18.333333333333343
640000,-19.37500000000002
680000,-17.916666666666675
720000,-18.541666666666696
760000,-18.33333333333336
800000,-19.79166666666669
840000,-15.833333333333345
880000,-18.958333333333343
920000,-20.625000000000032
960000,-18.333333333333343
1000000,-20.000000000000025
1040000,-19.58333333333336
1080000,-19.375000000000025
1120000,-19.791666666666693
1160000,-22.29166666666668
1200000,-18.12500000000001
1240000,-18.54166666666668
1280000,-23.750000000000043
1320000,-18.333333333333343
1360000,-19.16666666666669
1400000,-18.958333333333357
1440000,-20.20833333333336
1480000,-19.16666666666668
1520000,-19.37500000000002
1560000,-18.54166666666668
1600000,-19.58333333333335
1640000,-18.333333333333343
1680000,-18.958333333333343
1720000,-18.750000000000018
1760000,-19.791666666666696
1800000,-18.958333333333357
1840000,-19.583333333333357
1880000,-20.41666666666669
1920000,-19.79166666666669
1960000,-19.79166666666669
2000000,-19.79166666666668
2040000,-18.75000000000001
2080000,-19.583333333333357
2120000,-20.416666666666693
2160000,-18.958333333333343
2200000,-20.833333333333368
2240000,-19.583333333333343
2280000,-19.583333333333357
2320000,-20.00000000000002
2360000,-17.708333333333346
2400000,-18.12500000000001
2440000,-20.000000000000025
2480000,-19.37500000000001
2520000,-20.000000000000025
2560000,-18.54166666666668
2600000,-19.58333333333335
2640000,-19.16666666666669
2680000,-20.000000000000025
2720000,-19.583333333333357
2760000,-19.79166666666669
2800000,-18.958333333333357
2840000,-18.75000000000001
2880000,-20.833333333333364
2920000,-19.37500000000001
2960000,-19.375000000000018
3000000,-18.12500000000001
3040000,-18.333333333333343
3080000,-19.583333333333357
3120000,-19.375000000000018
3160000,-19.791666666666693
3200000,-18.54166666666668
3240000,-20.833333333333368
3280000,-20.625000000000025
3320000,-20.416666666666693
3360000,-19.583333333333357
3400000,-23.750000000000018
3440000,-18.54166666666668
3480000,-18.95833333333335
3520000,-19.16666666666669
3560000,-23.75
3600000,-18.75000000000001
3640000,-19.16666666666668
3680000,-18.750000000000018
3720000,-24.79166666666666
3760000,-19.375000000000018
3800000,-17.083333333333343
3840000,-18.75000000000001
3880000,-17.08333333333334
3920000,-19.16666666666668
3960000,-20.208333333333368
4000000,-18.958333333333343
4040000,-20.833333333333368
4080000,-18.333333333333343
4120000,-19.583333333333357
4160000,-18.75000000000001
4200000,-18.333333333333343
4240000,-24.374999999999982
4280000,-18.95833333333336
4320000,-19.583333333333343
4360000,-20.20833333333336
4400000,-19.375000000000018
4440000,-19.58333333333335
4480000,-19.79166666666669
4520000,-19.79166666666669
4560000,-20.000000000000018
4600000,-19.79166666666669
4640000,-18.95833333333335
4680000,-19.58333333333335
4720000,-19.16666666666668
4760000,-18.95833333333335
4800000,-19.16666666666669
4840000,-19.16666666666669
4880000,-19.16666666666668
4920000,-19.583333333333357
4960000,-19.58333333333335
5000000,-19.79166666666669
5040000,-19.166666666666693
5080000,-18.12500000000001
5120000,-19.16666666666668
5160000,-23.33333333333333
5200000,-19.58333333333336
5240000,-19.58333333333335
5280000,-19.79166666666669
5320000,-19.16666666666668
5360000,-19.79166666666669
