Timesteps,Eval/Return
40000,-20.833333333333368
80000,-17.291666666666668
120000,-14.166666666666664
160000,-19.375000000000025
200000,-17.916666666666675
240000,-18.75000000000001
280000,-17.291666666666668
320000,-18.958333333333357
360000,-19.79166666666669
400000,-20.000000000000018
440000,-20.000000000000018
480000,-20.000000000000018
520000,-20.000000000000018
560000,-20.000000000000018
600000,-20.000000000000018
640000,-20.000000000000018
680000,-20.000000000000018
720000,-20.000000000000018
760000,-19.58333333333335
800000,-20.000000000000018
840000,-20.000000000000018
880000,-20.000000000000018
920000,-20.000000000000018
960000,-20.000000000000018
1000000,-20.000000000000018
1040000,-20.000000000000018
1080000,-20.000000000000018
1120000,-19.58333333333335
1160000,-20.000000000000018
1200000,-19.58333333333335
1240000,-20.000000000000018
1280000,-20.000000000000018
1320000,-20.000000000000018
1360000,-20.000000000000018
1400000,-20.000000000000018
1440000,-20.000000000000018
1480000,-20.000000000000018
1520000,-20.000000000000018
1560000,-20.000000000000018
1600000,-20.000000000000018
1640000,-20.000000000000018
1680000,-20.000000000000018
1720000,-19.58333333333335
1760000,-20.000000000000018
1800000,-20.000000000000018
1840000,-20.000000000000018
1880000,-19.58333333333335
1920000,-20.208333333333357
1960000,-20.000000000000018
2000000,-18.75000000000001
2040000,-19.58333333333335
2080000,-19.16666666666668
2120000,-19.583333333333357
2160000,-18.333333333333343
2200000,-17.08333333333334
2240000,-15.833333333333329
2280000,-18.333333333333343
2320000,-14.583333333333323
2360000,-15.416666666666664
2400000,-12.499999999999984
2440000,-12.083333333333314
2480000,-11.24999999999998
2520000,-9.999999999999972
2560000,-9.999999999999972
2600000,-10.833333333333307
2640000,-10.833333333333314
2680000,-11.24999999999998
2720000,-10.833333333333307
2760000,-9.999999999999975
2800000,-9.166666666666645
2840000,-9.583333333333306
2880000,-9.999999999999972
2920000,-10.833333333333314
2960000,-7.499999999999979
3000000,-7.499999999999981
3040000,-7.29166666666664
3080000,-7.083333333333307
3120000,-5.416666666666644
3160000,-9.583333333333307
3200000,-8.333333333333309
3240000,-7.499999999999979
3280000,-6.666666666666642
3320000,-3.749999999999975
3360000,-2.4999999999999827
3400000,-4.999999999999978
3440000,-3.749999999999979
3480000,-5.416666666666643
3520000,-7.083333333333315
3560000,-6.2499999999999725
3600000,-4.999999999999976
3640000,-5.41666666666665
3680000,-3.3333333333333086
3720000,-2.083333333333314
3760000,-2.0833333333333117
3800000,-3.3333333333333077
3840000,-3.333333333333311
3880000,-7.083333333333314
3920000,-4.166666666666646
3960000,-2.499999999999975
4000000,-4.166666666666647
4040000,-3.749999999999975
4080000,-4.166666666666646
4120000,-4.583333333333312
4160000,-2.9166666666666443
4200000,-5.416666666666644
4240000,-3.333333333333312
4280000,-1.2499999999999782
4320000,-4.583333333333314
4360000,-2.4999999999999707
4400000,-0.8333333333333105
4440000,-3.749999999999981
4480000,-1.6666666666666394
4520000,-2.916666666666648
4560000,-0.83333333333331
4600000,-2.916666666666645
4640000,-2.0833333333333104
4680000,-1.6666666666666414
4720000,-0.8333333333333081
4760000,-1.666666666666646
4800000,-1.2499999999999751
4840000,-1.666666666666642
4880000,-0.833333333333309
4920000,2.4646951146678475e-14
4960000,-3.541666666666648
5000000,-2.4999999999999782
5040000,-0.833333333333307
5080000,-1.666666666666649
5120000,-1.249999999999974
5160000,-1.2499999999999736
5200000,0.8333333333333518
5240000,-2.0833333333333104
5280000,-1.2499999999999734
5320000,-3.333333333333316
5360000,-1.6666666666666383
5400000,-2.08333333333331
5440000,-1.6666666666666463
5480000,-1.6666666666666483
5520000,-1.249999999999973
5560000,-0.4166666666666428
5600000,2.679338232762045e-14
5640000,-0.8333333333333074
5680000,-0.4166666666666437
5720000,-0.8333333333333081
5760000,-0.4166666666666405
5800000,-2.9166666666666465
5840000,-0.4166666666666423
5880000,2.8968725566495365e-14
5920000,-0.8333333333333065
5960000,-1.249999999999977
6000000,-0.8333333333333058
6040000,2.6047451232950422e-14
6080000,-3.1249999999999774
