Timesteps,Eval/Return
40000,-19.583333333333357
80000,-20.625000000000025
120000,-20.41666666666669
160000,-24.166666666666657
200000,-24.58333333333333
240000,-26.45833333333333
280000,-18.958333333333343
320000,-17.916666666666675
360000,-19.583333333333357
400000,-19.58333333333335
440000,-20.20833333333336
480000,-19.79166666666669
520000,-23.541666666666703
560000,-18.75000000000001
600000,-18.75000000000001
640000,-22.08333333333336
680000,-20.41666666666669
720000,-23.333333333333343
760000,-20.83333333333336
800000,-25.416666666666668
840000,-20.625000000000025
880000,-19.16666666666668
920000,-20.208333333333357
960000,-24.37500000000001
1000000,-19.583333333333357
1040000,-24.166666666666668
1080000,-20.000000000000018
1120000,-20.41666666666669
1160000,-27.70833333333333
1200000,-19.79166666666669
1240000,-20.000000000000018
1280000,-19.58333333333335
1320000,-19.58333333333335
1360000,-20.41666666666669
1400000,-20.000000000000018
1440000,-20.000000000000018
1480000,-20.41666666666669
1520000,-20.41666666666669
1560000,-19.16666666666668
1600000,-21.87500000000003
1640000,-20.41666666666669
1680000,-19.16666666666668
1720000,-22.70833333333333
1760000,-20.20833333333336
1800000,-20.62500000000002
1840000,-21.250000000000018
1880000,-22.083333333333343
1920000,-20.000000000000018
1960000,-20.000000000000018
2000000,-18.75000000000001
2040000,-21.875000000000018
2080000,-19.58333333333335
2120000,-20.83333333333336
2160000,-19.375000000000018
2200000,-20.20833333333336
2240000,-18.541666666666675
2280000,-19.58333333333335
2320000,-21.87500000000003
2360000,-19.16666666666668
2400000,-19.58333333333335
2440000,-18.958333333333357
2480000,-19.375000000000018
2520000,-19.16666666666668
2560000,-19.375000000000018
2600000,-19.58333333333335
2640000,-18.958333333333343
2680000,-17.500000000000004
2720000,-19.16666666666668
2760000,-20.625000000000025
2800000,-20.000000000000018
2840000,-17.70833333333334
2880000,-20.000000000000018
2920000,-20.41666666666669
2960000,-19.375000000000007
3000000,-19.16666666666669
3040000,-18.75000000000001
3080000,-18.125000000000007
3120000,-18.333333333333343
3160000,-20.000000000000018
3200000,-20.62500000000001
3240000,-23.541666666666657
3280000,-18.75000000000001
3320000,-19.583333333333357
3360000,-19.37500000000001
3400000,-19.58333333333336
3440000,-20.41666666666669
3480000,-19.58333333333336
3520000,-20.000000000000025
3560000,-17.08333333333334
3600000,-18.958333333333343
3640000,-19.16666666666669
3680000,-20.625000000000032
3720000,-20.625000000000018
3760000,-18.95833333333335
3800000,-20.208333333333357
3840000,-17.916666666666682
3880000,-16.875000000000007
3920000,-18.12500000000001
3960000,-19.375000000000018
4000000,-17.708333333333346
4040000,-18.958333333333357
4080000,-18.333333333333343
4120000,-21.666666666666675
4160000,-17.708333333333346
4200000,-18.750000000000018
4240000,-19.37500000000001
4280000,-17.916666666666675
4320000,-19.375000000000018
4360000,-19.37500000000001
4400000,-16.250000000000004
4440000,-21.041666666666693
4480000,-19.583333333333357
4520000,-19.583333333333357
4560000,-17.708333333333346
4600000,-21.250000000000018
4640000,-19.166666666666693
4680000,-17.291666666666675
4720000,-19.16666666666668
4760000,-16.250000000000004
4800000,-18.12500000000001
4840000,-21.04166666666669
4880000,-20.625000000000018
4920000,-18.750000000000004
4960000,-18.12500000000001
5000000,-18.333333333333343
5040000,-18.333333333333343
5080000,-16.25000000000001
5120000,-21.458333333333325
5160000,-20.20833333333333
5200000,-18.54166666666668
5240000,-20.20833333333336
5280000,-19.583333333333357
5320000,-19.375000000000025
5360000,-19.58333333333336
5400000,-18.750000000000025
5440000,-17.50000000000001
5480000,-18.12500000000001
5520000,-22.083333333333357
5560000,-18.95833333333335
5600000,-17.291666666666675
5640000,-16.66666666666667
5680000,-20.62499999999999
5720000,-25.62500000000001
5760000,-18.75000000000001
5800000,-16.249999999999996
5840000,-17.083333333333353
5880000,-18.54166666666668
5920000,-18.54166666666669
5960000,-17.916666666666675
6000000,-14.583333333333329
6040000,-17.916666666666675
6080000,-19.79166666666669
