Timesteps,Eval/Return
40000,-19.37500000000003
80000,-20.62500000000005
120000,-21.0416666666667
160000,-19.166666666666696
200000,-19.583333333333357
240000,-20.625000000000032
280000,-19.791666666666696
320000,-20.41666666666669
360000,-19.16666666666669
400000,-18.958333333333357
440000,-20.41666666666669
480000,-20.4166666666667
520000,-20.62500000000003
560000,-21.25000000000005
600000,-18.125000000000018
640000,-19.16666666666668
680000,-19.16666666666669
720000,-21.458333333333368
760000,-19.79166666666669
800000,-22.916666666666703
840000,-19.375000000000025
880000,-19.583333333333357
920000,-22.916666666666696
960000,-20.83333333333336
1000000,-20.000000000000025
1040000,-20.20833333333336
1080000,-26.25000000000001
1120000,-20.208333333333357
1160000,-18.958333333333343
1200000,-17.708333333333343
1240000,-20.625000000000018
1280000,-23.541666666666657
1320000,-20.41666666666669
1360000,-20.20833333333334
1400000,-19.375000000000018
1440000,-20.625000000000025
1480000,-20.833333333333368
1520000,-22.50000000000001
1560000,-21.041666666666703
1600000,-19.16666666666668
1640000,-19.791666666666693
1680000,-21.250000000000032
1720000,-19.375000000000018
1760000,-20.20833333333336
1800000,-20.62500000000003
1840000,-19.583333333333357
1880000,-19.375000000000018
1920000,-20.625000000000032
1960000,-19.79166666666668
2000000,-20.208333333333357
2040000,-20.20833333333336
2080000,-19.58333333333335
2120000,-27.083333333333343
2160000,-18.95833333333335
2200000,-20.833333333333357
2240000,-18.750000000000025
2280000,-19.16666666666669
2320000,-20.20833333333336
2360000,-19.16666666666669
2400000,-18.541666666666675
2440000,-20.208333333333357
2480000,-18.75000000000001
2520000,-18.54166666666668
2560000,-17.708333333333343
2600000,-21.250000000000032
2640000,-19.79166666666669
2680000,-19.16666666666668
2720000,-20.416666666666693
2760000,-18.333333333333343
2800000,-20.208333333333357
2840000,-19.79166666666669
2880000,-18.333333333333343
2920000,-20.20833333333336
2960000,-19.16666666666668
3000000,-17.708333333333343
3040000,-18.750000000000018
3080000,-18.54166666666668
3120000,-20.000000000000018
3160000,-18.333333333333343
3200000,-19.79166666666669
3240000,-19.16666666666668
3280000,-17.91666666666668
3320000,-19.58333333333336
3360000,-25.208333333333325
3400000,-19.16666666666668
3440000,-19.16666666666668
3480000,-18.12500000000001
3520000,-19.16666666666669
3560000,-19.583333333333357
3600000,-18.75000000000002
3640000,-17.08333333333334
3680000,-18.54166666666668
3720000,-18.54166666666669
3760000,-19.79166666666669
3800000,-18.125000000000018
3840000,-16.875000000000004
3880000,-18.12500000000001
3920000,-18.750000000000018
3960000,-19.16666666666669
4000000,-19.58333333333336
4040000,-19.16666666666668
4080000,-18.958333333333357
4120000,-17.29166666666667
4160000,-16.875000000000004
4200000,-17.500000000000004
4240000,-20.416666666666696
4280000,-17.291666666666675
4320000,-17.916666666666682
4360000,-18.750000000000018
4400000,-19.375000000000025
4440000,-18.54166666666668
4480000,-19.58333333333336
4520000,-20.833333333333357
4560000,-19.79166666666669
4600000,-21.45833333333334
4640000,-19.375000000000025
