Timesteps,Eval/Return
40000,-29.375000000000085
80000,-9.791666666666671
119976,-7.083333333333329
159976,-0.2083333333333175
199976,-4.374999999999976
239914,-11.249999999999986
279860,-14.583333333333329
319860,-14.58333333333333
359860,-15.416666666666664
399776,-14.166666666666655
439776,-14.583333333333329
479700,-16.666666666666668
519641,-16.25
559565,-17.708333333333346
599509,-18.333333333333343
639462,-17.083333333333343
679462,-16.25
719312,-17.08333333333334
759193,-17.916666666666675
799064,-18.75000000000001
839042,-17.08333333333334
878929,-16.66666666666667
918843,-19.16666666666668
958789,-18.75000000000001
998637,-17.08333333333334
1038501,-16.666666666666668
1078395,-17.916666666666675
1118346,-17.500000000000004
1158212,-16.66666666666667
1198161,-19.58333333333335
1238044,-17.916666666666675
1277755,-18.75000000000001
1317673,-19.58333333333335
1357499,-18.75000000000001
1397482,-18.75000000000001
1437461,-17.916666666666675
1477363,-17.08333333333334
1517101,-15.83333333333333
1556648,-18.75000000000001
1596470,-17.916666666666675
1636230,-19.16666666666668
1675949,-19.16666666666668
1715777,-16.66666666666667
1755688,-16.666666666666675
1795531,-17.08333333333334
1835455,-17.500000000000007
1875400,-17.916666666666675
1915134,-17.083333333333336
1954833,-18.333333333333343
1994756,-17.916666666666675
2034644,-16.666666666666668
2074557,-17.916666666666675
2114331,-17.083333333333336
2154010,-15.833333333333329
2193675,-18.54166666666668
2233499,-19.58333333333335
2273446,-18.333333333333343
2313281,-17.08333333333334
2353187,-17.08333333333334
2393096,-16.25
2432902,-14.166666666666655
2472686,-14.999999999999998
2512480,-13.749999999999988
2552367,-15.0
2592179,-12.91666666666666
2632122,-12.083333333333323
2672077,-12.916666666666655
2712027,-12.08333333333332
2751982,-10.833333333333323
2791937,-10.833333333333313
2831611,-10.833333333333323
2871590,-9.583333333333313
2911575,-9.166666666666652
2951264,-8.124999999999977
2991197,-4.583333333333307
3030987,-0.416666666666639
3070862,-4.999999999999969
3110836,-3.749999999999976
3150781,-3.333333333333311
3190675,-1.6666666666666383
3230672,-2.083333333333308
3270509,1.5395092608135503e-14
3310384,-0.4166666666666416
3350266,-0.8333333333333156
3390262,-0.4166666666666496
3430114,1.2500000000000122
3470097,2.083333333333355
3510097,0.8333333333333416
3549851,1.6666666666666876
3589739,1.2500000000000016
3629731,0.8333333333333521
3669622,-0.8333333333333138
3709554,1.250000000000013
3749486,4.166666666666656
3789366,4.166666666666649
3829366,0.8333333333333393
3869366,2.500000000000002
3909357,-0.4166666666666518
3949357,0.4166666666666872
3989334,4.166666666666683
4029334,4.5833333333333295
4069334,4.166666666666636
4109285,6.249999999999974
4149250,4.583333333333305
4189134,6.666666666666635
4229134,6.249999999999983
4269127,4.583333333333299
4309030,8.333333333333297
4348920,4.166666666666662
4388920,5.416666666666647
4428855,4.5833333333333135
4468834,6.2499999999999645
4508834,6.666666666666624
4548807,6.666666666666656
4588807,7.083333333333289
4628807,8.749999999999936
4668786,7.916666666666632
4708786,5.41666666666663
4748744,4.999999999999985
4788744,7.916666666666618
4828740,5.833333333333289
4868740,6.666666666666603
4908740,9.583333333333249
4948591,7.916666666666593
4988591,9.166666666666616
5028591,6.666666666666628
5068444,6.666666666666618
5108326,6.666666666666629
5148258,4.99999999999997
5188258,8.749999999999915
5228022,7.083333333333276
5268001,7.08333333333329
5307838,7.083333333333283
5347807,7.499999999999957
5387807,8.333333333333284
5427803,6.666666666666619
5467687,9.583333333333256
5507571,7.916666666666604
5547539,7.083333333333271
5587492,8.749999999999932
5627492,7.083333333333265
5667492,9.1666666666666
5707492,7.083333333333267
5747436,7.916666666666589
5787436,7.083333333333293
5827415,9.583333333333249
5867415,9.166666666666602
5907415,8.333333333333256
5947415,7.916666666666607
5987386,6.666666666666626
6027300,7.70833333333328
6067300,8.33333333333325
6107186,9.58333333333326
6147093,8.33333333333328
6187093,8.333333333333261
6227068,9.166666666666588
6266956,7.916666666666575
6306871,8.333333333333263
6346858,7.916666666666605
6386722,8.333333333333266
6426675,8.749999999999917
6466659,9.166666666666575
6506642,7.916666666666605
6546554,8.749999999999899
6586554,8.749999999999917
6626521,7.083333333333269
6666474,7.916666666666596
6706352,8.749999999999917
6746352,9.999999999999911
6786352,8.749999999999927
6826352,8.749999999999897
6866352,8.333333333333252
6906238,8.749999999999917
6946238,8.333333333333256
6986130,8.749999999999915
7026110,9.166666666666572
7066110,7.916666666666579
7105971,7.083333333333267
7145877,9.583333333333249
7185772,9.583333333333233
7225631,6.249999999999921
7265549,8.333333333333245
7305463,9.166666666666565
7345463,8.333333333333258
7385463,8.333333333333249
7425347,8.749999999999888
7465300,8.749999999999929
7505279,9.16666666666658
7545279,7.499999999999933
7585212,8.749999999999892
7625174,8.749999999999913
7665090,7.916666666666579
7704942,8.333333333333242
7744862,8.333333333333243
7784862,7.291666666666571
7824759,9.166666666666554
7864603,7.083333333333241
7904589,8.749999999999927
7944517,9.583333333333242
7984337,9.166666666666565
8024127,9.166666666666574
8064043,9.166666666666544
8103949,8.333333333333245
8143949,9.166666666666565
8183839,9.166666666666558
8223839,9.166666666666556
8263815,9.166666666666574
8303794,8.333333333333231
8343794,7.91666666666656
8383696,7.916666666666592
8423619,9.583333333333227
8463539,8.749999999999902
8503539,8.33333333333323
8543499,9.999999999999885
8583379,8.749999999999902
8623280,8.333333333333224
8663262,8.333333333333247
8703262,9.16666666666657
8743262,9.999999999999874
8783162,9.583333333333238
8823114,9.16666666666656
8863100,7.916666666666561
8903100,8.333333333333234
8943100,8.333333333333227
8982952,9.166666666666552
9022952,9.999999999999888
9062839,9.999999999999872
9102839,9.583333333333211
9142766,9.58333333333321
9182766,8.541666666666556
9222497,9.5833333333332
9262450,9.374999999999892
9302328,8.749999999999888
9342328,6.666666666666596
9382248,8.7499999999999
9422248,9.583333333333233
9462237,9.58333333333321
9502237,9.166666666666544
9542237,9.583333333333208
9582237,8.749999999999902
9622143,8.333333333333224
9662045,9.16666666666656
9702045,9.166666666666565
9742004,8.749999999999908
9781891,9.166666666666536
9821819,8.333333333333249
9861819,9.166666666666542
9901756,9.583333333333217
9941756,9.583333333333195
9981756,9.583333333333211
10021684,9.166666666666542
10061615,9.999999999999863
10101603,9.99999999999986
10141592,9.999999999999872
10181402,7.499999999999904
10221313,8.749999999999895
10261244,8.333333333333215
10301238,9.583333333333202
10341238,9.166666666666549
10381145,9.583333333333211
10421145,10.2083333333332
10460992,7.916666666666578
10500992,9.166666666666538
10540952,9.583333333333211
10580829,7.499999999999905
10620712,9.583333333333217
10660618,7.91666666666655
10700429,8.749999999999886
10740429,8.333333333333222
10780429,8.749999999999881
10820429,7.499999999999896
10860429,9.166666666666536
10900341,8.749999999999874
10940341,9.166666666666536
10980341,9.166666666666538
11020303,8.749999999999867
11060303,9.999999999999863
11100263,8.749999999999876
11140246,8.749999999999877
11180246,9.166666666666538
11220246,8.749999999999874
11260246,9.5833333333332
11300133,9.166666666666542
11340069,7.916666666666548
11379987,9.583333333333202
11419877,9.583333333333208
11459877,9.166666666666536
11499877,9.99999999999986
11539820,9.166666666666538
11579820,9.99999999999987
11619820,7.91666666666655
11659820,9.999999999999856
11699708,9.99999999999986
11739708,8.541666666666544
11779557,9.583333333333194
11819539,9.166666666666549
11859539,9.999999999999863
11899539,9.99999999999986
11939539,9.5833333333332
11979376,9.999999999999853
12019344,9.374999999999872
12059282,9.583333333333195
12099268,9.99999999999986
12139268,9.583333333333206
12179204,9.999999999999853
12219204,10.208333333333192
12259086,8.541666666666531
12299086,9.5833333333332
12339036,9.999999999999856
12379036,10.41666666666651
12418918,9.999999999999858
12458915,9.16666666666654
12498798,26.86666666666655
12538471,14.999999999999847
12578244,18.333333333333147
12617899,16.24999999999982
12657847,16.458333333333144
12697696,15.833333333333169
12737473,16.666666666666497
12777379,18.124999999999822
12817165,18.333333333333176
12856725,14.5833333333332
12896480,37.97083333333317
12936205,21.87499999999983
12975855,24.58333333333313
13015311,19.79166666666648
13054894,23.333333333333155
13094869,32.283333333333125
13134230,23.7499999999998
13174014,16.45833333333316
13213523,34.55833333333312
13253169,19.166666666666504
13292739,27.083333333333115
13332238,24.583333333333105
13371871,23.749999999999773
13411078,25.833333333333105
13450259,22.083333333333115
13489571,24.166666666666465
13529437,30.624999999999773
13568924,23.95833333333313
13608451,31.66666666666642
13647589,28.54166666666643
13687203,33.54166666666643
13726897,29.999999999999773
13766108,36.04166666666642
13805666,25.208333333333105
13845488,34.79166666666643
13885186,36.12499999999978
13924949,33.54166666666642
13964745,39.16666666666642
14004603,33.3333333333331
14044226,34.79166666666641
14083558,32.91666666666643
14123189,32.083333333333094
14162809,36.45833333333309
14202320,34.37499999999978
14242184,34.583333333333094
14281993,32.49999999999975
14321652,34.99999999999975
14361375,36.66666666666642
14401182,38.9583333333331
14440681,27.49999999999979
14480550,33.12499999999978
14520377,38.33333333333311
14560089,39.16666666666647
14599972,38.54166666666642
14639892,47.08333333333312
14679591,35.20833333333311
14719390,38.749999999999766
14759180,35.20833333333308
14798845,32.91666666666643
14838691,37.08333333333309
14878493,31.24999999999977
14918063,28.33333333333313
14957728,44.3583333333331
14997137,35.41666666666642
15036682,31.24999999999976
15076111,35.62499999999975
15116066,41.87499999999975
15155744,34.16666666666641
15195527,33.12499999999975
15235377,33.95833333333311
15275076,33.95833333333308
15314925,36.45833333333308
15354533,36.45833333333309
15394298,33.95833333333312
15434204,42.49999999999978
15473922,36.87499999999975
15513690,42.08333333333309
15553369,36.874999999999744
15593058,41.66666666666642
15632733,39.37499999999978
15672525,37.29166666666641
15712303,30.62499999999976
15752169,35.62499999999975
15791885,36.66666666666644
15831465,41.87499999999978
15871290,38.749999999999766
15911011,36.874999999999766
15950646,38.124999999999766
15990455,33.54166666666644
16030106,33.74999999999975
16069452,33.749999999999744
16108714,36.249999999999744
16148515,44.21666666666641
16187374,37.29166666666642
16226801,50.158333333333104
16265900,41.52083333333309
16305627,44.654166666666434
16345355,36.249999999999744
16384812,42.658333333333104
16424566,38.54166666666641
16464321,39.37499999999976
16503970,38.12499999999978
16543377,39.16666666666645
16582873,39.79166666666644
16622450,46.28749999999975
16662210,39.999999999999766
16701635,38.54166666666644
16740824,31.24999999999977
16779786,37.08333333333309
16819314,32.708333333333094
16858685,65.8759999999998
16897979,36.87499999999975
16937638,38.95833333333309
16977079,48.29166666666644
17016945,51.23749999999976
17056441,43.27499999999978
17095995,54.82916666666642
17135134,38.12499999999977
17175055,46.26249999999976
17214276,36.45833333333308
17253374,56.72916666666642
17292916,40.41666666666642
17332676,48.999999999999794
17372291,49.29166666666643
17412146,35.624999999999794
17451872,61.158333333333125
17491649,54.224999999999774
17531137,46.09999999999975
17569601,49.16249999999977
17609242,45.779166666666434
17648005,69.5416666666665
17686115,32.708333333333094
17725607,24.9999999999998
17765520,29.583333333333115
17804569,59.70833333333311
17843445,61.641666666666445
17882517,81.01999999999981
17921374,62.44999999999974
17960598,79.4599999999998
17998725,88.71999999999977
18037507,83.9999999999998
18075321,65.12083333333314
18113816,78.56499999999981
18152647,86.89999999999982
18190745,96.3999999999998
18228402,64.16666666666647
18267105,87.06499999999981
18304984,123.1549999999998
18342127,106.6849999999998
18380113,89.52999999999979
18417522,67.21666666666646
18455394,80.19499999999981
18493573,88.25999999999979
18531936,65.44999999999978
18569931,49.84166666666644
18608456,97.18499999999982
18646057,67.51666666666644
18684612,104.3949999999998
18722577,100.32380952380936
18759187,107.85499999999982
18796889,144.68499999999983
18834533,152.6849999999999
18870767,106.5349999999998
18907155,105.8249999999998
18944814,56.64583333333314
18984040,46.3874999999998
19023219,54.529166666666434
19061974,74.50833333333316
19100111,71.02999999999977
19136351,147.9499999999998
19171468,139.0049999999998
19207739,84.46999999999983
19242939,142.4149999999998
19276329,155.16499999999988
19308522,175.21999999999983
19340179,196.56999999999985
19372908,139.12499999999986
19408788,110.8799999999998
19443860,205.19999999999987
19478509,136.20999999999984
19512286,182.53499999999983
19546961,184.58499999999987
19581590,129.79999999999987
19616142,120.4299999999998
19649052,165.63999999999987
19683552,161.17999999999986
19717803,136.22999999999988
19751374,119.06499999999984
19784702,171.64499999999984
19816334,168.88999999999982
19851504,139.80999999999983
19887874,142.48499999999984
19923155,161.82499999999985
19957968,153.79499999999987
19991819,137.05999999999983
20027403,156.57499999999987
20060111,186.75499999999997
20091430,182.97499999999985
20122317,187.2799999999999
20152527,134.8149999999998
20185353,173.04999999999987
20217614,182.54999999999987
20244481,155.4299999999998
20273662,168.01499999999987
20301726,167.16499999999994
20330716,204.21999999999983
20363148,183.5849999999999
20394498,162.2499999999999
20424816,208.72499999999985
20454126,178.7649999999999
20485834,156.11999999999992
20517923,172.59499999999986
20546890,221.82999999999987
20574585,183.5999999999999
20600091,199.1099999999999
20626302,160.29999999999987
20654260,199.70499999999987
20684203,200.95999999999992
20712160,158.08499999999987
20744026,183.82499999999985
20774913,99.59999999999988
20808154,160.60499999999982
20839906,185.59499999999983
20872962,173.5249999999998
20902292,186.0399999999999
20930397,171.51999999999987
20959199,181.44999999999987
