Timesteps,Eval/Return
2000,-20.75000000000003
42000,-21.25000000000002
82000,-16.5
122000,-18.50000000000001
162000,-24.500000000000053
202000,-20.000000000000007
242000,-19.25000000000001
282000,-10.49999999999998
322000,-18.000000000000032
362000,-12.24999999999998
402000,-20.25000000000001
442000,-20.00000000000001
482000,-23.25000000000005
522000,-20.750000000000025
562000,-16.750000000000007
602000,-16.999999999999996
642000,-20.00000000000001
682000,-18.00000000000003
722000,-20.00000000000001
762000,-22.750000000000043
802000,-20.750000000000018
842000,-17.5
882000,-20.75000000000002
922000,-22.750000000000057
962000,-21.75000000000004
1002000,-16.499999999999993
1042000,-16.999999999999996
1082000,-18.25000000000001
1122000,-19.00000000000001
1162000,-18.000000000000004
1202000,-19.00000000000001
1242000,-20.000000000000018
1282000,-20.00000000000001
1322000,-20.75000000000003
1362000,-19.000000000000007
1402000,-20.00000000000001
1442000,-19.000000000000007
1482000,-21.000000000000025
1522000,-18.75000000000001
1562000,-20.50000000000002
1602000,-20.500000000000018
1642000,-20.00000000000001
1682000,-20.00000000000001
1722000,-20.00000000000001
1762000,-20.50000000000001
1802000,-20.00000000000001
1842000,-20.250000000000018
1882000,-20.25000000000001
1922000,-21.75000000000004
1962000,-20.50000000000002
2002000,-19.500000000000007
2042000,-20.500000000000018
2082000,-18.50000000000001
2122000,-20.00000000000001
2162000,-18.250000000000007
2202000,-19.25000000000001
2242000,-16.5
2282000,-20.25000000000001
2322000,-20.750000000000018
2362000,-19.50000000000001
2402000,-18.0
2442000,-20.00000000000001
2482000,-21.50000000000003
2522000,-20.00000000000001
2562000,-15.999999999999996
2602000,-20.250000000000018
2642000,-20.00000000000001
2682000,-20.00000000000001
2722000,-19.50000000000001
2762000,-20.25000000000001
2802000,-20.00000000000001
2842000,-19.000000000000007
2882000,-15.49999999999999
2922000,-20.00000000000001
2962000,-20.25000000000001
3002000,-24.75000000000004
3042000,-19.500000000000007
3082000,-19.000000000000007
3122000,-20.75000000000002
3162000,-19.500000000000007
3202000,-19.750000000000007
3242000,-19.50000000000001
3282000,-28.250000000000075
3322000,-20.00000000000001
3362000,-20.00000000000001
3402000,-20.50000000000002
3442000,-20.25000000000001
3482000,-20.00000000000001
3522000,-20.00000000000001
3562000,-20.25000000000001
3602000,-19.500000000000007
3642000,-17.5
3682000,-17.250000000000007
3722000,-20.250000000000018
3762000,-18.500000000000007
3802000,-14.49999999999999
3842000,-19.50000000000001
3882000,-20.00000000000001
3922000,-18.000000000000004
3962000,-22.00000000000004
4002000,-19.000000000000007
4042000,-19.50000000000001
4082000,-13.49999999999999
4122000,-20.00000000000001
4162000,-19.500000000000007
4202000,-20.00000000000001
4242000,-17.250000000000007
4282000,-16.499999999999993
4322000,-15.499999999999991
4362000,-15.999999999999996
4402000,-21.25000000000003
4442000,-18.500000000000007
4482000,-11.49999999999998
4522000,-20.00000000000001
4562000,-19.750000000000007
4602000,-13.999999999999986
4642000,-20.00000000000001
4682000,-14.999999999999991
4722000,-15.749999999999996
4762000,-22.00000000000005
4802000,-15.999999999999991
4842000,-16.500000000000007
4882000,-19.25000000000001
4922000,-11.499999999999988
4962000,-25.000000000000057
5002000,-18.000000000000007
5042000,-19.500000000000018
5082000,-20.250000000000018
5122000,-14.999999999999996
5162000,-23.00000000000005
5202000,-11.499999999999972
5242000,-10.499999999999975
5282000,-16.999999999999996
5322000,-15.749999999999996
5362000,-21.000000000000025
5402000,-20.00000000000001
5442000,-21.50000000000003
5482000,-16.999999999999993
5522000,-9.99999999999998
5562000,-12.999999999999982
5602000,-14.999999999999991
5642000,-19.50000000000001
5682000,-14.999999999999991
5722000,-18.75
5762000,-52.2499999999999
5802000,-18.50000000000003
5842000,-14.749999999999986
5882000,-18.000000000000004
5922000,-17.25
5962000,-33.50000000000009
6002000,-19.50000000000001
6042000,-19.25000000000001
6082000,-18.25
6122000,-14.750000000000004
6162000,-13.999999999999982
6202000,-16.75
6242000,-18.750000000000007
6282000,-19.500000000000007
6322000,-19.500000000000007
6362000,-20.00000000000001
6402000,-15.49999999999999
6442000,-22.75000000000005
6482000,-9.749999999999975
6522000,-17.75
6562000,-20.00000000000001
6602000,-16.000000000000007
6642000,-20.250000000000018
6682000,-17.50000000000001
6722000,-14.49999999999999
6762000,-16.749999999999993
6802000,-15.999999999999996
6842000,-10.999999999999988
6882000,-40.25000000000004
6922000,-14.500000000000009
6962000,-16.999999999999996
7002000,-18.000000000000004
7042000,-20.00000000000001
7082000,-15.749999999999996
7122000,-16.499999999999993
7162000,-15.249999999999991
7202000,-17.000000000000014
7242000,-24.000000000000043
7282000,-18.25000000000002
7322000,-17.75000000000001
7362000,-18.000000000000004
7402000,-20.50000000000001
7442000,-14.999999999999991
7482000,-18.250000000000007
7522000,-13.249999999999986
7562000,-16.499999999999993
7602000,-21.00000000000002
7642000,-19.500000000000007
7682000,-19.500000000000007
7722000,-13.999999999999996
7762000,-11.999999999999991
7802000,-17.500000000000004
7842000,-18.250000000000007
7882000,-18.500000000000018
7922000,-26.250000000000064
7962000,-67.49999999999993
8002000,-20.50000000000001
8042000,-14.749999999999986
8082000,-15.499999999999996
8122000,-14.999999999999996
8162000,-13.999999999999991
8202000,-19.500000000000007
8242000,-20.75000000000004
8282000,-16.750000000000018
8322000,-19.500000000000007
8362000,-19.50000000000002
8402000,-19.250000000000007
8442000,-18.0
8482000,-10.249999999999991
8522000,-13.99999999999999
8562000,-18.250000000000007
8602000,-15.999999999999996
8642000,-9.999999999999966
8682000,-13.99999999999999
8722000,-16.249999999999993
8762000,-17.75
8802000,-15.999999999999996
8842000,-17.25
8882000,-9.749999999999975
8922000,-11.249999999999982
8962000,-11.999999999999988
9002000,-23.00000000000004
9042000,-11.499999999999975
9082000,-21.00000000000004
9122000,-14.499999999999986
9162000,-6.749999999999972
9202000,-16.499999999999996
9242000,-17.750000000000004
9282000,-17.0
9322000,-16.25
9362000,-13.499999999999996
9402000,-10.74999999999999
9442000,-18.000000000000007
9482000,-12.249999999999982
9522000,-11.249999999999982
9562000,-16.5
9602000,-16.5
9642000,-14.499999999999996
9682000,-20.00000000000001
9722000,-20.500000000000018
9762000,-17.00000000000001
9802000,-17.499999999999996
9842000,-14.999999999999986
9882000,-15.749999999999996
9922000,-15.24999999999999
9962000,-16.999999999999996
10002000,-11.999999999999986
10042000,-16.999999999999996
10082000,-13.99999999999999
10122000,-12.749999999999984
10162000,-17.75
10202000,-13.99999999999999
10242000,-16.75
10282000,-57.24999999999983
10322000,-20.000000000000018
10362000,-20.00000000000001
10402000,-14.499999999999996
10442000,-11.99999999999998
10482000,-17.750000000000004
10522000,-18.0
10562000,-19.000000000000007
10602000,-11.999999999999991
10642000,-14.74999999999999
10682000,-14.749999999999991
10722000,-19.50000000000001
10762000,-15.499999999999991
10802000,-15.999999999999996
10842000,-16.5
10882000,-19.000000000000004
10922000,-16.250000000000018
10962000,-18.000000000000014
11002000,-40.24999999999999
11042000,-16.749999999999993
11082000,-11.999999999999982
11122000,-16.500000000000007
11162000,-17.000000000000004
11202000,-15.749999999999991
11242000,-19.75000000000002
11282000,-8.999999999999973
11322000,-14.000000000000009
11362000,-14.99999999999999
11402000,-15.5
11442000,-16.499999999999996
11482000,-14.99999999999999
11522000,-18.500000000000007
11562000,-17.250000000000004
11602000,-20.500000000000043
11642000,-14.499999999999996
11682000,-11.499999999999982
11722000,-14.49999999999999
11762000,-12.499999999999982
11802000,-17.50000000000002
11842000,-15.499999999999996
11882000,-14.499999999999996
11922000,-6.499999999999986
11962000,-20.000000000000018
12002000,-29.750000000000057
12042000,-10.999999999999975
12082000,-16.249999999999993
12122000,-12.499999999999996
12162000,-19.00000000000001
12202000,-17.0
12242000,-25.25000000000005
12282000,-12.999999999999986
12322000,-18.500000000000007
12362000,-39.0
12402000,-16.00000000000001
12442000,-20.25000000000001
12482000,-10.74999999999999
12522000,-14.5
12562000,-13.999999999999996
12602000,-13.749999999999996
12642000,-9.74999999999999
12682000,-9.749999999999982
12722000,-12.999999999999975
12762000,-15.999999999999996
12802000,-10.249999999999975
12842000,-12.249999999999991
12882000,-20.75000000000004
12922000,-8.999999999999975
12962000,-33.49999999999993
13002000,-16.499999999999993
13042000,-16.499999999999993
13082000,-18.75000000000003
13122000,-17.500000000000007
13162000,-11.999999999999982
13202000,-17.250000000000018
13242000,-6.499999999999973
13282000,-10.749999999999996
13322000,-15.250000000000004
13362000,-13.49999999999998
13402000,-7.249999999999972
13442000,-16.499999999999996
13482000,-14.5
13522000,-5.249999999999972
13562000,-17.500000000000014
13602000,-14.999999999999996
13642000,-15.999999999999996
13682000,-15.999999999999996
13722000,-19.000000000000007
13762000,-18.750000000000007
13802000,-15.499999999999991
13842000,-10.499999999999982
13882000,-12.249999999999982
13922000,-10.499999999999975
13962000,-21.50000000000005
14002000,-22.50000000000004
14042000,-11.999999999999984
14082000,-19.50000000000001
14122000,-20.00000000000002
14162000,-10.49999999999999
14202000,-34.99999999999996
14242000,-14.749999999999991
14282000,-17.750000000000004
14322000,-18.500000000000007
14362000,-38.25000000000004
14402000,-21.250000000000025
14442000,-14.499999999999996
14482000,-19.75000000000001
14522000,-13.999999999999996
14562000,-13.74999999999999
14602000,-13.500000000000009
14642000,-17.000000000000007
14682000,-17.25000000000001
14722000,-18.750000000000007
14762000,-14.999999999999996
14802000,-19.50000000000001
14842000,-34.25000000000004
14882000,-4.249999999999976
14922000,-18.000000000000007
14962000,-18.500000000000007
15002000,-16.250000000000007
15042000,-16.500000000000004
15082000,-12.49999999999998
15122000,-17.75000000000001
15162000,-24.000000000000064
15202000,-13.249999999999986
15242000,-12.999999999999986
15282000,-13.999999999999996
15322000,-8.49999999999998
15362000,-21.75000000000002
15402000,-15.49999999999999
15442000,-15.499999999999996
15482000,-14.249999999999996
15522000,-16.000000000000007
15562000,-22.25000000000002
15602000,-18.000000000000004
15642000,-7.999999999999974
15682000,-16.500000000000014
15722000,-12.24999999999999
15762000,-16.500000000000004
15802000,-15.249999999999996
15842000,-11.999999999999975
15882000,-30.749999999999964
15922000,-16.0
15962000,-14.99999999999999
16002000,-13.499999999999982
16042000,-16.500000000000007
16082000,-8.49999999999999
16122000,-20.75000000000003
16162000,-12.49999999999998
16202000,-6.499999999999977
16242000,-13.99999999999998
16282000,-13.49999999999999
16322000,-15.250000000000004
16362000,-14.499999999999986
16402000,-16.999999999999996
16442000,-16.5
16482000,-15.49999999999999
16522000,-12.999999999999991
16562000,-15.749999999999996
16602000,-15.00000000000002
16642000,-14.499999999999986
16682000,-14.999999999999996
16722000,-21.50000000000003
16762000,-15.999999999999996
16802000,-13.499999999999982
16842000,-17.250000000000007
16882000,-15.49999999999999
16922000,-19.25000000000001
16962000,-17.5
17002000,-14.99999999999999
17042000,-13.749999999999996
17082000,-15.749999999999996
17122000,-7.499999999999974
17162000,-13.999999999999991
17202000,-15.499999999999986
17242000,-12.499999999999975
17282000,-11.49999999999998
17322000,-19.75000000000001
17362000,-11.499999999999975
17402000,-5.99999999999997
17442000,-15.499999999999991
17482000,-11.499999999999975
17522000,-14.499999999999986
17562000,-16.249999999999993
17602000,-11.499999999999982
17642000,-13.749999999999991
17682000,-11.99999999999998
17722000,-15.499999999999996
17762000,-8.49999999999998
17802000,-14.99999999999999
17842000,-24.50000000000005
17882000,-18.25000000000002
17922000,-14.499999999999996
17962000,-10.999999999999975
18002000,-13.24999999999998
18042000,-13.49999999999999
18082000,-14.24999999999999
18122000,-23.25000000000005
18162000,-13.749999999999996
18202000,-14.249999999999991
18242000,-12.99999999999999
18282000,-15.499999999999996
18322000,-14.75
18362000,-17.500000000000007
18402000,-15.750000000000009
18442000,-15.000000000000004
18482000,-14.249999999999996
18522000,-8.999999999999975
18562000,-15.99999999999999
18602000,-13.000000000000004
18642000,-38.50000000000007
18682000,-19.50000000000001
18722000,-41.25000000000001
18762000,-14.499999999999986
18802000,-15.99999999999999
18842000,-13.74999999999999
18882000,-15.999999999999991
18922000,-18.000000000000007
18962000,-17.750000000000007
19002000,-19.250000000000025
19042000,-17.500000000000004
19082000,-10.999999999999984
19122000,-4.249999999999977
19162000,-15.0
19202000,-13.249999999999996
19242000,-13.499999999999982
19282000,-14.749999999999996
19322000,-21.75000000000003
19362000,-8.249999999999972
19402000,-4.749999999999973
19442000,-16.749999999999996
19482000,-16.000000000000004
19522000,-12.749999999999988
19562000,-13.999999999999996
19602000,-13.749999999999982
19642000,-12.999999999999996
19682000,-12.249999999999975
19722000,-14.999999999999996
19762000,-8.49999999999998
19802000,-14.49999999999999
19842000,-6.499999999999976
19882000,-14.24999999999999
19922000,-13.499999999999982
19962000,-17.0
20002000,-19.750000000000018
20042000,-11.499999999999986
20082000,-4.49999999999997
20122000,-11.249999999999975
20162000,-15.500000000000004
20202000,-8.999999999999984
20242000,-12.749999999999996
20282000,-12.49999999999999
20322000,-19.500000000000018
20362000,-11.999999999999986
20402000,-15.749999999999996
20442000,-16.750000000000007
20482000,-13.499999999999991
20522000,-7.999999999999977
20562000,-17.75000000000003
20602000,-15.499999999999991
20642000,-13.249999999999991
20682000,-11.999999999999975
20722000,-12.249999999999975
20762000,-10.499999999999975
20802000,-12.999999999999982
20842000,-6.999999999999972
20882000,-20.00000000000001
20922000,-18.750000000000018
20962000,-5.999999999999972
21002000,-21.75000000000004
21042000,-10.999999999999972
21082000,-11.999999999999996
21122000,-17.500000000000007
21162000,-8.499999999999975
21202000,-19.00000000000001
21242000,-10.249999999999982
21282000,-14.99999999999999
21322000,-15.499999999999996
21362000,-14.999999999999996
21402000,-17.249999999999993
21442000,-13.999999999999991
21482000,-15.000000000000004
21522000,-11.499999999999988
21562000,-17.0
21602000,-18.50000000000004
21642000,-19.00000000000003
21682000,-11.499999999999975
21722000,-12.24999999999998
21762000,-12.499999999999982
21802000,-11.999999999999986
21842000,-19.250000000000018
21882000,-12.999999999999986
21922000,-13.49999999999999
21962000,-9.999999999999996
22002000,-10.24999999999997
22042000,-15.249999999999996
22082000,-13.749999999999991
22122000,-8.499999999999973
22162000,-8.24999999999997
22202000,-13.000000000000004
22242000,-8.499999999999973
22282000,-9.99999999999998
22322000,-11.99999999999998
22362000,-19.750000000000018
22402000,-16.750000000000004
22442000,-19.25000000000001
22482000,-17.75000000000002
22522000,-14.99999999999999
22562000,-20.00000000000001
22602000,-21.750000000000043
22642000,-8.499999999999972
22682000,-12.249999999999972
22722000,-11.499999999999982
22762000,-15.74999999999999
22802000,-10.999999999999975
22842000,-12.999999999999991
22882000,-14.249999999999996
22922000,-14.75
22962000,-8.749999999999979
23002000,-17.250000000000004
23042000,-10.499999999999975
23082000,-9.999999999999982
23122000,-14.49999999999999
23162000,-19.750000000000032
23202000,-16.999999999999993
23242000,-13.499999999999986
23282000,-15.999999999999996
23322000,-14.749999999999996
23362000,-20.00000000000001
23402000,-11.999999999999986
23442000,-17.750000000000007
23482000,-21.75000000000004
23522000,-14.499999999999986
23562000,-10.499999999999972
23602000,-10.499999999999982
23642000,-16.499999999999993
23682000,-14.999999999999996
23722000,-9.74999999999998
23762000,-11.499999999999975
23802000,-19.500000000000025
23842000,-14.500000000000004
23882000,-18.750000000000007
23922000,-28.999999999999982
23962000,-18.00000000000002
24002000,-11.249999999999975
24042000,-22.75000000000005
24082000,-18.250000000000007
24122000,-22.25000000000004
24162000,-14.499999999999986
24202000,-14.499999999999991
24242000,-15.74999999999999
24282000,-9.999999999999975
24322000,-10.999999999999984
24362000,-4.749999999999973
24402000,-15.000000000000025
24442000,-29.750000000000057
24482000,-13.249999999999991
24522000,-13.249999999999986
24562000,-15.749999999999996
24602000,-15.999999999999996
24642000,-10.499999999999972
24682000,-18.50000000000002
24722000,-4.249999999999995
24762000,-9.49999999999998
24802000,-4.249999999999977
24842000,-18.500000000000004
24882000,-13.999999999999986
24922000,-14.499999999999986
24962000,-21.250000000000025
25002000,-15.75
25042000,-14.24999999999999
25082000,-15.999999999999996
25122000,-12.499999999999984
25162000,-10.999999999999988
25202000,-9.499999999999972
25242000,-12.249999999999986
25282000,-20.75000000000005
25322000,-22.00000000000004
25362000,-17.75
25402000,-14.499999999999991
25442000,-13.499999999999991
25482000,-15.249999999999996
25522000,-16.249999999999993
25562000,-11.999999999999982
25602000,-13.49999999999999
25642000,-14.99999999999999
25682000,-15.999999999999996
25722000,-15.500000000000004
25762000,-13.500000000000009
25802000,-11.499999999999986
25842000,-9.999999999999975
25882000,-19.25000000000001
25922000,-13.99999999999999
25962000,-10.749999999999982
26002000,-28.75000000000005
26042000,-10.49999999999998
26082000,-16.000000000000004
26122000,-16.499999999999993
26162000,-11.749999999999975
26202000,-11.49999999999998
26242000,-18.500000000000007
26282000,-16.000000000000018
26322000,-14.499999999999986
26362000,-8.999999999999977
26402000,-23.75000000000004
26442000,-14.99999999999999
26482000,-13.499999999999991
26522000,-15.250000000000004
26562000,-17.500000000000004
26602000,-15.499999999999996
26642000,-15.750000000000025
26682000,-18.000000000000004
26722000,-10.999999999999982
26762000,-13.249999999999986
26802000,-20.00000000000001
26842000,-9.749999999999984
26882000,-10.75000000000002
26922000,-19.500000000000018
26962000,-7.249999999999969
27002000,-9.999999999999975
27042000,-15.499999999999991
27082000,-13.249999999999996
27122000,-21.25000000000003
27162000,-14.999999999999996
27202000,-12.24999999999998
27242000,-10.99999999999999
27282000,-11.749999999999991
27322000,-10.499999999999982
27362000,-12.999999999999982
27402000,-14.499999999999996
27442000,-0.4999999999999661
27482000,-10.0
27522000,-7.999999999999974
27562000,-15.249999999999996
27602000,-17.499999999999993
27642000,-19.25000000000001
27682000,-11.999999999999986
27722000,-7.999999999999976
27762000,-9.999999999999975
27802000,-13.99999999999999
27842000,-8.49999999999997
27882000,-12.999999999999982
27922000,-14.999999999999991
27962000,-18.75000000000002
28002000,-11.99999999999999
28042000,0.5000000000000264
28082000,-19.250000000000007
28122000,-17.25
28162000,-15.749999999999996
28202000,-13.999999999999996
28242000,-9.499999999999982
28282000,-12.999999999999975
28322000,-14.749999999999996
28362000,-13.749999999999991
28402000,-32.25000000000008
28442000,-11.499999999999975
28482000,-4.999999999999968
28522000,-10.999999999999982
28562000,-18.500000000000004
28602000,-18.750000000000007
28642000,-19.50000000000002
28682000,-29.500000000000068
28722000,-17.000000000000004
28762000,-19.75000000000001
28802000,-10.99999999999999
28842000,-12.499999999999982
28882000,-15.999999999999996
28922000,-11.999999999999975
28962000,-14.499999999999996
29002000,-26.50000000000004
29042000,-20.250000000000025
29082000,-33.75000000000004
29122000,-16.499999999999993
29162000,-6.749999999999972
29202000,-10.749999999999972
29242000,-12.499999999999984
29282000,-10.999999999999982
29322000,-9.749999999999975
29362000,-16.749999999999996
29402000,-11.74999999999998
29442000,-19.000000000000007
29482000,-15.499999999999991
29522000,-11.499999999999975
29562000,-7.499999999999977
29602000,-6.999999999999973
29642000,-10.49999999999997
29682000,-13.749999999999991
29722000,-18.75000000000002
29762000,-11.499999999999982
29802000,-15.499999999999991
29842000,-15.999999999999996
29882000,-11.49999999999999
29922000,-19.500000000000025
29962000,-4.249999999999967
30002000,-10.999999999999968
30042000,-6.99999999999997
30082000,-10.999999999999975
30122000,-10.999999999999975
30162000,-11.49999999999998
30202000,-19.750000000000007
30242000,-12.249999999999986
30282000,-6.499999999999983
30322000,-62.249999999999886
30362000,-16.499999999999996
30402000,-20.00000000000003
30442000,-15.0
30482000,-11.499999999999988
30522000,-14.999999999999996
30562000,-15.999999999999991
30602000,-4.999999999999979
30642000,-16.250000000000007
30682000,-11.749999999999986
30722000,-12.499999999999986
30762000,-7.499999999999973
30802000,-14.499999999999996
30842000,-19.000000000000007
30882000,-20.00000000000001
30922000,-4.499999999999969
30962000,-14.999999999999991
31002000,-9.499999999999975
31042000,-15.999999999999991
31082000,-11.249999999999984
31122000,-14.500000000000004
31162000,-11.499999999999996
31202000,-8.999999999999975
31242000,-13.499999999999986
31282000,-16.499999999999993
31322000,-12.74999999999999
31362000,-8.749999999999984
31402000,-17.25
31442000,-17.25
31482000,-14.749999999999991
31522000,-12.249999999999972
31562000,-11.74999999999999
31602000,-19.000000000000007
31642000,-8.99999999999998
31682000,-16.749999999999993
31722000,-13.249999999999986
31762000,-10.499999999999982
31802000,-9.750000000000002
31842000,-11.999999999999975
31882000,-13.99999999999999
31922000,-18.50000000000002
31962000,-17.25
32002000,-11.99999999999998
32042000,-12.249999999999984
32082000,-9.749999999999972
32122000,-18.250000000000004
32162000,-12.74999999999999
32202000,-15.50000000000001
32242000,-12.99999999999999
32282000,-10.999999999999982
32322000,-8.749999999999982
32362000,-23.50000000000005
32402000,-8.499999999999977
32442000,-6.499999999999972
32482000,-17.750000000000007
32522000,-2.2499999999999742
32562000,-12.999999999999991
32602000,-14.749999999999991
32642000,-12.749999999999991
32682000,-17.499999999999996
32722000,-10.999999999999982
32762000,-9.74999999999999
32802000,-9.249999999999984
32842000,-9.999999999999972
32882000,-8.999999999999986
32922000,-7.749999999999983
32962000,-6.749999999999972
33002000,-13.749999999999982
33042000,-11.249999999999972
33082000,-14.499999999999991
33122000,-14.99999999999999
33162000,-14.99999999999999
33202000,-10.999999999999975
33242000,-15.499999999999991
33282000,-20.00000000000001
33322000,-10.499999999999975
33362000,-10.499999999999996
33402000,-10.999999999999988
33442000,-12.499999999999982
33482000,-14.499999999999996
33522000,-11.249999999999996
33562000,-23.50000000000005
33602000,-19.250000000000007
33642000,-11.49999999999998
33682000,-14.249999999999986
33722000,-12.99999999999999
33762000,-22.25000000000004
33802000,-16.0
33842000,-10.499999999999975
33882000,-17.50000000000002
33922000,-12.999999999999982
33962000,-13.49999999999998
34002000,-7.999999999999974
34042000,-10.499999999999975
34082000,-10.99999999999999
34122000,-7.999999999999973
34162000,-10.99999999999999
34202000,-12.999999999999982
34242000,-7.999999999999973
34282000,-12.99999999999998
34322000,-11.999999999999982
34362000,-10.24999999999999
34402000,-7.2499999999999805
34442000,-14.999999999999996
34482000,-10.999999999999972
34522000,-22.00000000000004
34562000,-13.999999999999991
34602000,-18.75000000000002
34642000,-15.499999999999996
34682000,-12.74999999999998
34722000,-9.499999999999975
34762000,-14.24999999999999
34802000,-19.25000000000005
34842000,-13.999999999999996
34882000,-14.999999999999996
34922000,-8.499999999999977
34962000,-12.999999999999991
35002000,-11.99999999999999
35042000,-9.24999999999998
35082000,-7.499999999999995
35122000,-11.999999999999975
35162000,-20.250000000000018
35202000,-17.249999999999993
35242000,-8.99999999999998
35282000,-16.249999999999993
35322000,-11.99999999999998
35362000,-10.999999999999975
35402000,-8.499999999999988
35442000,-15.75
35482000,-18.25000000000001
35522000,-8.999999999999982
35562000,-27.25000000000003
35602000,-11.99999999999998
35642000,-20.750000000000032
35682000,-17.750000000000007
35722000,-18.000000000000007
35762000,-6.99999999999997
35802000,-10.249999999999972
35842000,-7.9999999999999805
35882000,-13.999999999999991
35922000,-18.0
35962000,-8.999999999999984
36002000,-3.999999999999973
36042000,-14.499999999999991
36082000,-9.99999999999998
36122000,-14.250000000000004
36162000,-11.999999999999991
36202000,-10.249999999999982
36242000,-18.500000000000007
36282000,-20.25000000000002
36322000,-20.000000000000018
36362000,-10.499999999999975
36402000,-10.749999999999982
36442000,-11.999999999999982
36482000,-14.499999999999986
36522000,-16.499999999999996
36562000,-9.999999999999982
36602000,-22.75000000000004
36642000,-11.999999999999988
36682000,-14.999999999999991
36722000,-24.00000000000005
36762000,-13.99999999999999
36802000,-12.499999999999982
36842000,-17.249999999999996
36882000,-3.4999999999999694
36922000,-15.249999999999996
36962000,-11.999999999999982
37002000,-10.249999999999988
37042000,-5.24999999999997
37082000,-15.999999999999996
37122000,-14.499999999999996
37162000,-14.249999999999991
37202000,-23.750000000000053
37242000,-12.74999999999999
37282000,-11.999999999999982
37322000,-15.499999999999996
37362000,-15.250000000000004
37402000,-12.249999999999982
37442000,-6.999999999999974
37482000,-12.499999999999982
37522000,-14.999999999999996
37562000,-2.49999999999999
37602000,-17.5
37642000,-20.250000000000018
37682000,-16.749999999999993
37722000,-13.499999999999986
37762000,-15.499999999999996
37802000,-15.000000000000004
37842000,-13.499999999999996
37882000,-9.999999999999975
37922000,-16.75
37962000,-12.49999999999999
38002000,-9.999999999999968
38042000,-12.499999999999986
38082000,-13.249999999999982
38122000,-10.74999999999999
38162000,-13.749999999999982
38202000,-13.499999999999996
38242000,-12.499999999999986
38282000,-14.74999999999999
38322000,-13.249999999999986
38362000,-18.750000000000007
38402000,-14.49999999999999
38442000,-14.749999999999996
38482000,-13.999999999999986
38522000,-15.000000000000004
38562000,-10.999999999999975
38602000,-13.99999999999999
38642000,-9.99999999999997
38682000,-9.499999999999975
38722000,-15.74999999999999
38762000,-10.49999999999997
38802000,-8.499999999999975
38842000,-14.99999999999999
38882000,-5.499999999999973
38922000,-16.75
38962000,-11.999999999999982
39002000,-7.499999999999969
39042000,-12.49999999999998
39082000,-17.250000000000046
39122000,-8.49999999999998
39162000,-17.500000000000014
39202000,-15.999999999999996
