Timesteps,Eval/Return
40000,-20.208333333333385
80000,-22.08333333333336
120000,-17.70833333333334
160000,-21.45833333333336
200000,-19.16666666666669
240000,-19.58333333333336
280000,-22.5
320000,-20.41666666666669
360000,-17.708333333333343
400000,-18.333333333333343
440000,-19.583333333333357
480000,-19.583333333333357
520000,-25.20833333333337
560000,-23.958333333333343
600000,-23.12500000000001
640000,-19.79166666666669
680000,-19.16666666666668
720000,-24.99999999999999
760000,-18.75000000000001
800000,-20.20833333333336
840000,-18.333333333333343
880000,-20.208333333333357
920000,-22.70833333333337
960000,-19.16666666666669
1000000,-20.41666666666669
1040000,-19.791666666666693
1080000,-23.75000000000004
1120000,-19.79166666666669
1160000,-20.208333333333357
1200000,-19.79166666666669
1240000,-20.41666666666669
1280000,-19.79166666666669
1320000,-19.16666666666668
1360000,-19.16666666666668
1400000,-20.000000000000018
1440000,-20.62500000000003
1480000,-19.79166666666669
1520000,-19.58333333333335
1560000,-17.916666666666675
1600000,-19.79166666666669
1640000,-20.000000000000018
1680000,-20.208333333333357
1720000,-20.416666666666696
1760000,-20.208333333333357
1800000,-18.75000000000001
1840000,-19.58333333333335
1880000,-20.41666666666669
1920000,-21.25000000000004
1960000,-20.20833333333336
2000000,-20.000000000000018
2040000,-20.000000000000018
2080000,-20.000000000000018
2120000,-20.208333333333357
2160000,-20.4166666666667
2200000,-19.79166666666669
2240000,-20.625000000000025
2280000,-19.16666666666668
2320000,-20.41666666666669
2360000,-20.000000000000018
2400000,-19.79166666666669
2440000,-19.58333333333335
2480000,-19.375000000000018
2520000,-20.000000000000018
2560000,-20.000000000000025
2600000,-20.000000000000025
2640000,-20.208333333333357
2680000,-20.000000000000018
2720000,-19.583333333333357
2760000,-19.58333333333335
2800000,-20.625000000000032
2840000,-18.12500000000001
2880000,-21.041666666666703
2920000,-18.333333333333343
2960000,-19.79166666666669
3000000,-20.41666666666669
3040000,-18.958333333333343
3080000,-19.16666666666668
3120000,-19.58333333333335
3160000,-19.58333333333336
3200000,-19.16666666666668
3240000,-17.916666666666675
3280000,-20.20833333333336
3320000,-18.33333333333335
3360000,-18.75000000000001
3400000,-19.79166666666669
3440000,-20.416666666666696
3480000,-18.54166666666668
3520000,-20.000000000000025
3560000,-20.20833333333336
3600000,-19.16666666666669
3640000,-19.16666666666668
3680000,-19.79166666666669
3720000,-20.20833333333336
3760000,-20.000000000000025
3800000,-19.79166666666669
3840000,-19.79166666666669
3880000,-19.58333333333336
3920000,-19.79166666666669
3960000,-18.958333333333357
4000000,-18.95833333333335
4040000,-19.58333333333335
4080000,-18.750000000000018
4120000,-18.958333333333343
4160000,-19.16666666666668
4200000,-20.41666666666669
4240000,-20.20833333333336
4280000,-19.79166666666669
4320000,-20.000000000000025
4360000,-18.75000000000001
4400000,-19.16666666666668
4440000,-20.20833333333336
4480000,-19.583333333333357
4520000,-19.375000000000025
4560000,-20.000000000000025
4600000,-19.79166666666669
4640000,-20.208333333333357
4680000,-19.79166666666669
4720000,-19.79166666666669
4760000,-19.58333333333335
4800000,-19.16666666666668
4840000,-20.41666666666669
4880000,-19.375000000000025
4920000,-19.375000000000025
4960000,-19.58333333333335
5000000,-20.000000000000025
5040000,-19.79166666666669
5080000,-19.16666666666668
5120000,-20.625000000000018
5160000,-19.583333333333357
5200000,-19.583333333333357
5240000,-19.16666666666668
5280000,-20.20833333333334
5320000,-20.00000000000003
5360000,-20.416666666666693
5400000,-18.54166666666668
5440000,-19.79166666666669
5480000,-18.54166666666668
5520000,-18.54166666666669
5560000,-20.000000000000018
5600000,-18.95833333333335
5640000,-18.333333333333343
5680000,-18.958333333333357
5720000,-19.375000000000018
5760000,-20.20833333333336
5800000,-19.375000000000018
5840000,-18.958333333333343
5880000,-18.75000000000001
5920000,-21.875000000000018
5960000,-19.583333333333357
6000000,-19.375000000000018
6040000,-20.833333333333364
6080000,-19.583333333333357
6120000,-20.000000000000025
6160000,-19.79166666666669
6200000,-19.58333333333336
6240000,-20.62500000000004
6280000,-19.16666666666668
6320000,-23.958333333333325
6360000,-21.04166666666669
6400000,-20.00000000000003
6440000,-18.333333333333343
6480000,-18.54166666666668
6520000,-18.541666666666675
6560000,-19.583333333333357
6600000,-20.208333333333357
6640000,-18.75000000000001
6680000,-18.750000000000018
6720000,-18.75000000000001
6760000,-17.916666666666682
6800000,-19.79166666666669
6840000,-18.333333333333343
6880000,-24.166666666666668
6920000,-20.20833333333336
6960000,-19.58333333333335
7000000,-19.79166666666669
7040000,-21.87500000000001
7080000,-20.20833333333336
7120000,-19.375000000000018
7160000,-18.54166666666668
7200000,-18.54166666666668
7240000,-19.583333333333343
7280000,-18.75000000000001
7320000,-19.375000000000018
7360000,-18.958333333333343
7400000,-20.416666666666693
7440000,-20.20833333333336
7480000,-19.79166666666668
7520000,-20.20833333333336
